"NUMBER","PROTO","PRNUM","MEANING","RUSMEAN","WMO","MMO","HAL","BUR","KAL","ORD","DUN","BAO","DAG","YUY","MGR","MOGH","REFERENCE"
1365,"*gögde-", 549,"high, knobby, lofty","высокий, выдающийся, выступающий","gü/ögde-ger, (L 388:) güdügür","","güdgr, güdger","","gögdəgr","güdügür","","","","","gudōr (SM 139)","","KW 137."
1366,"*kötü-", 893,"1 to lead 2 hill 3 to be high, lift the breast","1 вести 2 холм 3 возвышаться, поднимать грудь","kötüle- (L 493: kötül-, kötel-) 1, kötül 2 (L 493: kötül, kötel), köteji- 3","kotol- 1 (HY 39, SH)","xötlö- 1, xötöl 2","xütel- 1, xütel 2","kötl- 1, kötl 2, kötī- 3","götöl- 1, götöl 2","","kutel- 1 (Тод. Бн.)","kutlē- 1 (Тод. Даг. 152: kutule-), kutelē- (MD 185)","kütēl- 1","kudor (SM 206), 2 (MGCD kudol), kudoli- (SM 206), kudolə- 1","","KW 242, MGCD 378. TMN 1, 323. Kalm. kötr- 'to lift' may be borrowed < Turk. Mong. > Man. kutule- (see Doerfer MT 118, Rozycki 147; but Nan. kutu- can hardly be explained as a loan)."
1367,"*goda-", 562,"straight, vertical, sticking out","прямой, вертикальный, торчащий","ɣodaɣar (L 357: ɣoduɣur), ɣodai (L 357)","","godgor, godoj-","godogor, godoj-","ɣodɣṛ, ɣodā-","\IGodoGor\i","","","","","","","KW 149."
1368,"*kog-si-", 868,"to become rich, wealthy","богатеть","qoɣsi- (L 952)","","xogši-","xogšol 'property', xogšol- 'to become rich'","","xoGši-, GoGši-","","","","","","",""
1369,"*hurin",1806,"anger","гнев","urin (L 884)","","urin","uri gari bološohon 'to be in bad spirits'","uŕṇ","","\Ixō\i","hor","","","","","KW 451."
1370,"*tab, *tebeg",2346,"1 tuft of hair attached to a metal ring (for play); shuttlecock 2 long hair on back of head","1 пучок волос, прикрепленный к металлическому кольцу (для игры); волан 2 волосы на макушке, хохол","tebeg 1, 2 (L 789), tab 2 (L 760)","","teveg 1, tav 2","tebeg 1","tewəg 2 (КРС)","teweg 1","","","","tebeg","","","MGCD 629. Cf. also tobi, Khalkha tov́ 'тюбетейка'."
1371,"*ajaga(n)", 433,"cup","чашка","ajaɣa(n)","ajaqa (HY 19, SH, LH), ajaɣa (IM 433, MA 108)","ajaga(n)","ajaga","āɣə","ajaGa","jiGa, iɣa","(a)jiGə","ajaga (Тод. Даг. 118)","","jaGa (SM 486)","","KW 20.  TMN 2, 171."
1372,"*kömeri-",1067,"to fall, turn upside down","переворачивать(ся) вверх дном","kömeri-, kömüri- (L 487)","","xömrö-","xümeri-","kömṛ- (КРС)","kömör-","komoru-","","kumrē-bəi-, (Тод. Даг. 151) kumuri-","kömör-","komori- (SM 213), kumorə-","","MGCD 373. Mong. > Kirgh. kömör- etc. (see ЭСТЯ 5, 101-102)."
1373,"*ugtu-",2501,"to meet","встречать","uɣtu- (L 864)","uxtu- (HY 32, SH), uxdu- (SH)","ugta-","ugta-","uktə-","uGtu-","","","ortu-, (Тод. Даг. 160), orete- 'welcome, meet, greet' (MD 203), orto-","","","","KW 448, MGCD 669. Mong. > Evk. uktu- etc., see Doerfer MT 111, Rozycki 166."
1374,"*čirgaj", 227,"dense, tall (forest)","густой, высокоствольный (о лесе)","čirɣai (L 192)","","čargaj","šereŋgi 'thin growth, pinery' (?)","čirɣā 'dense (branches); a k. of tree or bush'","","","","","","","","KW 442."
1375,"*büli", 187,"cousin, niece (son or daughter of mother's relative); family","двоюродный брат, двоюродная сестра (сын или дочь родственника матери); семья","bülü, büli, böle (L 147)","","bül","büle","bülə, bölə","","","","bule (Тод. Даг. 128)","bulai","bulai","","KW 55, 66, MGCD 175. Mong. > Turk. bula, Kaz. bölö, Yak. \Ibile\i etc. (see the list in ЭСТЯ 2, 217-218, Лексика 293-294), Evk. bule 'family'."
1376,"*ǯal-gi- / *ǯal-ka-",2586,"1 to swallow 2 phlegm","1 глотать 2 мокрота","ǯalgi- 1 (L 1031), ǯalqaɣ 2 (MXTTT)","ǯalgi-, ǯalki- (SH)","ʒalgi- 1, ʒalxag 2","zalgi- 1, zalxag 2","zaĺgə- 1 (КРС)","ǯalgi- 1","ǯanqəi-","ǯalχə-","ǯalgi- (Тод. Даг. 142), ǯilehe- 1 (MD 178)","ǯalGə-","ćargi- (SM 443), čalga- (Huzu)","","MGCD 427."
1377,"*kemde-", 760,"bone in horse's foot","кость в ноге лошади","","","","","kemdəgṇ","","","","","","","","KW 224."
1378,"*gulbi-", 538,"be thin, lean","быть тонким, худым","ɣulbĳ- (МXTTT)","","gulbĳ-","gulba-gar","","","","","","","","",""
1379,"*oro-",1583,"to enter","входить","oro- (L 620: oru-)","oro- (HY 36, SH), ur- (IM), wora- (Lig.VMI), ur- (MA)","oro-","oro-","or-","oro-","oro-","orə-","war(a)- (Тод. Даг. 129), \Iore-,\i uare- (MD 202, 230)  warə-","orō-","uro- (SM 477)","ɔru- (Weiers)","KW 288-289, MGCD 532. Cf. also Mong. urača 'hut' ( > Turk. orača, Yak. uraha, see Лексика 501)."
1380,"*kegǯe-", 796,"to scrape off, to incise","соскребать, надрезать","kegǯe-, (L 444:) kegǯe-le-","","xegǯi-, xegʒle-","","","kegǯil-","","","","","","",""
1381,"*kölči-",1140,"to heat, warm","греть, нагревать","kölči-, kölčü- (L 484)","kulči- (MA 222)","xölč-","xülše-","kölčə- (КРС)","gölčö-","","","kulčē- (Тод. Даг. 151)","","kurgu- 'rôtir, griller, étuver' (SM 216)","","Cf. also Bur. xülere 'place of fire'; WMong. kölü-re- 'to sweat', kölü(r)-sü(n), Mongr. konorʒə 'sweat, perspiration' ( > Dolg. kölöhün, see Stachowski 155)."
1382,"*kete", 840,"(fire) steel","огниво","kete (L 460)","kete (SH), kete (MA)","xet","xete","ketə","gete","","","","kede","kide (SM 200), kəde","","KW 228, MGCD 346."
1383,"*sib-",   0,"1 perspiration (of feet) 2 odour of dogs and cats","1 пот (на ногах) 2 запах собак и кошек","siberi 1, sibtür 2 (L 695, 696)","","šiver 1, šivter 2","šeber 1","šiwṛ 1 (КРС)","šiwer 1","","","","","","","Mong. > Man. siberi etc. (ТМС 2, 135-136, Rozycki 179). Cf. Man. šebte- 'to soak; to sweat' (ТМС 2, 100)."
1384,"*kokima-",1066,"1 skeleton 2 skull","1 скелет 2 череп","qokima- (L 956: qokimai 'masks and costumes representing skeletons used in the cam dance')","qokimai 'an epithet to teri'un 'head'' (SH)","xoximoj tolgoj 2, xoximoj jas 1","xoximoj 2 (Khorin), 1 (Tunk.)","xoḱəman 2","\IGoχimȫ\i 2","","","","","","","KW 182."
1385,"*gere", 514,"1 cheek bone 2 front teeth","1 скула 2 передние зубы","gere 1 (L 378)","","gerē 1","","gerə šüdṇ 2","","","","","","","","KW 134."
1386,"*giǯige", 748,"tickle","щекотка, щекотать","giǯige, geǯige; geǯigele-, geǯigene-, giǯigene- (L 381)","","giǯig","gežegendehe(n)","giǯŋ̣ne-","","","","","","","","KW 135."
1387,"*kučil-",1073,"to scrape with fingers","царапать пальцами","qučil-","","","","xučl-","","","","","","","","KW 200."
1388,"*kisu-",1063,"to scrape, shave","скрести, брить","kisu-, qusu- (L 992)","","xusa-","x́uha-","xusə- (КРС)","","","χasə-","","qəsə-","kiʒə- (SM 202), kəsə-","kišla- (Ramstedt 1906)","MGCD 393. Mong. > Evk. kisū- etc., see Doerfer MT 135."
1389,"*tuji-",2451,"thin falling snow, dust-snow","снежная крупа","tujaɣu, tujil-dasu","","tujldas","","tujū","","","","","","","","KW 409."
1390,"*kuŋgar- / *küŋger-",1146,"snow-drift","сугроб","quŋɣar (МXTTT)","","xuŋgar","xüŋgereg","","","","","","","","",""
1391,"*amada-", 426,"to meet smb., cross one's way","поджидать на пути, идти навстречу","amada- (L 35)","","amda-","amada-","amd- (КРС 40)","amada-","","","","","","",""
1392,"*süj-ken",2127,"ear-ring","ушная серьга","süiken, (L 742) süike, süikü","sūjke (IM), sujke (MA)","süjx","hīxe","sīkə","süjχe","","","sujhe (MD 212)","","sūge (SM 357)","","KW 328. Mong. > Man. suiχun (see Rozycki 189)."
1393,"*nuntug / *nintug",1489,"grazing place, native place","пастбище; территория, страна, родина","nutuɣ (L 596), nituɣ","nuntux (SH, HYt), nutux (SH)","nutag","ńutag","nutəɣ","nutuG","","","notog (Тод. Даг. 158), noteke (MD 200)","nutuG","nontoG (SM 283)","nuntuq","KW 281. MGCD 519."
1394,"*kilim",1029,"1 sturgeon 2 salmon","1 осетр 2 лосось","kilim (L 466: kilime)","","xilem","xilme","","","","","","","","",""
1395,"*eje, *eŋ-ke",  73,"peace, quietness","мир, покой","eje (L 304)","eje, eŋke (SH, HYt)","eje, enx","eje, enxe","ejə, eŋkə","ẹje, eŋχe","","","","","","","KW 118, 123. Mong. > Yak. eje, Dolg. eje- (see Kał. MEJ 50, Stachowski 44)."
1396,"*(h)undu-",2526,"1 to spurt, gush forth 2 fountain, well","1 бить ключом, струей 2 фонтан, источник","undura- 1 (L 876: undur-)","","undra- 1","ondoli 2","undṛ- 1","","","","","","","","KW 449."
1397,"*bög-si-",1669,"to run (slowly), trot; run (as a hare)","бежать, трусить, скакать","bögsi-","","","","bökšə-","","","","","","","","KW 55. Cf. also Ord. bögö- id."
1398,"*kočur-", 955,"to stay behind","отставать, оставаться позади","qočur- (L 951)","qočor-, qočoda- (SH), qūčar- (Lig.VMI), qučar- (MA)","xocro-","xosor- 'to disappear, vanish; die'","xocr-","\IGočiro-\i","","","","","","qočaru- (Ramstedt 1906)","KW 190-191."
1399,"*kesü-", 839,"to wander, roam","бродить","kesü-  (L 460)","","xese-","xese- < Khalkha","kes- (КРС)","gesü-","","","kese- (Тод. Даг. 150)","","kəʒə- (SM 197)","",""
1400,"*dabta-",2221,"to forge, hammer","ковать, молотить","dabta- (L 213)","dabta- (SH) ; dabši- 'to knock, hit' (SH)","davta-","dabta-","dawt- KPC 175","dabta-","","","dabete- (MD 131)","dapta- (MGCD 186)","","","Mong. > Kirgh. tapta- etc.; Evk. dapta- etc., Doerfer MT 101."
1401,"*teɣe- / *teji- / *tübü-",2390,"1 to kick (with a foot, leg), scratch earth (with a foot) 2 to trample","1 пинать, царапать землю (ногой) 2 топтать, топать","teɣe-, tejir- 1 (L 797: tejire-), tübür- 2  (L 848: tübere-)","te'ure- 'to crush, trample' (SH)","tĳre-","tĳre- 2,1","tē-, tīr- 1, tüwr- 2","tüwerē, tewerē 'bruit de sabots d`animaux frappant le sol en courant'","","","","","","","KW 395, 417."
1402,"*taɣ- / *tuji-",2348,"1 to dump, capsize 2 to cut, sharpen","1 сбрасывать (всадника), опрокидывать 2 обрезать, точить","tujila-  (L 840) 1 , taɣari-  (L 765), tajiri- (KW) 2","tujla- 'брыкаться' (MA 354)","tujla- 1, tajra- 2","tajra- 2","tūĺ- 1, tǟr- 2","tuila- 1, tāri- 2","","","tāri- 2","tār- 2","","","KW 388, 413, MGCD 622."
1403,"*side-",2086,"to throw, fling","бросать, кидать","\Iside-\i (L 697)","","šide-","šede-","","","","","","","","",""
1404,"*mer",1317,"1 wound 2 (expr. for) a painful sensation 3 to gnaw at smth.","1 рана 2 (изобр.) чувство боли 3 глодать что-л.","mer 2, mere- 3 (L 536)","mer (MNT, SH) 1","mer 2, \Imere-\i 3","\Imere-\i 3","mer 2, mer- 3","","","","","","","","KW 261, 262."
1405,"*höɣe",1815,"1 pus, abscess 2 to rot","1 гной, нарыв 2 гнить","öɣe-ri 1 (L 632)","hu'ugai (SH) 'es möge stinken, verdorben sein (ondegen)', hesün (or hoesun) 1 (LH)","ȫrs 1","","ȫŕ 1 (КРС)","","fu- 2","hu- 2","xū- 2","hǖ- 2","fū- 2","","MGCD 408."
1406,"*ugalǯa",2496,"male mountain goat","самец горного козла","uɣalǯa (L 864 uɣulǯa)","uqulǯa (SH)","ugalʒ","","","ugʷalǯi","","","","","","","Mong. > Kirgh. qulǯa, Uygh. ɣulǯa, Kaz. qulža id.; Man. uxulǯa (see ЭСТЯ 6, 131-132)."
1407,"*aɣu-", 457,"1 large, wide, vast 2 very","1 обширный, широкий 2 очень","aɣuu, \Iuu\i (L 18), aɣudam (L 16) 1, aɣui (L 16) 2","a'ue (HY 53, SH), āw, \Iaw\i (MA 108, 371) 1","agū, ūdam, ūǯim 1, agū, aguj 2","\Iū,\i ūžam 1","aɣū, \Iū\i 1","ūǯim 1","aGui, aɣui 1, uida","\Iū\i 1","\Iau\i 1 (Тод. Даг. 122, MD 116)","aɣui, ūǯim","ụ̄ (SM 462), \Iau\i (Minghe) 1","ɔɣui 1 (Weiers); ZM ɔ̄ɣu(n) (13-1) 1","KW 3, 453, MGCD 96, 547, 661, 662."
1408,"*garu-", 500,"more than","больше чем, более того","ɣarui, ɣarun (L 352, 353)","","garuj","garan","ɣarṇ","\IGarū,\i \IGarʷī\i","","","","","","","KW 146."
1409,"*kiri", 837,"measure, degree","мера, степень","kiri, kire (L 472)","","xir","xire","kirə (КРС)","kere, keri","","","","","","","Mong. >  Oyr. kīrä, Evk. kire etc. (KW 232)."
1410,"*(h)ulaj",2520,"dead body (of animal)","туша, труп (животного)","ulai (L 870)","","ulaj","ulaj","ulā","ulǟ 'падаль; тело убитого человека'","","","","","","","KW 448."
1411,"*körbe",1089,"new-born lamb","новорожденный ягненок","","","","xürbe","","körwö 'young child or animal'","","","kurub (Тод. Даг. 151)","","","","MGCD 391."
1412,"*kari-, *kar-si-", 775,"to weaken, become old","слабеть, стареть","qari- (МXTTT)","","xari-, xarši-","xaraši-","xäŕ- (КРС)","","","","","","","",""
1413,"*kura-, *kurĳa-",1165,"to gather, collect","собирать","qura-, qurĳa- (L 987, 989)","xurĳa- (HY 40)","xura-, xurā-","xuŕā-","xurə-, xurā- (КРC)","xura-","\IGura-\i","\IGorudə-\i","xori- (Тод. Даг. 178), xorē- (Тод. Даг. 177: xoŕē-), hore-, hurā (MD 164, 167)","χurā-","xurā- (SM 183)","","KW 197, 198, MGCD 390. Mong. > Kirgh. qura- etc., see ЭСТЯ 6, 157-158."
1414,"*ǯer-me-",1471,"young man","юноша","","","(Bayat) ǯermegei","žerbeger 'shapely, handsome (of a man)'","","","","","","","","",""
1415,"*mugǯi-",1324,"1 short-necked and plump 2 hornless, hairless","1 короткошеий и толстоватый 2 безрогий, безволосый","muɣǯiɣar (МХТТТ) 1","","mugǯgar 2","","","muGdū 2","","","","","","",""
1416,"*müjide",1354,"hornless","безрогий","","","","müjde","","","","","","","","","Attested only in Buriat, but having probable external parallels."
1417,"*ǯöŋ",1542,"omen, sign; natural course of things","знамение, знак; естественный ход вещей","ǯöŋ (L 1075)","","ʒön","","zöŋ","ǯöŋ 'manière d`être propre; manière d`être constante'","","","","","","","KW 478."
1418,"*(h)uwl",   0,"essential, original","существенный, изначальный","uul (L 889)","","ūl","ūl","ūl","ūl","","","","","","","KW 454."
1419,"*sere- / *serke-",1928,"a k. of blossoming plant","вид цветущего растения: 1 багульник болотный, 2 патриния сибирская, 3 люцерна, 4 мимоза","ser(k)eɣeg, (L 691) serkelig 2","","sereleg 1, serkeleg 2","herxēneg 3, herhen 4","serkənəg 3 (КРС)","","","","","","","","Cf. also Khalkha sarnaj 'rose'."
1420,"*sar-",1971,"1 Lilium tenuifolium 2 turnip","1 сарана 2 репа","sarana 1, sarmug 2 (L 675, 676)","","sarāna 1, sarmag 2","harāna 1","","sarānaG 1","","","","","","","Mong. > Russ. saraná, see Аникин 484."
1421,"*taŋna-",2308,"to search, spy","расспрашивать","taŋna- (L 777)","","tagna-","tagna-","","","tanǯi-","","tanslə-","tangə-","tangə-","","MGCD 621."
1422,"*(h)aǯi-n",  84,"wife of younger brother (as related to the wife of elder brother)","жена младшего брата (по отношению к жене старшего брата)","aǯin (L 62)","","aǯin","","","aǯin","","","","","","",""
1423,"*sori-",2037,"different kinds of wild onion","дикий лук","sorisun, (L 729: sorisu)","","sors","","sorsṇ","sorisu","","","","","soroʒə (SM 355)","","KW 332. Mong. > Man. sorson, Nan. sorso (ТМС 2, 114, Rozycki 187)."
1424,"*buɣurul",  86,"grey (of hair etc.)","серый, седой","buɣurul (L 131)","burul (MA 127)","būral","būral","būrəl","būral","","","bōral, bōlal (Тод. Даг. 127), bōrol","būrol","bōrol","","KW 65, MGCD 164. Mong. > Turk. buɣurla, Chuv. pъʷvъrla id.; Evk. burul etc. (see Doerfer MT 99); > Man. burulu (morin), MKor. puru (măr) 'a horse of red and white coat' (see Lee 1958, 119)."
1425,"*boro", 191,"grey","серый","boro, (L 121) boru","boro (HY 42 'ashes coloured', SH), boră (MA)","\Ibora\i","boro","borə","boro","boro(ŋ)","","","","burondog, boro (SM 28)","borō 'dunkelgelb, gelbbraun' (Ramstedt 1906)","KW 51, MGCD 584. Mong. > Evk. boro, boroŋ, Man. boro (ТМС 1, 96), see Doerfer MT 60, Rozycki 34; Tat. \Ibora,\i Yak., Dolg. boroŋ (Stachowski 62). Cf. also Mong. \Ibur\i 'dark, sludgy' - which, as well as Chag. bor 'reddish (horse)' etc. (see TMN 2, 330) are rather < Pers. bōr 'dark brown'."
1426,"*tür(ge-n)",2393,"quick, swift","быстрый; кратковременный","tür, türgen (L 854, 855)","turgen (HY 52), turken (MA 359)","tür, türgen","türge(n)","türgṇ","türgen","","","turegun (MD 228)","turgen","","","KW 416, MGCD 659. Mong. > Evk. turgen etc. (ТМС 2, 219, Doerfer MT 82, Rozycki 213); Yak., Dolg. türgen (Kał. MEJ 20, Stachowski 235)."
1427,"*söl-sü",2091,"gall","желчь","sösü(n), sölsü(n) (L 732)","šuelüsun (HY 47), sülsu (SH), səlsən (IM)","sös","hülhen","čösṇ (КРС) (?)","ǯüsü (?)","šiensun","selsoŋ","čuleči 'spleen, gall bladder?' (MD 131) (?)","sȫsun","sūrʒə (SM 364), sūlʒə","","MGCD 618. The Kalm. and Dag. forms may reflect a formation like *söl-čin with assimilations."
