"NUMBER","PROTO","PRNUM","MEANING","RUSMEAN","ATU","KRH","TRK","TAT","CHG","UZB","UIG","SJG","AZB","TRM","HAK","SHR","ALT","KHAL","CHV","JAK","DOLG","TUV","TOF","KRG","KAZ","NOGX","BAS","BLKX","GAGX","KRMX","KLPX","SAL","QUM","REFERENCE"
1203,"*ebi-s-", 408,"to winnow, blow","веять","","evüs- (MK)","evis-","","","","","","äs-","övüs-, ös-","","","","häp(i)s-, häs-","avъs-","","","","","","","","","","","","","","","EDT 15, VEWT 49, ЭСТЯ 1, 553-554.  The form \Ies-,\i attested already in MK (see EDT 240, ЭСТЯ ibid.) is possibly a contraction of *ebs-."
1204,"*Ebür(d)ek",  63,"duck","утка","ödirek (OUygh.)","(MK) ördek","ördek","ürdɛk","evrek, evek (Qutb)","ọrdak","ö(r)däk","jürdek","ördäk","ȫrdek","örtek","örtek","örtök","irdäk","","ördükēn 'утка-чиранка'","","ödürek, edirek","ödrek","ördök","üjrek","","üjräk","","jördek","ördek, erdek","üjrek, ördek","","ördek dial.","EDT 205, ЭСТЯ 1, 547-548, TMN 2, 31, Лексика 172."
1205,"*b(i)altɨr", 145,"calf of leg","икра ноги","baltɨr (OUygh.)","baldɨr (MK)","baldɨr","baltɨr","baldɨr (MA), baltɨr (Sangl.)","bɔldir","","","baldɨr","baldɨr","paltɨr","paltɨr","baltɨr","","","ballɨr","","ba'ldɨr","baldɨr","baltɨr","baltɨr","baltɨr","baltɨr","baltɨr, baldɨr","baldɨr","baldɨr","baltɨr","","baldɨr","VEWT 61, ЭСТЯ 2, 54-55, Лексика 283-284."
1206,"*bĒčin",1291,"monkey","обезьяна","bečin (Orkh., OUygh.)","bečin (MK)","","","bečin (MA, Sangl.)","","","pičin","","bīǯin","","","","","(Bulg.) bexti 'год обезьяны'","","","","","","","","","","","","","","","VEWT 66, EDT 295-296, ЭСТЯ 2, 128-129, TMN 2, 382, Лексика 168. All IE sources (EDT 295, TMN 2, 382-383), like Pers. būzīna, proposed for this word are quite unclear etymologically and probably borrowed themselves. {Cf. also some modern words meaning 'cat': MKypch., Khor. mačɨ, Uzb. maši, Tat. mäči, see Лексика 192, perhaps borrowed from Turk. into Slovak and Hungarian.}"
1207,"*bejŋi",1239,"brain","мозг; вместилище разума","meji, meŋi (OUygh.)","meŋi (MK, KB)","bejin","\Imi\i","mĳi (MA), mejn (Sangl.)","mĳa","miŋä","","bejin","bejni, mejni","\Imī\i","mī-s","\Imē\i","mein","mimə","mejī","meńī 'head'","\Imē\i","\Imǟ\i","\Imē\i","mɨj","mɨj","meje","mĳe","","mĳi","mĳ","","mĳi","VEWT 70, EDT 348-349, ЭСТЯ 2, 106-107, TMN 4, 35, Лексика 195, Stachowski 178. Turk. > MMong. mĳe, mĳi (Щербак 1997, 105)."
1208,"*bok",1338,"dirt, dung","грязь, навоз","boq 'ярь' (OUygh.)","boq 'mildew on bread' (MK), 'dung' (IM)","bok","","(OKypch.) boq (AH, Houts.)","","","","poχ","boq","\Ipox\i","","boq","","pъʷx","","","boq","moq","boq","","boq","","boq","boq","boq","boq","","","VEWT 79, EDT 311, ЭСТЯ 2, 183. Turk. > WMong. boɣ, Kalm. \Ibog\i (KW 48-49; see TMN 2, 349, Щербак 1997, 108)."
1209,"*čɨg-",2705,"1 to tie up (a parcel) 2 to sew (with small stitches) 3 parcel, pack 4 knot 5 to tie in a knot","1 увязывать (тюк, сверток) 2 шить (мелкими стежками), подшивать 3 узел (упаковка) 4 узел 5 завязать узлом","","čɨɣ- 1","čɨkɨ, čɨkɨn 3","","čik 4 (Pav. C.), (OKypch) čɨq- 1 (AH)","","čig- 5, čigik 4","čig-, čik- 5","","čig- 5, čigin 4","sɨɣ-la- 2","","či-de- 2","(tīn u) čɨqɨn 'small parcels in women's working room'","","","","","","čĳe 4","","","","","čɨqɨ 3","","šĳe 'tightly bound'","","","EDT 405, VEWT 94. Forms apparently pointing to *čɨk- most probably reflect a contraction of the suffixed form *čɨgɨ-k-."
1210,"*čug", 335,"1 bundle 2 to bind, pack, wrap","1 связка 2 связывать, упаковывать, обматывать","čuɣ 1 (OUygh.)","čuɣ 1, čuɣ-la- 2 (MK)","(dial.) čuɣ 1","čolɣa- 2","čuɣ 'yoke' (Pav. C.), čulɣa- 2 (Sangl.)","čulɣa- 2","","","čulɣa- 2","","sulɣa- 2","šu 1 (R), šulɣa- 2","(dial.) čū 1, čū-la- 2 (R)","","","\Isū\i 'wrapper', sū-lā- 2","hū-lā- 2","šuɣla- 'to cover (with a blanket)'","","čū 1, (South.) čuq 'swaddle' (*čuguk), čulɣa- 2","šuw-maq 1, šulɣaw 'портянки'","šuw-maq 1","sɨw 'placenta', solɣa- 2","čulɣa- 2","","čulɣa- 2","šuw-maq-la- 2, šulɣa-n- 'обертываться портянками'","","","VEWT 119, EDT 405, 407, Stachowski 114."
1211,"*čĀb-", 311,"whip-lash","плеть","","čavɨɣ, čaɣɨɣ (MK)","čavun 'leather whip'","","","","","","","čāv-la- 'to lash with a rod, whip'","","","","","čъvъš 'sound of the whip or rod', čъʷvaš-la- 'to lash'","","","? šavɨ-la- 'to lash (of branches)'","","","","","","","","","","","","EDT 395. See also under *čɨ̄p."
1212,"*Ej-men-", 418,"to be shy, timid, afraid","смущаться, робеть, пугаться","ejmen- (OUygh.)","ejmen- (MK)","imen-","imän-","ejmen- (Abush., Pav. C.)","ĳmän-","äjmän-","","ejmän- (dial.)","ejmen-","","","ĳmen-","","","","","","","ĳmen-","ĭjmen-","ĳmen-","","","","emen-","ĳmen-","","","VEWT 10, EDT 273, ЭСТЯ 1, 249-251. Turk. > WMong. ajman- (Щербак 1997, 96); but Mong. *aju- can be hardly regarded as a Turkism."
1213,"*ɨč-, *ɨč-gɨn-", 676,"to lose, disappear","терять(ся), пропадать","ɨčɣɨn- (Orkh., OUygh.)","ɨčɣɨn- (MK), ɨč- (KB)","","ɨčqɨn-","ɨčqɨn- (Abush., Pav. C.)","","","","","","ɨsxɨn-","ɨšqɨn-","ɨčqɨn-, ɨqčɨn-","","","ɨhɨgɨn-","","ɨšqɨn-","","ɨčqɨn-","","ɨšqɨn-","ɨsqɨn-","ɨčxɨn-","","","","","išɣɨn-","VEWT 164, ЭСТЯ 1, 672-673, ДТС 216."
1214,"*ɨ̄d-", 678,"to send","посылать","ɨd- (Orkh., OUygh.)","ɨδ- (MK)","","","ĳ- (AH)","","","","","ɨj-","ɨs-","ɨs-","ĳ-, ɨs-","","\Ijar-\i","ɨ̄t-","ɨ̄t-","ɨt-","ɨt-","ĳ-","","","","ĳ-","","ĳ-","","","","EDT 37-38, VEWT 164, ЭСТЯ 1, 332-333, Егоров 354, Stachowski 263."
1215,"*(j)igne", 379,"needle","игла","jiŋne (OUygh.)","jigne (MK)","ĳne","inä","igne (Бор. Бад., Pav. C.)","ignä","ignä, jiŋnä, jignä","jiŋne","ĳnä","igne, iŋne","iŋe","ingä","ĳne","īnä ( < Az.)","","inne, ińe","iŋne, ińe, inne","ine","","ĳne","ĭjna","ĳne","ĭnä","ĳne","īnä","ĳne","ĳne","","ine","EDT 110, VEWT 169, ЭСТЯ 1, 367-369, Лексика 106."
1216,"*ĳik",1771,"spindle","веретено","","\Iik,\i jik, ĳik (MK)","\Iiɣ,\i \Iĳ,\i ĳi","","ik (Pav. C.)","\Iik,\i jik, ǯik","","ǯik","\Iĳ\i","īk","","īk","īk, ĳik","","jəge","","","","","ĳik","","","","","\Iī\i","","ĳik","","","VEWT 170, EDT 99, ЭСТЯ 1, 336-337, Егоров 77. Az., Turk., Gag. have a secondary voicing due to early contraction *-ĳi- > *-ī-. Turk. > Mong. \Iig\i 'spindle' (Щербак 1997, 123); the derivative *ĳik-lig (Chag. ikliɣ 'violin', cf. Khak. īk id. (see VEWT 179) > Kalm. ikəĺə (KW 206)."
1217,"*(j)inčgek",1454,"milt, roe","икра","","","","inči, jincɛ (Sib.)","","","","","","","","","","","","iskex","istek","","","","","","","","","","","","","VEWT 172, 203, Лексика 151, Stachowski 129."
1218,"*jagɨr, *jagrɨn", 349,"back, shoulderblade","спина, лопатка","","","jaɣrɨ, dial. jaɣɨr, jaɣrɨ","jawɨrɨn, jawɨrnɨ, ǯawɨr (dial.)","jaɣrɨn (Pav. C., AH, Ettuhf.)","jaɣrin","","","","jaɣɨrnɨ; jaɣɨrɨn, jaɣrɨn (dial.)","","","","","","","","","","","","jawɨrɨn","jawɨrɨn (dial.)","","","","","jaɣrə (Kakuk)","jawrun","VEWT 178, ЭСТЯ 4, 65-67, Дыбо 139-141, Лексика 242."
1219,"*jAńka-",1205,"to shake, bring into motion","качать(ся), приводить в движение","jajqa-n- (OUygh.)","jajqa-l- (MK)","jajka-","","jajqa-l- (Sangl., Pav. C.)","","(dial.) jajqa-","","","jajqa-","čajxa-, dial. najxal-","","d́ajqa-, dial. d́ajɣa-","","","","","ča'jɣa-","ča'jha- (Рас.  ФиЛ 77)","ǯajqa-","žajqal-","jajqa-l-","","","","jajqa-","","","","ОСНЯ 3, 58-59, ЭСТЯ 4, 77-78, EDT 981. PT *jańka- is usually treated as derived from *jāj- 'to shake, rinse' (see e.g. ЭСТЯ 4, 75-76, EDT ibid.), but the latter does not seem to show any traces of nasal and may be separately compared with Mong. ǯaji-lu- 'to rinse', ǯaji-mu- 'to shake, stir', see KW 471."
1220,"*jit-",1460,"to be lost","теряться, пропадать","jit- (Orkh., OUygh.)","jit- (MK)","jit-","","jit- (Pav. C., AH, Ettuhf.)","jit-","jit-, jüt-","","\Iit-\i","jit-","čət-","","","","śət-","süt-","hüt-","čit-","","ǯit-","žit-","","","","","jɨt-","žit-","","","EDT 885, VEWT 204, ЭСТЯ 4, 204-205, Stachowski 116."
1221,"*jor-", 396,"to explain, interpret (a dream)","толковать (сон)","","jor- (MK, KB)","jor-, jora-","\Ijura-\i","jor- (AH, Pav. C.)","","ǯoru-","","","jor-","","","","","","","","","","ǯoro-, ǯoru-","žor-","jorɨ-","\Ijura-\i","","","jor-, jora-","žorɨ-","","","EDT 955, VEWT 208, ЭСТЯ 4, 223-224. Turk. > Mong. jor- (Щербак 1997, 125). The root should be distinguished from *jȫr- 'to untie, release' (Yak. süör-, OT jör-) - the latter  is different both phonetically and semantically, although it can, through contamination, also attain the meaning 'to interpret' (thus in MK and OUygh.)."
1222,"*jüŕ-", 403,"1 finger ring 2 joint 3 stirrup (*üŕeŋgü < *jüŕeŋgü)","1 кольцо (на палец) 2 сустав (пальцевый) 3 стремя","","jüzük 1 (MK), üzeŋü 3 (KB)","jüzük 1, üzengi 3","jözek 1","jüzük 1 (AH, Ettuhf.), üzük 1 (Pav. C., Abush.)","uzuk 1","üzük 1","","üzük 1","jüzük 1, üzeŋŋi 3","čüstük 1","čüstük 1","jüstük, d́üstük 1","","śəʷrəʷ 1, jъrana 3","sühüöx 2, iheŋe 3","hühüök 2","čü'stük 1, čüs 2","","ǯüzük 1","žüzik 1","jüzik 1","jöδök 1","ǯüzük, züzük 1","jüzük, üzük 1","jüzük, üzük, ezik, izik 1","žüzik 1","","jüzük 1","EDT 986, VEWT 214, TMN 2, 146,147-148, ЭСТЯ 1, 623-625, 4, 260, 261-262, Егоров 212, Лексика 548-549, Stachowski 115. Turk. > Hung. gyú ́rű (see Lig. MNyTK 77-79). The reason of *j- > 0- in the PT name of "stirrup" ( < *"ring-formed") is unclear (irregular change in a long form?)."
1223,"*Kadgu", 474,"sorrow","печаль","qadɣu (OUygh.)","qaδɣu (MK, KB)","kajɣɨ","qajɣɨ","qajɣɨ (Qutb., Pav. C)","qɛjɣɨ (dial.)","","","\IGajɣɨ\i","\IGajGɨ\i","","","","","xojɣa","","","","","qajɣɨ","qajɣɨ","qajɣɨ","qajɣɨ","","","qajɣɨ","qajɣɨ","","qajɣɨ","VEWT 217, ЭСТЯ 5, 201-203, Федотов 2, 352-353."
1224,"*Kadɨŋ", 696,"birch tree","береза","","qaδɨŋ (MK), qajɨŋ (KB)","kajɨn 'beech tree'","qajɨn","qajɨn (Houts.)","qɛjin","qejin","","\IGajɨn\i 'maple tree'","\IGajɨŋ\i","xazɨŋ","qazɨŋ","qajɨŋ","","xorъn","xatɨŋ","katɨŋ","xadɨŋ","qadɨŋ","qajɨŋ","qajɨŋ","qajɨŋ","qajɨn","","","","qajɨŋ","","","VEWT 218, TMN 3, 183, ЭСТЯ 5, 214-215, Лексика 122, Федотов 2, 366, Stachowski 141."
1225,"*gErtme", 836,"pear","груша","","","germešik 'cornus sanguinea'","","kertme 'яблоко, груша' (OKypch.: AH, Houts., CCum.), kirni 'quince'","","","","","","","","","","","","","","","","","kertpe","","kertme","","gertme","","","gertme","VEWT 257. Perhaps < *gürt-me, cf. the attested OT (MK-Osm., see EDT 738) kürt 'mountain tree for making bows, Pyrus'; (AH)  kürt 'quince'."
1226,"*K(i)adɨ-", 820,"1 to sew, sew together 2 leather belt","1 шить, сшивать 2 кожаный пояс","","qaδu- 1, qaδɨš 2 (MK)","kajiš 2","qajɨ- 1, qajɨš 2","qajɨš 2 (Pav. C.)","qajɨš 2 (dial.)","","","\IGajɨš\i 2","\IGaja-\i 1, \IGajɨš\i 2","xās 2","","qajɨš 2","","","xatɨs 2","","","","qajɨ- 1, qajɨš 2","qajɨ- 1, qajɨs 2","qajɨ- 1, qajɨs 2","qaj- > Chuv. xaj- 1, qajɨš 2","qajɨš 2","qajɨš 2","qajɨš 2","qajɨ- 1, qajɨs 2","qajɨš 2","qajɨ- 1, qajɨš 2","VEWT 219, TMN 3, 408, EDT 596, 607, ЭСТЯ 5, 199, 218, Лексика 386."
1227,"*Kāj-",1022,"1 to slide 2 to swim 3 skis","1 скользить 2 плавать 3 лыжи","","","kaj-, dial. kajp- 1","","","","","qaj- 2","","\IGāj-\i 1, 2","","","qaj- 1","","","xajɨhar 3","kańɨhar, kāńɨhar, xāhar 3","xaj- 1","","qajpɨ- 1","","","","","","","","","","VEWT 233, ЭСТЯ 5, 197-198, Stachowski 137 (nasalization in Dolg. is unclear)."
1228,"*gēp", 788,"form, example, image","форма, пример, изображение","kep ( ~ -i-) (OUygh.)","keb ( ~ -i-) (MK)","","","käp (AH)","","","kep","","gǟp","kip","käp","kep","","kap","kiep","","xep","","kep","","kep","","","","","kep","","kep","EDT 686, VEWT 253, ЭСТЯ 5, 44-45 ( > Mong. keb, see Щербак 1997, 127). Bulg. > Old Slav. kapь. Turk. > Hung. kép 'image', see Gombocz 1912."
1229,"*kes-", 777,"1 ban, prohibition 2 to punish, accuse, fine 3 tired, smashed 4 to scoff 5 guilt, flaw 6 to appoint 7 obstinate 8 to speak roughly, be in one's way, hinder 9 to be hungry, in distress","1 запрет 2 назначать наказание, обвинять, штрафовать 3 усталый, разбитый 4 издеваться 5 вина, недостаток 6 устанавливать, назначать 7 упрямый 8 говорить грубо, мешать, подводить 9 голодать, испытывать нужду","kesetkü 1 (OUygh., Chin.-Uygh. Voc. - R)","","kes- 2, kesik 3, kesin- 4","kisɛt- 2","","","kɛs- 2, kesir 5","","käsir 5","kesgitle- 6, kesir 7, kes- 2","","","","","kas- 8, kazъl- 9","kes 'forbidden', keset- 'to punish, give a lesson'","","ke'ze- 'to be punished, scared'","","kes- 2, kesir 5","kes- 2, keser 'contemptuous', 5","","kiϑɛt- 'to warn'","","","","","","","VEWT 258."
1230,"*Kɨča", 693,"1 passion, wish 2 to demand 3 to threaten","1 страсть, желание 2 настойчиво требовать 3 угрожать","","","","","","","","","","","xɨǯa 1, xɨǯan- 3","qɨčan- 3","qɨča 1","","","","","qɨžan- 3","","qɨča- 2","qɨsa 'commotion, anger' (R 2, 803 - Kir.)","","","","","","","","","VEWT 260."
1231,"*jạlɨŋ",1462,"1 naked 2 single, lonely","1 голый 2 одинокий, единственный","jalɨŋ 1, jalŋus 2 (Orkh., OUygh.)","jalɨŋ 1, jalŋus 2 (MK)","jalɨn 1, jalnɨz, dial. jalaŋɨz 2","jalan 1 (dial.), jalɣɨz 2","jalɨŋ 1 (Pav. C.), jalan, jalɨnǯaq 1 (Ettuhf.), jalɨŋɨz, jalɨqɨz 2 (Ettuhf.)","jaĺäŋ 1, jɔllɣiz 2","jalaŋ 1, jalɣuz 2","jalɨŋ, jaŋ 1, jaŋɣɨs 2","jalɨn 1, jalnɨz 2","jalaŋ 1, jalaŋač 1, jalŋɨ̄z 2","čalaŋ 1, čalɣɨs 2","čalaŋ 1, čaɣɨs, naɣɨs, naŋɨs 2","d́alaŋ 1, jaŋɨs, d́aŋɨs 2","jalɣuz 2","","sɨ̄ńax, sɨgɨnńax 1","hɨgɨnńak 1","čaŋɣɨs 2","","ǯalaŋ 1, ǯalɣɨz, ǯaŋɣɨz 2","žalaŋ 1, žalɣɨz 2","jalaŋ 1, jalɣɨz 2","jaŋɣɨδ 2","žalan, zalan 1, žanɣɨz, zanɣɨz 2","jalɨn 1, jalnɨz 2","jalɨn, jalan 1, jalɣɨz 2","žalaŋ 1, žalɣɨz 2","","jalan 1, jaŋɣɨz, jaŋɨz 2","VEWT 182, EDT 929, 930, ЭСТЯ 4, 97-98, 104-106. Turk. > Kalm. jalŋ (KW 214). Cf. also *jalkɨ 'single' (ЭСТЯ 4, 95), Stachowski 106, 118.  Yak. sɨgɨnńax < *jalŋɨn-čak; soɣotox < *jalŋoŕak."
1232,"*ɨrgaj",2753,"1 name of a plant (irga) 2 honeysuckle, woodbind 3 juniper","1 ирга 2 жимолость 3 можжевельник","","","","","","","irɣaj 1","","","","","","jɨjra 3","","","","","ɨrɣaj 1","","","ɨrɣaj 3","","","","","","","","","VEWT 166."
1233,"*Kɨrtɨĺ",1092,"1 surface 2 bark, upper layer","1 поверхность 2 кора, верхний слой","qɨrtɨš 1 (OUygh.)","qɨrtɨš 1 (MK)","kɨrtɨš (dial.) 2","qɨrtɨš 2","qɨrtɨš (Houts.) 2","","","","","","","","qɨrtɨš 1","","","","","qɨrtɨš 2","","qɨrtɨš 2","qɨrtɨs 2","qɨrtɨs 2","qɨrtɨš 2","","","","qɨrtɨs 2","","qɨrtɨš 2","VEWT 267, EDT 649, Лексика 391-392, ЭСТЯ 6, 241-242. Cf. also forms reflecting *Kɨrɨĺ: Yak. kɨrɨs 'thin layer under skin', Tur. kɨrɨš 'wrinkled', Az. Gɨrɨš 'wrinkle' (see ЭСТЯ 6, 242), as well as *Kɨrča(ŋ) 'scab' (see ibid., 244-245)."
1234,"*gȫn",2743,"tanned skin, leather","дубленая шкура, кожа","kön (OUygh.)","kön (MK)","gön","kün","gön (Sangl.), kön (Nahc., Pav. C.)","kọn","kön","","gön","gȫn","","","kön","","","","","","","kön","","kön","kün","gön","","gön","kön","","gön","VEWT 290-291, EDT 724, ЭСТЯ 3, 72-73, Лексика 384, 476-477. Cf. also *gȫnčük 'an ornament on shirt' (ЭСТЯ 5, 106)."
1235,"*K(i)ab",1065,"1 peeled skin 2 to peel 3 dandruff","1 содранная кожа 2 сдирать (кожу) 3 перхоть","","","kav 1, kovak 1, kavla- 2","qawɨq 3","qav  1 (AH) , qavaq 3 (CCum.)","","qavaq 'shell' (dial.)","","\IGovaG\i 3","\IGov\i 1","xāx 3","","qoq (Верб.), qāq (dial.) 3","","","","","","","","","","qaw 1, qawaq 3","","","","","","","VEWT 214, EDT 578, ЭСТЯ 5, 160-161, 6, 7-8. This root should be distinguished from *Kāpuk 'bark' (v. sub *k`ā́p`à), although they are partially confused in VEWT 234-5. See also EDT 583."
1236,"*jɨĺ",2569,"1 mountain forest, thicket 2 spine","1 горный лес, чаща 2 хребет","jɨš 1 (Orkh.)","jɨš 'high ground' (MK)","","jɨš 1","","","","","","","čɨs 1","","d́ɨš 1","","","\Isis\i 1, 2","\Ihis\i 1, 2","","","ǯɨš 1","","","jɨš 1","","","","žɨs 1","","","EDT 976, VEWT 202, ЭСТЯ 4, 44, Лексика 94-95, Stachowski 105."
1237,"*jAŋak",2696,"door post","дверной косяк","","(qapuɣ) jaŋaqɨ (MK)","","jaŋaq","","","","","","","","","jāq","","","","","čāq","","","","","jaŋaq","","","","","","","DT 948, ЭСТЯ 4, 123-124. The root is traditionally considered merely a variant of *jạjŋak 'cheek, jaw' (v. sub *zi̯ā̀ni), but it may be possible to separate them etymologically. Tat. > Chuv. janax > Mari, Udm. janak (Федотов 2, 500)."
1238,"*bodun",1358,"people","народ","bodun (OUygh., Orkh,)","boδun (MK)","","","","","","","","","","","","","","","","","","","","","","","","","","","","EDT 306, TMN 2, 812, Лексика 316."
1239,"*böŋk-",  95,"to kick, buck","пинать, брыкаться","","möŋ- (MK)","","","","","möŋ-, möŋkü-","","","","mükü-","","mökü-","","","möx-","","mög-","möŋ- (Рас. ФиЛ 207)","möŋkü-","möŋki-","","","","","","","","","EDT 767, VEWT 342, ЭСТЯ 7."
1240,"*okɨ-",1562,"to call, read, recite","звать, читать, декламировать","oqɨ- (OUygh.)","oqɨ- (MK)","oku-","uqɨ-","oqɨ- (AH), oqu- (Abush., Pav. C.)","ọqi-","oqu-","","oxu-","oqa-","","","","họqu-","","oguj-, uguj-","","","","oqu-","oqɨ-","oqɨ-","uqɨ-","oqu-","oqu-","oxɨ-, oqu-, oxu-","oqɨ-","","oxu-","EDT 79, VEWT 359, ЭСТЯ 1, 439-441."
1241,"*ged-", 806,"to put on","надевать","ked- (OUygh.)","keδ- (MK)","\Igĳ-\i","kĳ-","kej- (AH, Ettuhf.)","kĳ-","kej-, kĳ-","kez-","gej-","gej-","kis-","kes-","kĳ-","käd-","","ket-","ket-","ket-","","kĳ-","kĭj-","kĳ-","kĭj-","","gī-","kĳ-","kĳ-","kĳ-","\Igĳ-\i","EDT 700, VEWT 246, ЭСТЯ 3, 12-13, Лексика 472-473, Stachowski 146."
1242,"*joŋ", 394,"1 accusation 2 to accuse","1 обвинение 2 обвинять","joŋa- (OUygh.) 2, joŋšur- (Orkh.) 'to embroil'","joŋa- (MK) 2","","","","","","","","joŋ 'indisposition'","čoŋ","","joŋ 1","","","soŋ 'enforcement'","","","","","","","","","","","","","","EDT 944, VEWT 206, ЭСТЯ 4, 223."
