NUMBER|PROTO|PRNUM|MEANING|RUSMEAN|EVK|EVN|NEG|SIB|MAN|CHU|ULC|ORK|NAN|ORC|UDE|SOL|REFERENCE
1214|*ńim-|1488|to close (eyes)|закрывать (глаза)|nimŋi-|ńimru-|ńimni-||||ńịmarGụ-|ńimmi-||ńimsi-|||ТМС 1, 594-595.
1215|*niŋī-|1469|to curse, damn|проклинать|niŋī-|ńiŋi-|niŋi-|||||niŋiči-||||niŋīl (n.)|ТМС 1, 598.
1216|*murgi|1328|barley|ячмень|||||muǯi|mir-ɣe-i 'product of agriculture' (825)|muǯi||muǯi|||mụrgil 'ярица, яровое поле'|ТМС 1, 551, 558. TM > Dag. murgil 'wheat' (Тод. Даг. 155).
1217|*nirku-|1472|short hair (of deer)|короткая, редкая шерсть (оленя)|nirku||||nirGa, nirꭓan||||||||ТМС 1, 600.
1218|*nisi-|1456|small|маленький|nisimkūn|nịsa 'small beads'|nịsịmkụ̄n||nisiꭓa 'small fish'||||||||ТМС 1, 600.
1219|*nekte|1424|1 tilth, tillage 2 lowland 3 low|1 пашня 2 низина 3 низкий|nekte 1, 2, 3|ńätkun 3|nekte 2, 3||||nekte 2|nēktē-gi 2, nēkte 3|nekte 2, 3|nekte 3|nektele 2|nekte 3|ТМС 1, 616, 617.
1220|*nelbi|1427|fringe|бахрома|nelbi|nebъlen|||||||||||ТМС 1, 619.
1221|*neme- / *nama-|1430|to patch|латать, штопать|neme-, nama-|nemēt-|nemes-||nemki-||namui (n.)|nembesse-, nambotčị-|namu (n.)|namasi-|neme-||ТМС 1, 622 (cf. also *nama- 'to stick to, etc.', ТМС 1, 581).
1222|*ńamā|1402|hundred|сто|ńamā|ńama|ńama|||||||||namāǯi|ТМС 1, 631.
1223|*ńamńa-|1401|to ride|ехать верхом|ńamńa-|ńamńị-|ńamńa-||ńamńa-||ńamńa-|ńamńa-|ńamńa-|||nanna-|ТМС 1, 632.
1224|*ximŋe-kte|1043|bird-cherry|черемуха|inŋēkte||imŋemkēn||jeŋge||sińekte|siŋekte|siŋēkte|imepe|iŋofo|iŋekte|ТМС 1, 318.
1225|*ńamulsa|1403|swamp moss|болотный мох|ńamulla|ńamъ̣lrъ̣|ńamula||ńamala||ńamụlta|namụĺta|ńamolta||||ТМС 1, 632-633.
1226|*ńa(n)ŋa-|1406|bullfinch|снегирь||ńaŋarki|||||||||||ТМС 1, 633. Attested only in Evn., but having probable external parallels.
1227|*ńaŋu-|1408|cone, nut, fruit stone|шишка, орех, косточка плода|ńaŋta|ńaŋtъ̣|||ńańun 'palm nut'|||naŋụ- 'to crack nuts'||ńańikta|ńaŋta||ТМС 1, 634-635.
1228|*pigi-|1774|1 to warm, be warmed 2 to be sun-tanned (of skin)|1 греть, греться 2 загорать (о коже)|hiɣit- 1|hiɣъt- 1|xō- 'пригорать'||fo- 2||||||||ТМС 1, 467, 2, 322, 331. Neg. and Man. reflect *pigi-b-.
1229|*ńiam-|1475|1 old trace 2 to trace (an animal)|1 след (старый) 2 распутывать следы (зверя)|ńē̂mirī 1||||||||||ńāma- 2||ТМС 1, 631, 637.
1230|*ńiblü-|1447|to paint, smear|красить, мазать|||ńịja-, ńị̄lị-||ju-||ńili-|ńilitči-|ńiule-||jeule-||ТМС 1, 638.
1231|*niri-|1457|spine, spine vertebra|позвоночник, хребет, позвонки|niri|ńịrị|nịjịkta||||ńịrịqta|ńịrịkta|ńịrịqta|ńīkta|ńīkta|nērde|ТМС 1, 639-640.
1232|*ńiru- / *ńeri-|1459|grayling (fish)|хариус|niru, neriɣē|nêrgat, nöriɣe|ńeju|||||||ńū-ča|ńuu-sa||ТМС 1, 640, 654.
1233|*ńu-ŋu-n|1511|six|шесть|ńuŋun|ńuŋъn|ńuŋun|niŋun, ńuŋun (2740)|niŋgun|niuŋ-ǯu (641)|ńuŋgu(n)|nuŋgu(n)|ńuŋgũ|ńuŋu(n)|ńuŋu(n)|ńuŋũ|ТМС 1, 647-648.
1234|*ńūre-|1448|to become hot (of metal)|накаляться (о металле)|ńūre-|ńȫr-|ńuje-||||||||||ТМС 1, 649.
1235|*ńūte|1519|resin, pitch, gum|смола, сера (древесная)|ńūte|ńūt|nūte||||nūte|ńūte|nūte|ńute|ńute||ТМС 1, 649.
1236|*ŋen-|1534|to attack, fight|нападать, драться, убивать|ŋen-či-, ńeŋ-|ńen-|||ne-či-||||||ŋeneusi-||ТМС 1, 653, 671.
1237|*ōn-|1598|1 angle, corner 2 to bend 3 bay 4 cross-roads|1 угол 2 гнуть 3 залив 4 развилок, распутье|ōnŋān 1|onịt- 2|onŋị- 2||oŋGolo 4||onǯo 3|onị 1, ondo 3|ondo 3|ōŋo 3|||ТМС 2, 19, 21-22.
1238|*ŋēle-|1532|to be scared, frightened|бояться, пугаться|ŋēle-|ŋēl-|ŋēle-|gelə- (1886)|gele-||ŋele-|ŋēle-|ŋele-|ŋēle-|ŋele-|nēle-|ТМС 1, 667-669.
1239|*ŋem-|0|to crush, break through|взламывать, пробивать||ŋemtъk-, ŋemtъl-|||||||||||ТМС 1, 669.
1240|*ŋunŋe|1548|straight|прямой|ŋuŋne|ŋūn|ŋuńŋe|||ŋun-du (661)|||||||ТМС 1, 666-667.
1241|*ŋēr(i)-|1439|light|свет|ŋērī|ŋēri|ŋējin|gūxun 'bright' (2050)|gexun|ŋe-xun (736)|ŋegǯe(n)|ŋegde-|ŋegǯẽ|ŋegǯe|ŋegǯe, ŋei||ТМС 1,  671-672.
1242|*oga|618|thigh, hip|бедро, ляжка|oɣo|ōɣ|oɣo||||\Iō\i|\Iō\i|\Iō\i|\Iō\i|\Iō\i|oɣo|ТМС 2, 5.
1243|*xobanī|1108|armpit|подмышка|oɣonī, owońī|oɣnị, ownị|oɣonị||obix́a jali 'meat from the region of shoulderblades'||ꭓawa(n)|ꭓawanị|ꭓawanị|||owonī|ТМС 2, 4, 6.
1244|*pe(j)m-|1816|boots|сапоги, унты|hemčurē||xemčira||foǯi, fomo(či)|fom-či (556)||pē̂mo-nị 'top of boots'||xebbire||xočoro|ТМС 2, 36, 365-366. Cf. also Evk. hē̂ma 'щетка под копытом оленя; меховая кайма'. Evk. > Dolg., Yak. ömčürä, Russ. Siber. amčurɨ́ (pl.) (Аникин  86).
1245|*oja|2495|badger|барсук|||||||ojo||ojõ|ojo|||ТМС 2, 9.
1246|*xola-|2749|oak|дуб|||||||||xoroŋkola|oloŋkī|oloŋkö||ТМС. 2, 16.
1247|*koši-kta|935|1 nut 2 peach|1 орех 2 персик|kočikta 1||||ꭓusiꭓa 1|xu-ĉu 1 (129), xu-ĉur 2 (106)|qačịaqta 1||qočoa 1|kočokto 'a k. of bush'|||ТМС 1, 419; 2, 291. Manchu ꭓusiꭓa may be < Mong.; but cf. also ꭓusiri mō 'a k. of chestnut-like tree', ꭓasuran 'tree bark, bark of wild peach tree' (Захаров 385).
1248|*xusi-kta|1151|1 acorn 2 oak-tree 3 big nut|1 желудь 2 дуб 3 большой орех|usikta 2||||usiꭓa 3||||ꭓosaqta 1||uhikta 1||ТМС 2, 291.
1249|*oŋka|1574|pasture, grass food|пастбище, подножный корм|oŋko|oŋqъ̣|oŋko||oŋqo||oŋqo|oqqo|oŋqo-|oŋko- 'to graze'|oŋkosi- 'to graze'||ТМС 2, 21. Evk. > Dolg. oŋko (see Stachowski 194).
1250|*ōs-|676|to retire, make the place vacant|отступать, уступать (место)|ōs-|ōs-|ōs-||||osị-|ōssị-|ōsị-|osu-|||ТМС 2, 25-26.
1251|*padu|1697|bag, pouch|сумка||||fadə (248)|fadu||padụ(n)|padụ|pado||||ТМС 2, 31.
1252|*pīlu-|1812|to soar; to drop (of leaves)|лететь, парить; облетать (о листьях)|||||f́ele-||||pīluen-||||ТМС 2, 38.
1253|*por-|1863|to hit, strike|бить, ударять||||f́ori- 'to pound, to beat' (1582)|fori-||||||||ТМС 2,  301. Attested only in Manchu, but having probable external parallels. {Here also with probability PTM *purk- 'to jump up, jump on smth." (ТМС 2, 353).}
1254|*pit(a)|1652|hard, tough|крепко, плотно|\Ipit\i ( < South.)||||fita||pịtam 'near, close'|pịtamǯi; \Ipit\i 'just, soon'|||||ТМС 2, 39.
1255|*pug(i)ju-|1846|1 tinder, tree excrescence 2 convex|1 нарост (древесный) 2 выпуклый|hujulgen 1|pogụra 2 ( < S.-Tung.)|poɣjụ 1 ( < S.-Tung.)||forǯin 1|||pugju 1|porǯị 1||||ТМС 2, 40, 338.
1256|*pisu- / *pusu-|1808|to sprinkle|брызгать|husu-|hus-|xusi-|fusu- (1658)|fisi-, fise-, fusu-||pisuri-|pisitči-, possolị-|pisi-, fisi-, fuksu-||||ТМС 2, 39, 42, 355.
1257|*putē|1877|1 hole 2 to break through 3 nostril|1 дыра 2 пробивать 3 ноздря|||||feteri 3|||putē 1, putē- 2|putē- 2 (Он.)||||ТМС 2, 43, 305.
1258|*purkē-|1806|1 to be bored 2 to be angry|1 скучать, тосковать 2 сердиться|hurkē- 1|hörken- 1|||fuḱe-, fuče- 2|||||xokkosi-|xokoho (adv.)||ТМС 2, 45, 353.
1259|*sab-|1918|1 to present gifts 2 to get accustomed|1 предлагать дары, угощать 2 привыкать|sawka- 2|hawqъ̣- 2|sawlị- 1|šioli-, sioli- (1438) 'to invite'|\Isoli-\i 'to call guests; to propose a position'||saụlị- 1||saolị- 1|sawli-, sauli- 1|sauli- 1||ТМС 2, 51-52. TM > Dag. \Isoli-\i (Тод. Даг. 163).
1260|*sabu-|1880|white-fish|сиг|sawčān||sawčān||||sawụ||sao|saū|||ТМС 2, 52.
1261|*sajKa|1888|shin-bone|голень, берцовая кость|||||sajꭓa||||||||ТМС 2, 56. The word is hardly borrowed from Mong. siɣai, Khalkha šagaj, despite Doerfer MT 138 (however, Sol. sāxa 'knucklebone' is quite possibly < Mong.).
1262|*sabu-|1938|1 to rustle, sound 2 noise, splash|1 шуршать, звучать 2 шум, плеск|sawuda- 1||||||||saoGī̃ 2||safuta- 1||ТМС 2, 52, 65.
1263|*soKa-|2128|to scoop, ladle|черпать|soko-|hụqụ-|soxo-||||sū-su-|sō-|sō-lo-|soko-|so`-lo- (Корм. 287)||ТМС 2, 105.
1264|*salk-|1905|1 pole, post 2 frame of a loom 3 paddle on a ski stick|1 столб, жерди 2 рамка (у ткацкого берда) 3 лопатка (нп лыжной палке)|salkamča 1|halqъ̣mča 1|||salꭓu 2|||saltịnqo 3|||||ТМС 2, 58, 59.
1265|*samā-n|1909|shaman|шаман|samān|hamān|samān|samən (1090)|sama(n)||samā(n)|sama(n)|samã|sama(n)|sama(n)|samā̃|ТМС 2, 59. TM > Dag. samān (Тод. Даг. 161).
1266|*sańa|1911|bird dung|птичий помет|||sańan||||||||sańa||ТМС 2, 61.
1267|*sarga-|1945|1 perch 2 grayling 3 white-fish 4 herring|1 окунь 2 хариус 3 сиг 4 сельдь|sargaka 1||sajgatị 2||sarGa nimaꭓa 3||sarGadị 2|sarụkki 4||sagati 2|||ТМС 2, 65, 67.
1268|*sāče-|1941|to be careful|остерегаться, быть осторожным|sāče-||||||||||||ТМС 2, 68.
1269|*siali-|2051|diligent, smart, quick|ловкий, проворный, старательный|||||silin||||sǟlị||||ТМС 2, 70.
1270|*sigǖ|1993|thick growth|чаща|siɣī|hịɣị|siwū||ša, šuwa||sē̂u|sị̄ɣị|sịo|siǯai|siǯa`i, siǯampa`i (Корм. 284)||ТМС 2, 77.
1271|*sim-|2055|shadow, dark place|тень, темное место|simŋun|himŋъn|simŋun||silmen|||simgu(n)|siŋmū̃||||ТМС 2, 87.
1272|*simki-|2149|to cough, cough|кашлять, кашель|simki-|hiēmkъ-|simki-||||siŋbi-|sipki-|siŋbi-, simki-|simpi|simpi-|simki-|ТМС 2, 87.
1273|*sipki-|2015|1 to spy, peep 2 to slander|1 подсматривать 2 клеветать, сплетничать, подстрекать|sipkit- 1, sipku- 2|hịpqъ̣- 1|sịpkịt- 1|šifəḱa- 'to study' (1853)|sibki- 1|||sipkiči- 'hide'||sippiči- 1||š́irkiš́ī- 'listen, hearken'|ТМС 2, 92, 93.
1274|*sir-|2575|to cut, cut out|резать, кроить|\Isir-\i|hir-|sĳ-||||||||||ТМС 2, 93-94.
1275|*sibsV|2559|lentils|чечевица|||||sisa||siusi||siusi||||ТМС 2, 98, 100.
1276|*xuńi-|1102|to envy, become sick of envy|завидовать, обижаться, заболевать от зависти|\Iuni-\i|öń-|uńi-||||xuńi-||xuńi-||uńi- 'to become sick'||ТМС 2, 273-274.
1277|*suga-kta|2125|wormwood|полынь|||soɣakta||suku||soaqta|sụaqta|sōaqta|suakta|||ТМС 2, 105.
1278|*pubi / *pebi|1874|nest|гнездо|huɣi; hewe 'шалаш'|hewi|xūɣī|fei (2299)|feje||||||xui|ubī, ūwī|ТМС 2, 337.
1279|*sak-pi|1899|axe|топор|||||||saqpị||||||ТМС 2, 56. Attested only in Ul., with parallels in Kor. and Jpn.
1280|*suli-|2572|to sharpen, sharp|заострять, острый|sul-|höl-|sul-||šulixun||suli-|suli-|suli-|sulu-|sulu-||ТМС 2, 123.
1281|*suldu-|2570|1 to uproot 2 to tear|1 выкорчевывать, выдирать с корнем 2 драть, выдирать|sullu- (suldu-) 1|hụlraq- 1|solol- 1||||||suldē- 2||||ТМС 2, 125. Cf. also Evk. Chmk. sulrus 'root'.
1282|*temi-|2343|to grope|ощупывать|temi-|temi-|temikte-||||temuru-|temiri-|temiri-||teme- (Корм. 298)||ТМС 2, 233-234.
1283|*septu / * semtu|1947|rust|ржавчина|semtu||semti||sebden||septu-če|septu|septu-če|semtu|semtu-||ТМС 2, 141-142.
1284|*selu-(mi)-|1958|1 cross-bow 2 arrow|1 самострел 2 стрела|selu, sele 2|helike 2|senmu 1, 2||selmin, selḿen (also "cock in bird-trap")||||sermi 1, 2|semmi 1, 2|seŋmi 1, 2||ТМС 2, 143.
1285|*ēde-|456|1 silly 2 defect, shortcoming|1 глупый 2 недостаток, увечье|||||\Ieden\i 2||\Iede(n)\i 1||ēdẽ 1|ede 1|ēde 1||ТМС 2, 439. Man. > Dag. \Ieden\i (Тод. Даг. 138).
1286|*tālgi-|2322|1 far from the shore, open sea 2 bay 3 quiet sea surface 4 to become quiet (of wind, weather)|1 далеко от берега, в открытом море 2 залив 3 гладкая поверхность моря 4 стихать (о ветре)|tālgu- 4|talargъ̣n- 4, talgịn 2, 3|||talGan 3||talǯị 1|talda 1|talgịa 1, talGa 2, talị-talị 3|tagga-la, tagga-si 1|tagä 1||ТМС 2, 150, 157. Nan. has probably a secondary vowel shortening; but cf. also *tala 'well', with a possibility of contaminations.
1287|*tagda-|2290|1 to be angry 2 to be amazed|1 сердиться 2 восторгаться, кичиться|||tagda- 1||taqda- 2||taGda- 1|taGda- 1|taGda- 1|tagda- 1|tagda- 1||ТМС 2, 150, 153.
1288|*taxi|2298|knee, knee cap|колено, коленная чашечка|||||taḱa||taꭓị||||||ТМС 2, 153.
1289|*taku-|2291|to repair|чинить|taku-|taq-|||||taqụ-|tāwčị-|taGo-||||ТМС 2, 155.
1290|*tami-|2301|1 to munch 2 to inhale 3 to swallow|1 чавкать 2 вдыхать 3 глотать (воздух, слюну)|tam- 1|tam- 2|tamančị- 'сжать зубы'||||||tamị- 3||||ТМС 2, 158, 159.
1291|*tanŋa-|2307|to capture, plunder|брать в плен, отнимать, грабить||tanŋъ̣n-|tanŋan-|||||tāna-|||taŋasi-||ТМС 2, 161.
1292|*taŋ-|2308|to read, count|читать, считать|taŋ-|taŋ-|tāŋ-|||||||taŋǟ-, taŋi-|taŋi-||ТМС 2, 161-162.
1293|*tap|2311|through|через, насквозь|tapamnak|tabdịč|\Itap\i||||\Itap\i|\Itap\i|\Itap\i|||tawakki- 'to pierce'|ТМС 2, 164.
1294|*targa|2314|1 beaver 2 tiger's cub|1 бобер 2 тигренок|||||tarGan 2||tarGa 1||tarGa 1||||ТМС 2, 168.
1295|*tiaku|2377|1 hen 2 quail|1 курица 2 куропатка||tǟqčaqa 2||čoqō 'chicken' (2198)|čoqo 1|tixo (161) 1|||čịqo 1|čoko 1|||ТМС 2, 172, 403.
1296|*tias-|2384|quite, completely|сплошь, совершенно, полно́|||tē̂s||||tē̂s|tês|tịas|tǟs, tias|teäsi||ТМС 2, 173.
1297|*tüjŋe(-pun)|2402|staff|посох|tĳewun|tĳun|tĳewun|teifun (676) 'walking stick, staff'|tejfun||tinepu(n)|teiŋgeptu(n)|tunepũ|tĳō, tĳeu(n)|tiu, tieu(n)||ТМС 2, 176.
1298|*tüksa|2396|house cover made of birch bark|берестяная покрышка (жилища)|tiksa|tịs|tịksa||tuqsa||tụịqsa||tịsa (Kur-Urm.)|tuksa|tukeä, tukä||ТМС 2, 179.
1299|*tilka-|2370|to splatter, overflow|разливаться, выплескиваться|tilka-|tịlqъn-|||||čịlčan-||čịlqa-||||ТМС 2, 180-181.
1300|*tibŋa|2366|male deer, elk|олень-самец, лось|tiŋer||||||t́aŋa|||tipaŋa|||ТМС 2, 185.
1301|*türü|2406|straps|ремни, подвязки|tirī|tịrị|||turu||||||||ТМС 2, 187.
1302|*tia- (*taj-)|2318|to swim, float|плавать|tī- / čī- `to slip, slide'|tǟ-|tē̂ču-||||||||||ТМС 2, 172-173, 174.
1303|*togar|2418|big span|большая пядь|toɣor|toɣъ̣r|toɣoj||\Itō\i||tawali||tawar|\Itō\i|\Itō\i||ТМС 2, 190-191. Manchu \Itō, \ibecause of the absence of -r, may be actually < Mong. (see Rozycki 200), but borrowing is impossible for most other forms.\I \i
1304|*tōma|2479|a k. of plant similar to potato|назв. растения со съедобными корнями, похожими на картофель||||||||||tōma|||ТМС 2, 196. Attested only in Oroch, but having probable parallels in Turk. and Mong.
1305|*toxan|2423|button, buckle|пуговица, пряжка|||toxon||toꭓon||toꭓo(n)|toqo, toꭓo(n)|toꭓõ||toho||ТМС 2, 192. The variant toqo in Orok is unclear (some old interdialectal loan?).
1306|*tomka-|2428|1 to spin 2 thread|1 сучить (нитки) 2 нитка|tomko- 1|tomko- 1|tomko- 2||toŋGo 1|to-ŋo (250) 1|toŋpị- 1|toqpo- 1|tompo- 1|tompo- 1|tompo- 1|toŋxo- 1|ТМС 2, 196. Cf. also *tumu- 'to spin' (ТМС 2, 212).
1307|*toŋ-|2430|1 to bend (a branch) 2 cradle's bow 3 cylindric vessel|1 нагибать (ветку) 2 дуга люльки 3 сосуд цилиндрической формы|toŋo- 1||||tuŋgi 'a k. of bow'||||toŋmã 2||tuŋʒa` 3 (Корм. 297)||ТМС 2, 197, 215.
1308|*toŋda|2429|straight, honest, true|прямой, справедливый, честный|toŋno||toŋno|tondə (2376, 2484)|tondo|toŋ-do (407)|toŋdo|toŋdo|toŋdo|toŋno(n)|tōŋdo|tondōxõ|ТМС 2, 197-198. Man. > Dag. tondo (Тод. Даг. 168).
1309|*tube-|2415|1 fruit 2 berry 3 blue-berry|1 плод, фрукт 2 ягода  3 брусника, черника|tewukte 2|tъwtъ 2|tewu-kte 2|t́ufəxi, t́uvəxī 1 (323)|tubixe 1|tuwi-xe (525) 1|tuikte 3||čuikte 3|čikte 3|teukte 3|tuwik 1|ТМС 2, 203, 225-226. TM > Dag. tubig 'fruit' (Тод. Даг. 169).
1310|*tuKu-|2458|1 calf, young of deer 2 to bear|1 теленок, олененок 2 рожать|tuku-čēn 1|tū- 2|||tuqšan 1||||||||ТМС 2, 210.
1311|*tulī-|2477|exterior, external side|внешняя сторона, внешнее пространство|tulī-n|töl-de-|tulgi-|tiuli- (2590, 3028)|tul-gi-|tuli-le (601)|tuli|tulie(n)|tulie|||tulergi, tul-dēlī|ТМС 2, 211.
1312|*kuta|938|bog, marsh|болото|kuta|kuta|kota|||xoto-o-n 'pond' (34)|||||||ТМС 1, 439.
1313|*tupi-|2469|to spit, spittle|плевать, плевок, слюна||||čivələ- (36, 408)|čife-le-||tịpụ(n)|tụpịn|topịn-|tupin-|||ТМС 2, 213. The variant *tipu- reflected in Manchu and Ul. is probably secondary.
1314|*tum-|2465|1 clever 2 to understand|1 умный 2 понимать|tumnačī 1||tumku-n 1|||||||tumne- 2|||ТМС 2, 213.
1315|*tuŋde (~-r-)|2431|willow|ива, тальник|||||||tuŋde|tuŋde|tuŋde|tuŋde|tuŋde||ТМС 2, 215.
1316|*tuŋ-|2388|1 lake 2 backwater|1 озеро 2 заводь|tuŋer 1, tuŋuke 2|töŋēr 1|töŋēr 1||tuŋgu 'abyss, deep place'||||||toŋi, tuŋi 1||ТМС 2, 215, 217.
1317|*turē-|2382|to curse; to speak|бранить, ругать; говорить|turē-|tȫre-|tūjē-|||||||||tūrē-|ТМС 2,222.
1318|*tuta-|2481|to stay, remain|оставаться||||tuta- 'to stay behind, to remain behind' (1180)|tuta-|duta-xun (720)|||||||ТМС 2, 223.
1319|*tupi ( ~ -ü-)|2405|woven basket|плетеная корзина|||||tubi||||||||ТМС 2, 203. Attested only in Manchu, but having probable external parallels.
1320|*tedē-|2332|to relate, transmit|сообщать, уведомлять, передавать|tedēw-||tedew-||todo-lo 'omen, admonition'|||tede- 'to notice'||tedu- 'teach'|||ТМС 2, 228.
1321|*tel-|2357|1 to cock (a cross-bow) 2 to spread a carcass, to skin 3 spreader|1 насторожить (самострел), натянуть (стрелу) 2 распластывать, свежевать 3 поперечная палка у вертела|telbe- 1, telge- 2|telgъ- 2|telge- 2||||telǯeči- 2|telde- 2, telbe 3|telgeči- 2|tegge- 2|tegesi- 2||ТМС 2, 231.
