NUMBER|PROTO|MEANING|PRNUM|TEL̲1|TEL̲2|TEL̲3|TEL̲4|TEL̲5|TEL̲KR|TEL̲INSCR|MEROLU|ADDITION|NOTES|DEDNUM
1423|*ner̲-i|the longitudinal folds of the lower cloth worn round the loins, hair, tresses, ringlets or curls of hair, crookedness, curvedness; crooked, curved|1016|ner̲i||||||||Also \Ineri\i crookedness; \Iner̲ika\i petticoat||2935
1424|*neṭ-ik-|a knuckle, cracking or snapping the knuckles|1088|neṭika||||||||||2936
1425|*nocciḷḷ-|saliva, spittle|0|nocciḷḷu||||||||||2937
1426|*ṭekk-|flag, banner|0|ṭekkemu|ṭekkiyamu|||||||||2938
1427|*ḍagg-|to cough; n. a cough|0|daggu|||||ḍaggu|||||2939
1428|*ṭeŋ-|the stone of the mango and other similar fruits|1621|ṭeŋka||||||||||2941
1429|*Dumm-|bone|305|dummu||||||||||2965
1430|*ḍekk-|hoof|294|ḍekka||||||||||2970
1431|*ḍokk-|skeleton, belly|297|ḍokka||||||||||2976
1432|*ḍoŋk-|footpath|0|ḍoŋka||||||||||2981
1433|*ḍoŋ-|false, deceitful, secret, furtive; thief, knave, swindler|301|ḍoŋga|doŋga|||||||Also \Idoŋgu\i, (K also) \Iḍoŋgu\i to be hidden or concealed, abscond; [1] \Idoŋgilu\i, [2] \Idoŋgilincu\i to steal||2982
1434|*ḍopp-|cup formed of leaf or leaves|300|ḍoppa|doppa|||||||||2986
1435|*ḍoll-|to fall|299|ḍollu||||||||Also \Iḍolligillu\i to fall or tumble over; \Iḍullu\i to fall off; [1] \Iḍulcu\i, [2] \Iḍulucu\i, (K also) \Iḍulupu\i to cause to fall; ? \Iūḍu\i to fall off, come off, drop, give way, fail||2988
1436|*ḍokk-|hard covering of a nut, etc., shell|302|ḍokka||||||||||2989
1437|*ḍōŋk-|to dig slightly so as to loosen the soil for weeding, pare the ground cutting up the turf|304|dō̃ku|||||ḍō̃ku|||Also \Iḍoŋgu\i hollow in a tree||2990
1438|*Dōm-|mosquito, gnat|303|dōma||||||||||2991
1439|*tag-aḍ-|plate, sheet, leaf of foil, of metal|0|tagaḍu||||||||||2995
1440|*dag-|glitter|268|dagadaga||||||||Also \Idagadagam-anu\i to glitter, shine||2998
1441|*tagar-|ram|1470|tagaramu|tagaru|||||||||3000
1442|*tagar-am|tin|1471|tagaramu|tamaramu|tavaramu||||||||3001
1443|*tagar-|Cassia tora|0|tagara (B)|tagirisa (B)|tagirinta (VPK)|tagarise (VPK)|tailanca (VPK)||||Also \Itaŋgē̆ḍu\i Cassia auriculata||3003
1444|*tag-|to touch, come in contact with, strike against, follow, pursue, be entangled, ensnared or caught, be found or met with; n. attachment, interest, wish, desire|1472|tagulu|tavulu|||||||Also \Itagilincu\i to cause to touch, catch, adhere or stick to, attach, fix, fasten, insert, hang on, apply; \Itagulã-baḍu\i to burn, be on fire; \Itagulã-beṭṭu\i to set on fire; [1] \Itagulamu\i, [2] \Itagulāṭamu\i attachment, tie, affection, fondness, love, passion, addictedness, connexion, relation, hindrance, obstacle, a fetter; \Itagulukonu\i to get entangled or ensnared, catch fire; \Itagulucu\i to cause to touch; [1] \Itaguluḍu\i, [2] \Itaguludala\i touching, contact, catching, addictedness; \Itaguluvaḍu\i to be caught, seized, or entangled||3004
1445|*tag-|to be proper, becoming, fit, suitable, decent, worthy, competent|1473|tagu|tavu|||||||Also \Itagan\i duly, fitly, properly; \Itagani\i improper, unbecoming, unfit, unsuitable; \Itagavu\i justice, uprightness, virtue, lawsuit, dispute, presents given by parents to their daughter at the time of her marriage; \Itagina\i proper, becoming, fit, suitable, appropriate; [1] \Itaginaṭṭu\i, [2] \Itaginaṭlu\i in a suitable manner||3005
1446|*takkaḷ-|tomato|0|ṭekkili (B)|takkāḷa-kāya|||||||||3009
1447|*takk-|to remain, be left, be excepted or omitted; n. remainder, other|1500|takku||||||||Also \Itakkina\i remaining, other; [1] \Idakku\i, [2] \Iḍakku\i to remain, be left as a balance or residue, be saved or spared||3014
1448|*tass-|flesh, proud flesh, unhealthy flesh|0||||||tassa|||||3016
1449|*daṭṭ-|thick, close, dense, compact, thickset|272|daṭṭamu||||||||Also \Idaṇḍi\i large, great, abundant, plentiful, ample, abundance, plenty; ? \Idandaḍi\i excessiveness; much, great, excessive; \Idandaḍincu\i to grow, increase||3020
1450|*daḍ-|to tremble|0|daḍiyu||||||||Also \Idaḍa\i shaking, trembling; (B) \Idaḍadaḍam-anu\i to palpitate||3021
1451|*taṭ-|at once, suddenly, in a moment|0|taṭukuna|taṭukkuna|||||||Also \Idaḍadaḍa\i quickly, rapidly||3022
1452|*taḍ-|to grope, feel about with the hands, feel for something in the dark, touch, handle, stroke|1469|taḍavu|||||taḍamu, tavuḍu|||Also \Itaḍavuḍu\i searching||3025
1453|*taḍav-|a time or repetition|0|taḍava||||||||Also \Itaḍavu\i time, period||3026
1454|*taṭṭ-|measles|0|taṭṭ-amma|taṭṭ-ammavāru||||taḍupu, taḍapara||||For \Iamma\i mother-goddess see 183.|3028
1455|*taḍ-|to delay|1468|taḍayu||||||||Also \Itaḍa\i hindrance, obstruction, prevention; \Itaḍavu\i delay, loss of time; \Itaṭāyincu\i to hinder, prevent||3031
1456|*taḍap-a|a strip of any fibrous bark, (K also) or of cloth|1467|taḍapa||||||||||3032
1457|*taṭṭ-a|tray, salver, plate, platter, small flat basket|1495|taṭṭa||||||||||3035
1458|*taḍ-|hurdle or tatty, screen made of bamboos, etc.|1497|taḍaka||||||||Also \Idaḍi\i screen of mats, leaves or the like, fence||3036
1459|*daṭṭ-|waist-band or girdle of cloth, sash|0|daṭṭi||||||||||3038
1460|*taṭṭ-|to strike, beat, knock, pat, clap, slap; n. stripe, welt|1494|taṭṭu||||||||Also \Itaṭravā̃ḍu\i goldsmith or silversmith||3039
1461|*taṭṭ-|side, direction, part|0|taṭṭu||||||||||3040
1462|*tan-|to be satisfied or contented|1484|taniyu||||||||Also \Itaniyincu\i to satisfy; \Itanivi\i satisfaction, contentment; \Itanupu\i to satisfy; n. satisfaction, content, coolness||3045
1463|*taḍ-|moisture, wetness, dampness, damp; moist, wet, damp|0|taḍi||||||||Also \Itaḍiyu\i to get wet; \Itaḍupu\i to wet, moisten; adj. wet||3045
1464|*can-|cold water|0|cannīḷḷu||||||||||3045
1465|*taṇ-uk-|(Lush.) whirling nut, Gyrocarpus jacquini|0|taṇuku||||||||||3046
1466|*tan-|(also caus.) to increase, rise, shine, be well, good or excellent|1485|tanaru|tanarāru|tanarcu|tanarucu|||||Also [1] \Itanarpu\i, [2] \Itanarupu\i increase, progress, advancement, height, width, breadth; (B) \Itaniyu\i to thrive, flourish||3047
1467|*danḍ-|upper arm|269|daṇḍa cēyi||||||||||3048
1468|*tanḍel-|a tindal or boatswain|0|taṇḍē̆lu||||||||||3049
1469|*tann-|to kick; n. a kick|1483|tannu||||||||||3053
1470|*tanḍ-|to collect or demand (as money due)|1482|taṇḍu|||||daṇḍu|||Also \Itaṇḍalu\i collections of money||3054
1471|*tanḍ-|caravan, herd, troop, encampment|1481|taṇḍā|||||taṇḍamu "group, troop, flock"|||Also \Idaṇḍu\i army, multitude||3055
1472|*danṭ-|the stalk of great millet, etc.; the pith of a plantain tree and the like|270|daṇṭu||||||||||3056
1473|*danḍ-|garland, wreath|0|daṇḍa||||||doṇḍa||||3060
1474|*tanḍ-|father|1538|taṇḍri||||||tanr̲i||||3067
1475|*tepp-, *dabb-|quickly, at once|1625|teppuna||||||||Also \Idabbuna\i with a loud noise; quickly, promptly; \Idabadaba\i sound made by knocking, walking quickly, pattering as of rain||3069
1476|*dapp-|thick, close-woven; thickness|2000|dappamu||||||||||3070
1477|*tapp-|error, mistake, blunder, fault, crime; erroneous, incorrect, wrong, bad; vb. to miss, fail, err, go wrong, transgress, violate, break|1487|tappu|||||dabbu "to lie; n. deceit, lying"|||Also \Itappuḍu\i erring, escaping; \Itappincu\i to extricate, free, save, remove; \Itappa\i except, but, save; \Itappaka\i surely, certainly, unfailingly; \Itappitamu\i fault, offence, shortcoming; \Idabbar̲a\i a lie; false, dishonest||3071
1478|*tabb-|faltering, confusion, embarrassment|0|tabbibbu||||||||||3074
1479|*dabb-|to slap|1488|dabbaḍincu||||||||Also \Idebba\i blow, stroke, attack||3075
1480|*dabb-|a slip, strip, piece of split wood, slice, thin rafter|0|dabba (B)||||||||||3076
1481|*tamak-|to be eager, impatient, hurry, be enamoured|0|tamaka-paḍu||||||||Also \Itamakamu\i eagerness, impatience, hurry, haste, love, desire; \Itamaki\i one who is eager or impatient, one who is enamoured, a lover; \Itamakincu\i to hurry, hasten; \Itami\i love, desire||3077
1482|*tamir-|the pin in the middle of a yoke|0|tamire|tagire (VPK)|||||||||3078
1483|*tamar-|Averrhoea carambola|0|tamarta||||||||||3079
1484|*tamaga-m|platform, (B) tabernacle or summer house, having no walls but a roof on pillars|0|tamagamu||||||||||3081
1485|*tammaṭa-m|large drum|0|tammaṭamu||||||||Also \Itappeṭa\i a kind of drum; \Itamuku\i drum, tambourine||3082
1486|*damm-|mud, mire, wet ground, (K also) irrigation|0|dammu||||||||Also [1] \Idampa-nā̃gali\i, [2] (VPK) \Idampa-nāgali\i plough used in wet fields||3083
1487|*tamm-|younger brother|1537|tammũḍu||||||tabunr̲u "(? for \Itambunr̲u\i) younger brother"||Also (Inscr.) \Itambul\i, \Itammu\i id.; \Itambaḷa\i a certain caste (Thurston, s.v. of temple priests), (B) a caste of Saivite priests; \Itambaḷi\i a member of that caste; (Inscr.) [1] \Itammaḍi\i, [2] \Itammalavāru\i priest of a Śiva temple; \Inambi\i a class of priests employed in Vaishnava temples||3085
1488|*tamm-|lobe of the ear|0|tammiya|tamme|||||||Also \Itammaṇṭu\i earring||3086
1489|*tar̲-|to become less, diminish, decrease; n. deficiency, wastage, loss, wear and tear|1490|tar̲ũgu|||||tar̲ugu, targu, tar̲ãku|||Also \Itar̲uvu\i, (K) \Itarvu\i to become less, decrease; (B) \Itarugu\i brokerage or fees called custom; (B) [1] \Itaragu\i, [2] \Itaragari\i broker; \Itarapu\i to remove, destroy, (K also) lower, reduce, deduct||3090
1490|*tar-|churning|0|tari||||||||Also \Itarikā̃ḍu\i one who churns; [1] \Itarcu\i, [2] \Itarucu\i, [3] \Itraccu\i to churn, (K also) produce fire by rubbing two pieces of wood together; \Itraccana\i churning||3095
1491|*tē-, *tēr-|to bring, get, cause, produce, create|1474|teccu (tē-, tēr-)|||||-tencu (-tē-, -tēr-) "aux. with refl. meaning; to come (e. g. \Icanu-dencu\i to come; [1] \Icanu-dē̃ka\i, [2] \Icanu-dēraka\i not coming)"|||Also \Iteppincu\i to send for, get down, obtain, procure||3098
1492|*tar-|to search, examine, investigate|0|tarucu||||||||||3100
1493|*tal-|head, hair of the head; top, end, front; place, side, quarter|1475|tala||||||||||3103
1494|*tall-aḍ-|agitation, commotion, anxiety, turmoil|2036|tallaḍamu||||||||Also [1] \Itallaḍincu\i, [2] \Itallaḍillu\i, [3] \Itallaḍakuḍucu\i, [4] \Itallaḍa-paḍu\i to be agitated or in a state of turmoil, commotion or anxiety; \Itallaḍapāṭu\i agitation, turmoil, commotion; \Itallaḍa-peṭṭu\i to throw into a state of turmoil, agitation or anxiety||3104
1495|*tal-g-|to strike|1928||||||||talgu|||3105
1496|*tam-|to hesitate, draw back; (K. B. also) fail, recede|0|tamaku||||||||||3107
1497|*tem-al-|to set out, stir, get ready to go, go away, (K also) slip, slide|2027|temalu||||||||||3109
1498|*tav-uḍ-|bran|1499|tavuḍu||||||||||3111
1499|*tra-mpi|fire pit, heap of cowdung cakes used as fuel|1493|tampi|trampi|||||||Also \Itanuku\i to burn (intr.)||3115
1500|*trav-|to dig, excavate, scoop, unearth, stir up, bring to recollection|1492|tavvu|travvu|||||||Also \Itravvaṭamu\i digging; \Itravvaṭincu\i to dig||3122
1501|*tal-up-|door|0|talupu||||||||||3123
1502|*taḷ-taḷ-|glitter, lustre, brilliancy, shining|1480|taḷataḷa||||||||Also \Itaḷataḷalāḍu\i to glitter, glisten; \Itaḷuku\i glitter, shining, lustre||3125
1503|*tar̲al-|to set out or start|0|taralu|||||teral(u)cu "to remove, stir, cause to go"|||Also \Itar̲alu\i to move, shake; \Italaru\i id., (K also) be agitated, disturbed; \Iteralu\i to start, set out, boil; \Iterlu\i to boil, bubble up as water; \Italãku\i to move, fear; n. motion, fear||3128
1504|*talār-|watchman|0|talāri||||||||||3129
1505|*tal-ar-|to bloom, shine, thrive|1479|talaru||||||||Also \Italiru\i a sprout, shoot; \Italirucu\i to sprout, shoot, bloom||3131
1506|*tal-|tether or halter for cattle|1477|talugu|talagu (B)|||||||Also (VPK) [1] \Italugu\i, [2] \Italgu\i, [3] \Itagulu\i, [4] \Itolugu\i, [5] \Italuvu\i, [6] \Itanugu\i id.; ? [1] \Itālcu\i, [2] \Itālucu\i to twist, twine||3133
1507|*tal-|to be lost or removed; remove|1478|talãgu (\Iallomorph\i tala-)|talgu||||talũgu "id., way to be cleared of crowds"|||||3135
1508|*tall-|mother; original, first, principal, chief, main|1476|tali|talli|||||||||3136
1509|*tar̲aṭ-|to whip; n. whip, whipping|0||||||tar̲aṭu, taraṭu|||||3138
1510|*tar̲-|to slice, chop|1489|tar̲ugu|targu|tar̲uvu|tarvu|||||Also [1] \Itar̲imena\i, [2] \Itaruvaḍi\i, (B also) [3] \Itarimiḍi\i, [4] \Itariviṇi\i lathe||3140
1511|*tar̲-|opportunity, proper time, season, occasion|1491|tar̲i|||||tar̲upu "to join together, amass (wealth)"|||Also \Itar̲i-gonu\i to endeavour, attempt; [1] \Itar̲iyu\i, [2] \Itar̲iyã-baḍu\i to approach; \Itaruvāyi\i subsequent time, sequence, sequel, what follows; \Itaruvāta\i afterwards, subsequently, next; \Itaruṇamu\i opportunity, time, season||3142
1512|*tar̲-up-|an artificial diamond|0|tar̲upu||||||||||3144
1513|*dan-|until, up to, as far as, to|0|danuka|dā̃ka|||||||||3147
1514|*dan-|to touch, affect|0|danuku (Śaŋk.)|||||tanuku "to touch, reach, occur, befall, (fear) arises in mind"|||Also (K) \Idaniyu\i to join, copulate; \Idanivu\i copulation||3148
1515|*tāk-|to touch, hit, attack, encounter, oppose in battle; n. combat, attack|1502|tā̃ku||||||||Also \Itā̃kuḍu\i touch, contact; \Itā̃kudala\i encounter, meeting, coming together, collision, impact, shock; \Itā̃cu\i to kick; \Itā̃pu\i a kick||3150
1516|*tā(n)ṭ-|bark|1517|tā̃ṭa||||||||||3155
1517|*tāṭ-|to pat, slap|0|tāṭincu||||||||||3156
1518|*tāṭ-|deceit, knavery|0|tāṭōṭu||||||||Also [1] \Itaṭavaṭa\i, [2] \Itaṭamaṭa\i deceit; \Itaṭamaṭincu\i to deceive||3157
1519|*dānṭ-|to leap, jump, cross over, pass over, go beyond, transgress; n. a leap, jump, crossing or passing over|273|dā̃ṭu||||||||||3158
1520|*tāt-|grandfather, father|1516|tāta||||||||||3160
1521|*tāp-|a ladder, rung of a ladder, steps, stairs|0|tāpa||||||||||3160
1522|*tām- (obl. *tam-)|they, themselves; you (hon.)|1505|tāmu (\Iobl.\i tam-, tamm-)|tamaru|tāru||||||||3162
1523|*tāmar-|lotus|1506|tāmara|tammi|||||||||3163
1524|*tāmar-|ringworm|0|tāmara||||||||||3164
1525|*dāra-m|string, thread, cord, twine|0|dāramu||||||||||3167
1526|*dār-i|way, road, path, manner, mode|5|dāri||||||||||3170
1527|*trā-g-|to drink, (K also) swallow, eat, smoke|1511|trāgu|trāvu|||||||Also [1] \Itrāguḍu\i, [2] \Itrāvuḍu\i drinking||3174
1528|*tāl-|small piece of gold tied by the bridegroom at the marriage ceremony to the neck of the bride|0|tāli||||||||||3175
1529|*tāḷ-/*tagg-|veranda|1514|tāḷvāramu||||||||Also \Itaggu\i to decrease, become less, be diminished or reduced, abate, lessen, draw back, shrink from; n. decrease, diminution, fall, abatement; \Itaggudala\i decreasing, decrease; \Itaggincu\i to decrease (tr.), reduce, diminish, lower, bring down; n. \Itaggimpu\i; \Itakkuva\i deficiency, inferiority; less, insufficient, deficient, little in quantity, inferior, low, base||3178
1530|*tāḷ-am|lock, key|1515|tāḷamu||||||||||3179
1531|*tāḍ-|palmyra or toddy palm|1512|tāḍu||||||tāṛu||Also \Itāṭi\i of or belonging to the palmyra tree; \Itāṭi ceṭṭu\i palmyra tree; \Itāṭ-āku\i palmleaf||3180
1532|*tāvaḍ-|string of beads, rosary|0|tāvaḍamu|tāvaḷamu|||||||||3184
1533|*tāl-|empty ears of corn [i.e. straw after threshing; so K.]|0|tālu||||||||||3185
1534|*tāl-|to season|1504|tālincu|||||tālãbōyu|||Also \Itālimpu\i seasoning, a seasoned curry; \Itālupu\i seasoning||3186
1535|*tāḷ-|patience, endurance|1503|tālimi|tāḷimi|tāḷika||||||Also \Itālimikā̃ḍu\i one who has patience or endurance; fem. \Itālimikatte\i; [1] \Itālcu\i, [2] \Itālucu\i to wear, put on; \Itāḷu\i to bear, suffer, endure, be patient, refrain, forbear, pause, wait, last, wear, be durable||3188
1536|*tār̲-|to descend, alight|0|tāru (B)|||||tār̲u|||||3191
1537|*tār̲-|to fall away in flesh, become lean, diminish, be reduced|1510|tāru (B)|||||tār̲u|||Also \Itrāḍuvaḍu\i to become lean||3192
1538|*tār̲-|to lurk, lie in wait|0|tār̲u|tāru|||||||||3193
1539|*tār̲-|confusion, disorder, irregularity; disorderly, disordered, confused, irregular|0|tār̲umār̲u||||||||||3194
1540|*tāl-|to sift or separate larger particles from flour in a winnowing basket|0|tālcu|tālucu|||||||||3195
1541|*tān-|one's self, he or himself, she or herself|1507|tānu (\Iobl.\i tan-)||||||||Also [1] \Itanantu\i, [2] \Itanantaṭa\i, [3] \Itanakutānu\i of one's self, of one's own accord, voluntarily, of itself, spontaneously, automatically||3196
1542|*tānḍ-|belleric myrobalan|1508|tā̃ḍi|tāṇḍra|||||tānr̲i "belleric myrobalan (in place names)"||||3198
1543|*tegaḍ-|Indian jalap, Ipomoea turpethum|0|tegaḍa||||||||||3199
1544|*digul-|fear, alarm|2050|digulu||||||||Also \Idigulu-paḍu\i to fear, be alarmed||3202
1545|*tik-|intricacy, confusion, perplexity|0|tikamaka||||||||Also \Itikamaka-gonu\i, \Itikamakal-āḍu\i to be puzzled, perplexed, confused; \Itikka\i madness, craziness; mad, crazy; \Itikka-gonu\i to become mad; \Itikkaṭamakkaṭa\i confusion, perplexity||3207
1546|*digg-|suddenly, abruptly|0|diggana|digguna|||||||||3209
1547|*diḍḍ-|a small door or gate, wicket, postern or back door, sallyport|0|diḍḍi||||||||||3219
1548|*tiṭṭ-|to curse, swear at, abuse, revile, rail at, rebuke, scold, chide; n. a curse, abuse, abusive language|0|tiṭṭu||||||||Also \Itiṭṭāḍu\i to revile, abuse, quarrel; \Itiṭṭāṭa\i reviling, abusing, a quarrel; \Itiṭṭũbōtu\i a scold, person who habitually uses obscene or abusive language||3220
1549|*tiṭṭ-|heap, mound|1547|tiṭṭa||||||||||3221
1550|*tin-uk-|to strain; n. straining|1543|tinuku||||||||||3222
1551|*dinṭ-|Clitoria ternatea Lin.|0|diṇṭena||||||||||3223
1552|*dinḍ-|pillow, cushion, bolster, bundle, cylinder|0|diṇḍu||||||||||3224
1553|*tinn-|pial|1542|tinniya|tinne|tīniya|tīne|||||Also (B) [1] \Idinne\i, [2] \Idinniya\i, [3] \Itinne\i pial; high raised embankment||3227
1554|*tipp-/*dibb-|hill, hillock, rock, mountain, heap, mound, small island|296|tippa||||||||Also \Idibba\i hillock, mound, heap||3229
1555|*dibb-|lid or earthen cover for a jar|0|dibbaḍamu||||||||Also \Idimme\i wooden cork or stopple; \Idimmu\i wooden stopple for a leathern bottle||3231
1556|*timur-|to be proud, (K also) to abound, increase, bubble with desires, hasten; n. pride, arrogance, excessive or superabundant strength, vigour or spirits, pruriency, (K also) haste|0|timuru||||||||Also \Itivuru\i to hasten, (K also) increase, abound, swell (as the sound of war drums, etc.), rage||3233
1557|*timir-|numbness, palsy|0|timuru|timiri|timmiri||||||||3235
1558|*timman-|a monkey|0|timmãḍu|timmanna|tippa-trimmari||||||||3238
1559|*dimm-|any elevation or eminence, mound|274|dimma||||||||||3239
1560|*dimm-|giddiness|0|dimmu|dimma|||||||Also [1] \Idimmari\i, [2] \Idimmarī̃ḍu\i a giddy-headed person||3240
1561|*ter-a|screen, curtain, wave|1524|tera||||||||||3244
1562|*teral-|to abound, increase, swell up|1525||||||teralu|||||3245
1563|*tir-|a twist, turn, braid of hair|1546|tiri||||||||Also \Itirika\i a twist or turn; \Itiripamu\i begging alms; \Itiripari\i beggar; \Itiripemu\i begging, alms; \Itiriyu\i to beg, ask alms, live by alms; [1] \Itirigi\i, [2] \Itiruga\i again; \Itirugã-baḍu\i to rebel, revolt, turn back or round, change, alter; [1] \Itirugali\i, [2] \Itirugalli\i a mill, handmill, gristmill; \Itirugu\i to roam, rove, wander, ramble, move about, turn, take a new direction, turn back, turn round, change, alter; n. a turn, change of direction, turning back, reversal, retraction, revocation; \Itiruguḍu\i turning, a turn, a screw, latch, catch; \Itirugudala\i a turning back; \Itir̲i\i a twist of anything flexible; \Itrikku\i a twist or turn; \Itrippaṭa\i wandering; \Itrippari\i a wanderer, rambler; \Itrippu\i to turn, change the direction of; n. a turn; \Itipiri\i a turning, change; misfortune, ill-luck; \Itrimmaṭa\i wandering; \Itrimmaṭakā̃ḍu\i wanderer, rambler, rover, vagabond; \Itrimmaru\i to wander, rove, ramble||3246
