NUMBER|PROTO|MEANING|PRNUM|KUI|KUTTIA|KUWI̲F|KUWI̲S|KUWI̲SU|KUWI̲P|KUWI̲T|KUWI̲D|KUWI̲MAH|KUWI̲ISR|ADDITION|NOTES|DEDNUM
805|*ōǯ-|bright, beautiful|0|ōspa (ōst-) "to be bright, shine, glitter, give light"||ojjam'ni pōda\i "a pretty girl"|ōja, ōjagatti, ōji "beautiful"|||||||Also Kui \Iōsteri\i light; Kuwi̲S \Iōju\i beauty; \Iōjitasi\i a handsome man; \Iōja hārku\i ornaments; \Iōjali turh'nai\i to rig|An interesting case where \I-p-\i serves as a derivative verbal suffix (hard to say whether the phenomenon dates from PK or is innovatory in Kui).|1037
806|*ōnḍ-u|year|557|ṛānḍu "last year"|ōnḍu "year"||rānḍu "last year"||vāṛoki "next year"|ṛānḍu "last year"|||ṛāṇḍu "last year"|Also Kui \Iṛōnḍu\i in a previous year, year before last; \Ivāṛonḍi\i next year, year after next; Kuwi̲Su, Kuwi̲Isr \Iīyona\i this year; Kuwi̲Su, Kuwi̲Isr \Ivāṇona\i next year|The prefixed forms are as follows: a) "last year" - PK \I*rānḍu\i (initial \Iṛ-\i in some dialects by assimilation with the inlaut retroflex); this initial \I*r-\i probably is the same with \Ir-\i in 'yesterday' (dating back from PDR \I*ner̲-\i); b) "year before last" - PK \I*rōnḍu\i, where \I*ro-\i is certainly the same with \Iro-\i in 'the day before yesterday' and should probably be traced back to \I*ro-\i 'one'; c) 'next year' - \I*vāṛonḍ-\i (in Kuwi̲P the root 'year' itself is probably missing, while in Kuwi̲S there have been some assimilation processes).|5153
807|*ōp-|to consent|557||||ōpinai||||||ōp- (-it-) "to agree, consent, allow"|Also Kuwi̲S \Iōpi kinai\i to convince||924
808|*ōp-|to be warm weather, be sultry or stifling|0|ōpu inba||||||||||||1064
809|*ōr- (-R-)|to groan, squeal|559|||oṛhali "to groan"|ōrhinai "to squeal"||||||||Putting this root together with Kui \Irūmba\i (PK \I*rūm-\i), as Burrow does, is absolutely impossible (both semantics and phonetics do not match), especially as the same difference is clearly seen in other languages (cf. Konda \Iur̲mi-\i 'to roar', \Ior̲li-\i 'to groan').|718
810|*ōj- (caus. *ōs-)|to be burst, broken|560|ōja (ōji-) "to be burst, broken, cracked"||||ōy- (-it-) "to be broken"|||||ōy- (-it-) "to be broken"|Also Kui \Iohpa\i (\Ioht-\i) to smash, burst, crack; Kuwi̲Su, Kuwi̲Isr \Iōh-\i (\Iōst-\i) to break|"Should it be ōhpa?" (quoted from B&E, and I fully agree with them).|946
811|*pVnḍl-|married couple|561|ponḍri rīnḍi "a married couple"|||||||||pendili "marriage"|Also Kuwi̲Isr \Ipendili ā-\i to attain puberty; Kuwi̲Su \Ipelli māŋga\i bride (\Imāŋga\i daughter); \Ipelli mir'esi\i bridegroom (\Imir'esi\i son); \Ipelli ā-\i to be married (all loanwords from Telugu)|The form \Ipelli\i is certainly borrowed from Telugu. It is possible that others are as well, so the root may be all borrowed.|4395
812|*pVteka|until, as long as|0|||peteka, pateka "until, as far as, up to"|pateka, peteka "as long as; far"||||||||The first vowel is probably \I*-a-\i, later assimilated.|4402
813|*pa-ʔeri|a creeper|562|paeri "a climbing plant of which the leaves are used for making cups and the runners and tendrils for ropes"||pa'eri dōri "rope (creeper fibre)"||||pa'eri "siyāri tree"||pāēr māṛā "siyāri tree"|paʔeri ḍōri "rope made from bush vine"|||3801
814|*paʔṭ-|belly|563||||||||pa'ṭā|pa'ṭā||||4494
815|*pac-|to scratch|564|||pacali|paccinai|pac- (-it-)|||||pac- (-it-)|Also Kuwi̲S \Ipahinai\i to scrawl|What the hell is the difference between 'scratch' and 'scrawl'???|4023
816|*padn-u|middle-aged (neither too much or too little)|565||||||||||padnu|Also Kuwi̲Isr \Ipadnu ā-\i to have drunk (wine), not too much or too little; \Ipadnu met-\i to flavour (food) with just enough salt and seasoning||3907
817|*paḍ- (caus. *paṭ-)|to break, split, crack (intr.)|566||||||||||paḍ- (-it-)|Also Kuwi̲Isr \Ipaṭ-\i (\I-h-\i) to smash||3854
818|*paḍ-|to grow|0|||pada-aiyali|padda ānai|paḍa ā- "to grow up, become big"|||||paḍa ā- "grow, increase"|Also Kuwi̲Su, Kuwi̲Isr \Ipaḍi ki-\i to make to grow||3972
819|*paḍi|dovecote|0|||||||pārva paḍi||||||3848
820|*paRl-|to hew|0|paja (paji-) "to hew, cut down"|||||||||parl- (-it-) "to make channel for water, place for well"||The same correspondence (Kui \I-j-\i - Kuwi̲Isr \I-rl-\i) is found in PK \I*eRl-.\i Since forms with  simple \I-r-\i which Burrow and Emeneau put in the same entry (Kui \Iparpa\i, Kuwi \Ipar-\i) cannot be  phonetically related to forms with \I*-Rl-\i, it would be wiser to speak of two different roots. See  the article in DED, where even B&E state a possible contamination.|3962
821|*par-|to cut through, dig|567|parpa (part-) "to cut through the bank of a wet field, irrigate; n. irrigation"|||||||||par- (-h-) "to dig a ditch"|Also Kuwi̲Isr \Ipar/a/ṛa\i split (in wood, wall, etc.), gap, hole||3962
822|*paǯ-i|pig|568|paji||pajji|pajji|pajji|||||paji|||4039
823|*palakar-|tooth-cleaner|0|||pallakara||||||||||3986
824|*palg-|to bend forwards, stoop down|569|palga (palgi-)||||||||||||4015
825|*pal-u|tooth|570|paḍu (pl. paṭka), palu (pl. palka)||pallū (pl. palka)|pallu|pallu (pl. palka)|pallu (pl. palka)||||palu (pl. palka)|||3986
826|*paḷ-a (*-l-)|bark, peel|571|pala "bark of tree, peel"|paḍa "skin of fruit"|palla "bark"||paṛi "peel"||pala "bark"|||pala "bark"||Complex case. Kuwi̲Su \Ipaṛi\i points to a retroflex lateral, while Kuwi̲F speaks in favour of a simple lateral. Considering external data and the possibility of different reflexations dependent on the vocalism, I would prefer the retroflex.|4010
827|*pan-a|frog|572|pana "frog, toad"|||panna|panna|||beṭka||pana||Kuwi̲D \Ibeṭka\i MUST be a borrowing (maybe from forms like Gadba \Ipanḍake\i??), for every other Khond dialect always yields a \Ipana\i-type form, and it would be folly to suggest a similar development in a dozen dialects. Gemination in Kuwi̲Su is not quite clear, since this dialect does not normally have geminates (in fact, this is the only case of a \I-nn-\i in Kuwi̲Su).|3955
828|*pandr-i|pandal; roof structure|1350||||pandiri "pandal"||||||pandri "roof structure with thatch, small hut"|||3922
829|*panḍ-a|a skin|573|panḍa||||||||panḍa||||3897
830|*panḍ-|to send|574|panḍa (panḍi-) "to send, commission; n. act of sending"||pandali|pantinai||||||paṇḍ- (-it-)|||3887
831|*panḍ-/*pāṛ-|fruit|575||||panḍu "ripe fruit"|pāṛey (pl. -ka)|||||pāṛeyi|Also Kui̲Kasi \Ipāṛesi\i fruit|It looks like this is a contamination of two originally different PDR roots: \I*panḍ-\i 'to ripen' and \I*paṛ-\i 'fruit', cf. other data; in most subgroups they have, however, been so much intertwined that the original semantics is indeed hard to determine.|4004
832|*panǯ-|satisfied; to gorge|576|panja (panji-) "to be replete, satisfied; n. repletion, satisfaction"||panjali "to gorge"|bandi panjinai "to fill the stomach"|paj- (-it-) "to be satisfied"|panj- (-it-) "to be satisfied"||||panj- (-it-) "to be satisfied"|Also Kuwi̲S \Ipanje tinnai\i to sate; \Ipanje hīnai\i to saturate||3837
833|*paṇh-a (*-ṇs-)|jack-fruit|577|||parha|panha||||||paṇhã|||3988
834|*papu|dal|0|||||pappu|||||papu|||3978
835|*par-|to spread; cushion|578|prahpa (praht-) "to spread out (tr.), scatter over a level surface"||pressali "to spread out paddy to dry"|parpu "cushion, mattress"|||||||Also Kui \Ibrāḍa\i (\Ibrāḍi-\i) to be sounded abroad, be spread (news); \Ibrāṭpa\i (\Ibrāṭt-\i) to sound abroad, proclaim, spread (news); n. proclamation|The Kui form may go back to a) \I*prāpa\i < \I*pār-pa\i; b) \I*praspa\i < \I*pars-pa\i; c) \I*praypa\i < \I*par-y-pa\i. If Kuwi \Ipressali\i is related to the Kuwi form, it is the third variant that is most acceptable, since only an inlaut \I*-y-\i can explain the differences in vocalism. On the other side, Kuwi \I-ss-\i would beautifully correspond to Kui \I-h-\i were it developed from PDR \I*-s-\i. Anyway, in both cases \I-s-\i and \I-y-\i would be suffixes, since the root is evidently \I*par-\i. If Kui \I-ḍ-\i is a suffix, then \Ibrāḍa\i quite regularly < \I*bar-ḍa\i < \I*par-ḍa\i (voicening before two voiced consonants).|3949
836|*par-|to dawn, break (dawn); n. early dawn|0|pari inba||||||||||||3980
837|*par-|sore, pimple|1409|parngoli "sore on lip or tongue"|||||||||bāresi "pimple"||Kuwi̲Isr \Ibāresi\i is hard to relate to \Iparngoli\i.|3974
838|*par-/*pārk-|to search|579|parmba (parmbi-) "to grope, search blindly; n. groping"||parali|parinai||||||par- (-it-)|Also Kuwi̲F \Ipṛākali\i to grope; Kuwi̲Isr \Ipārk-\i (\I-it-\i) to feel one's way in the dark; \Iprek-\i (\I-h-\i) to search for lice in the hair|It is possible that \Ipārk-\i be a different root; \I-k-\i could be a plural action suffix, but what about the vowel length?|3956
839|*parṛi|hornet, bee|0|parṛi "hornet"||pṛāri (i.e. prāṛi) "wasp"|||||||parṛi "a wild bee"|||3985
840|*part-i|cotton|580|parti||paṛti||pratti|||||parti|||3976
841|*paṛk-a|armpit|581|||paṛka||paṛka|||||paṛka/pṛaka|||4005
842|*pas-|to share, apportion; n. apportionment|582|pahpa (paht-)||||||||||Also Kui \Ipahaṛi\i part, share, portion||3936
843|*paṭ-a|to lie on back|583|paṭa malga "to be prone, fall flat on the face, be stretched full-length on the ground"||patarangali "to lie on the back"|pātalāngitesi "he fell on his back"||||||pāṭaṛaŋgī "on the back"|Also Kuwi̲F \Ipatarangi rīali\i to fall backwards|External data gives us a short vowel here. Long vowel in Kuwi̲S and Kuwi̲Isr may be due to prosodic factors, such as shifts of accent in compound words, etc.|3863
844|*paṭ-|palm of hand|584|||||paṭa naki||||||||3843
845|*paṭ-|to fold, close|585|||pathali "to loosen"||||paṭ- "to close (umbrella)"|||paṭ- (-h-) "to fold clothes, umbrella, etc."|Also Kuwi̲F \Imī gūrgū pathdū\i shut your umbrella!||3862
846|*pajn-i|cold|586|pēni "cold weather, low temperature; cold, chilly"||penni|peni|peni|||||peni||The combination \I-ay-\i is indicated by external data. Here it is indirectly indicated by: a) "irregular" vowel correspondences; b) lack of gemination in Kuwi̲S, which probably means a rather late modification of \I*-yn-\i > \I-n-\i.|4035
847|*paŋ- (caus. *pak-)|to be cracked; to split|587|panga (pangi-) "to be cracked, split, divided"||pakhali "to gash"||||||pāki "lath"|pak- (-h-) "to cut open"|Also Kui \Ipapka\i (< \Ipak-p-\i; \Ipakt-\i) to split (tr.), crack, divide, break up the earth at a first ploughing; n. act of splitting, cleavage; \Ipaka\i a piece of stick or twig or bamboo used as a pin||3808
848|*paŋ-|outside; plains|0|pangal dīna "the plains country"||panga "outside"|pangata "outside, away"||||paŋgeŋga (pl.) "plains people"|||Also Kuwi̲F \Ipangati\i external; Kuwi̲S \Ipanga rāji\i the plains||3819
849|*pāc-|to sing|588|||pācali||||pāc-||pāc-|pāṛa "stanza, verse"|Also Kuwi̲F \Ipācū\i, Kuwi̲T, Kuwi̲Mah \Ipācu\i song|Kuwi̲Isr \Ipāṛa\i is borrowed from Telugu.|4065
850|*pāc-k-|to disparage, despise; n. disparagement|589|pāska (pāski-)||||||||||||4060
851|*pāS-|to spread|590|pāspa (pāst-) "to spread out, lay a cloth; n. act of spreading out something"||passali "to spread out (clothes)"||pāh- (pāst-)|pāh- (pāst-)||||pāh- (pāst-)|||4088
852|*pāci|crop|0|||||||||pāci||||3821
853|*pāɣ-|to attack, fight|591|pāga (pāgi-) "to attack, fight, etc."||paiyali "to hit, kill"|paī̆nai "to strike, kill"||pāy- (-it-) "to strike, kill"||||pay- (-it-) "to beat, kill"|||4044
854|*pāl- (*-ḷ-)|seedling|592|plaha||||pāla "rice seedling"||pala "rice seedling"|||pāla "rice seedling"||Kui \Iplaha\i probably from \I*plā-sa\i < \I*pāl-sa\i, with a secondary suffix.|3996
855|*pala-|to inquire, question, ask, address, say; n. inquiry, remark|593|plāpa (plāt-)|||||||||||B&E put this together with PK \I*panḍ-\i 'to send', but it's hogwash, especially since both roots are well distinguished in most Dravidian subgroups.|3887
856|*pāl-u|milk|594|pāḍu, pālu "milk, sap"||pālū|pālu|pālu|pālu||||pālu|||4096
857|*pānǯ-|to fly, leap; n. act of flying, flight|1404|pānja (pānji-)||||||||||Also Kui pl. action \Ipāska\i (\Ipāski-\i); Kui̲Mah (4020) \Ipāsk-\i to fly||4087
858|*pāṇb-|song|1000|||||||||paṇbu|pāṇbu|||4068
859|*pāṇ- (p.t. *pāṭ-; f.t. *par-)|to find, obtain|595|pāṇba (pāṭ-; future pā-) "to obtain, get, receive, find; n. obtaining, getting, finding, wealth"||patali (future par-, imper. pamū) "to find"|parinai "to find"|pa'- (paṭ-; ppl. paṇbi) "to find, get"|pa'- (pāṭ-; infinitive pāḍeli, neg. pṛā-, imper. 2sg pṛāmu) "to obtain"||||pāṇ-/pṇaʔ- (-h-/-t-) "to receive, get"|Also Kui̲P \Ipāṇpa\i (\Ipāṇt-\i) to obtain, get, receive, find; Kuwi̲S \Ipā'nai\i to get, have; \Ipānpu\i the receipt|An extremely difficult case, especially since the forms are at least seemingly isolated Kui-Kuwi  forms. Most dialects point to \I*pāṇ-\i (Kui, Kuwi̲Isr, Kuwi̲Su, partly Kuwi̲S and Kuwi̲P), but  there are also evident variants \I*pāḍ-\i (Kuwi̲P), \I*pat-\i (Kuwi̲F, although this may be a  misspelled retroflex; in this case these two variants are identic), and \I*par-\i. My opinion is that these three variants represent correspondingly three tense stems: present, past and future. In some of the dialects a certain stem became generalized.|4072
860|*pār-a|spade|596||||pāra||||||||The word may be borrowed from Telugu, but it is present in many other CDR languages.|4093
861|*pār-|to comb|0||pārp-|papetti "parting of the hair"|||||||||Kuwi \Ipapetti\i is borrowed from Telugu \Ipāpaṭa\i.|4089
862|*pāṛ-u|neglected, spoiled|597||||||||||pāṛu|||4110
863|*pdōr-u|name|598|paḍa|pāru|dōrū|dōru||||dāru||dōru|Also Kuwi̲Isr \Idōru ki-\i praise|The initial cluster was not preserved in any dialect: the first element was lost in Kuwi, the second in Kui.|4410
864|*pedr-|startled|1044|||pedṛali, pidṛū-aiyali "to be startled"|||||||pedr- (-it-) "to be startled"|||4401
865|*peR-|to pick up; to collect|599|pebga (<peg-b-; pegd-) "to collect, pick up, peck up, gather"||pēṛhali "to lift"|perh'nai "to lift, to raise"|per- (-h-) "to pick up"|||||per- (-h-) "to pick up"|Also Kui pl. action \Ipeska\i (\Ipeski-\i)|Cf. also 4446.|4423
866|*pendVm|a k. of liquor|0||||pendomi kāḍu "beer"||||||pendomka (pl.; nd!) "rice-wine"|||4397
867|*pend- (caus. *pet-)|to thread; to fix|0|benda (bendi-) "to thread, pierce"||petali "to thread"|pett- "to fix, attach"|pet- (-it-) "to fix, attach"|||||pend- (-it-) "to be threaded"|Also Kuwi̲Isr \Ipet-\i (\I-it-\i) to attach to thread|The original opposition is preserved in Kuwi̲Isr: 'be threaded' (simple mean.) - 'to thread' (caus.). In other dialects: a) either there appeared a secondary simple stem \Ipet-\i < \I*pet-s-\i; b) or the original stem \I*pend-\i has taken over the former causative meaning, like in Kui, where, however, the voicening is extremely hard to explain.|4403
868|*pesr-|green gram|600|||||pesra (pl. -ŋa)||||||||3941
869|*pet-|soft and damp|0|pete||||||||||Also Kui \Ipete pete inba\i to be soft and damp; \Ibede\i, \Ibedi\i damp, moist, soft, wet; \Ibede bede inba\i to be damp, moist, soft, wet||3906
870|*peṭ-|female young (of sheep, pig)|601|||||||peṭi mila||||||4395
871|*pēR-|to chase, drive away|602|peha (pehi-) "to drive away, drive off, repulse, dismiss"|pēr- "to chase, drive away"|pērhali "to chase, drive"|pērh'nai "to scare, impel"|pēr- (-h-)|prē- (-t-) "to chase (2)"||||||The proper form in Kui should be \I*pēbga\i; however, we may suggest a specific development after long vowels (probably the epenthetic \I-b-\i was by some reason not required; if so, \I*pēRa\i > \I*pēa\i > \I*peha\i). This development is supported by Kui \Iviha\i < \I*vīRa\i).|4447
872|*pēnǯ-|to strain water|603|pēnja (pēnji-) "to strain a liquid, pour off rice water"||penjali "to strain water off boiled rice"||pēnj- (-it-) "to strain water off boiled rice"||||||||4433
873|*pēnǯ-|to split, split wood|604|pēnja (pēnji-)||||||||||Also Kuwi̲Kasi \Ipēnj-\i to split||4432
874|*pēn-u|god; spirit|605|pēnu (pl. pēnga), vēnu (pl. vēnga) "a god, a spirit"||pēnū "god"|pēnu (pl. pēnka) "devil"|pēnu (pl. pṇēka) "god"|||||pēnu (pl. pēṇka/pṇēka) "god"|Also Kuwi̲S \Ipēne'esi\i, Kuwi̲Isr \Ipēneʔesi\i deceased person|The variant \Ivēnu\i is absolutely mysterious (maybe it is indeed, considering the meaning of the word), since this is the only case of a \Ip-/v-\i gradation in Kui.|4438
875|*pēn-u|flea, louse|606|pēnu "flea"||pēnū "flea"|pēnu "louse"|pēnu (pl. pṇēka) "louse"|pēnu (pl. pēnka) "louse"||||pēnu (pl. pṇēka) "louse"|||4449
876|*pēr-|a large rat|607|pēreṛi||||||||||Also Kui ? \Ipihereju\i river, stream; \Iprēnḍa\i father's elder brother; great-grandfather; \Ipēro\i father's elder sister-in-law; great-grandmother|The word \Ipihereju\i can belong here only if it would be justified to trace it back to \I*pēr-eju\i. Although \I-h-\i does sometimes stand for vowel length before consonants, this is the only example of it in the intervocalic position, so it would be risky to make any certain conclusions.|4411
877|*pē̆rg-u|curdled milk|608|||pērgū|pergu "buttermilk"|||||||||4421
878|*pibul-i|butterfly|609|pipili "moth"||pūbūli|pubuli|pubuli|||||pubuli||The original form should look like that, before it became subject to various assimilations.|4083
879|*pid- (*pit-)|to open up (e.g. boil, sore); burst open (intr.)|610||||||||||pid- (-it-)|Also Kuwi̲Isr \Ipit-\i (\I-h-\i) to poke to release blood, cause to burst, open up||4165
880|*pig-/*pik-|heavy|611|pigu|pikk- "to be heavy"|pikhni|pikkni||||||pik- (-h-) "to be heavy"|Also Kui \Ipīga\i (\Ipīgi-\i) to be heavy; n. heaviness; Kuwi̲F \Ipikhali\i to be heavy||4127
881|*pi-ɣu (pl. *pīŋa)|excrement|612|piu (pl. pīnga)||piŋa||pīŋga|pīŋga||||pīŋga|||4210
882|*pi(n)ǯ-|fruit|613|||||||||||Kui̲Kasi \Ipijari\i fruit (\Iirpi pijari\i mahua fruit)|Maybe \I*pinj-\i; one cannot tell, since Kui̲Kasi data is so scarce we do not know the reflexes of PK \I*-nj-\i.|4145
883|*pik-a|muscle of calf of leg|614|||||pikka||||||||4128
884|*pilk-a|lovelock (worn curled under the ear by males)|615|||pilka|||||||||If not borrowed from Telugu.|4179
885|*pinǯ- (caus. *pic-)|to jump|0|pinja (pinji-) "to rebound, leap; n. a leap"|||pinj- "to spring"|pinj- (-it-) "to spring, jump"||||||Also Kui pl. action \Ipiska\i (\Ipiski-\i); \Ipispa\i (\Ipist-\i) to cause to rebound; Kuwi̲Su pl. action \Ipisk\i (\I-it-\i)||4145
886|*pinǯ- (caus. *pic-)|to burst|0|pinja (pinji-)||||pinj- (-it-) "(fire) to explode, spark out"||||||Also Kui cs. \Ipispa\i (\Ipist-\i); pl. action \Ipiska\i (\Ipiski-\i); Kuwi̲Su pl. action \Ipisk-\i (\I-it-\i)||4129
887|*pio|golden oriole|0|pio||||||||pioṭi||||4125
888|*pir-Vṛi|flute|616|piroṛi||pīrūri|pīruḍi||||||pīruṛi|||4178
889|*piṛ-ju|a k. of worm, insect|617|pṛiu, pṛīu (pl. pṛīka), piṛu (pl. piṛka) "wingless insect, worm, maggot"||prīyūli (pl. prīka) "caterpillar"|pliguli "insect"|pṛiyuli (pl. pṛīka) "worm"|||||pṛiyuli (pl. pṛīka) "worm"|Also Kui̲S \Iplīginai\i to infest|For a similar development see \I*kirju\i.|4312
890|*piṛ-s-|to squeeze out, strip off|618|pṛihpa (pṛiht-)|||||||||||The form (root structure and \I-h-\i < \I*-s-\i, not standing for vowel length) is confirmed by external data.|4183
891|*piṛsk-a|sparrow, small bird|619|||||||piṛska "sparrow"|||pṛīska poṭa "a kind of bird"|||4190
892|*pis-|to release, leave|620|pihpa (piht-) "to release, relinquish, let loose, set free, absolve, forgive, excuse, cast off; n. release, relinquishment, absolution"||pīssali "to forsake"|pih'nai "to release, relinquish"|pih- (pist-) "to leave, abandon"|pih- (pist-) "to leave, abandon"||||pih- (pist-) "to leave, forsake"|Also Kuwi̲S \Ipispi kīnai\i to rescue, ransom; \Ipispinai\i to release||4138
