NUMBER|PROTO|MEANING|PRNUM|STEMS|TAM|TAMMEAN|TAMDER|MAL|MALMEAN|MALDER|KAN|KANMEAN|KANDER|KOD|KODMEAN|KODDER|TUL|TULMEAN|TULDER|KT|KTNUM|IRU|IRUMEAN|IRUDER|KAS|KASMEAN|KASDER|MISC|NOTES|DEDNUM|CHECKED
2147|*čiṭ-|to snap|0||ciṭṭikkai|snap of the finger (< Te.)|||||ciṭaku, ciṭuku, ciṭuŋku|a sound in imitation of the cracking or snapping of the fingers|\Iciṭike\i, \Iciṭaki\i, \Iciṭuke\i a snap with the finger and the thumb; \Iciṭuŋkisu\i to snap with the finger and the thumb|ceḍi- (ceḍiv-, ceḍiñj-)|? to break of itself with a cracking noise||ciṭụkụ, ciṭiki, ciṭka|a snap of the fingers|\Iciṭiciṭi\i a crashing noise||0|||||||||2511|N
2148|*čiṭ-|a small measure|0||ciṭṭi|a small measure|||||ciṭṭi, ciṭṭe|a measure of grain equal to four sēru, one equal to four solige|||||||||0|||||||||2512|N
2149|*čiṭ-|small|250||ciṭṭu|anything small|\Iciṭṭu-kkuruvi\i house sparrow; (Tinn.) \Iciṭṭu\i a small bird||||ciṭṭu, ciṭa, ciṭi|smallness, shortness, etc.|\Iciṭṭ-ili\i mouse||||ciṭṭè|small, little|||0|||||||||2513|N
2150|*Siṭ-ai|border of cloth|0||ciṭṭai|short striped border of a cloth|||||||||||||||0|||||||||2514|N
2151|*ǯiḍḍ- (*ӡ-)|a smeary or greasy substance|1850||||||||jiḍḍu|a substance that is smeary, greasy or oily, as ghee or oil|||||||||0|||||||||2516|N
2152|*ǯiṇ-|fine, thin|0||||||||jiṇagu, jiṇugu, jinagu, jinugu|fineness or thinness (as of texture, thread, powder, written letters, etc.)|||||||||0|||||||||2519|N
2153|*ǯiṇ-|to drizzle|182||ciṇukku (ciṇukki-)|to yield in small quantities, ooze, issue in drops, drizzle|\Iciṇukku-cciṇukk-en̲al\i onom. expr. of issuing in drops; \Iciṇuŋku\i (\Iciṇuŋki-\i) to drizzle|cinaŋŋuka|to rain slightly, drizzle||jinugu, jinuŋgu|to drizzle; n. drizzling rain|\Ijinigisu\i to liquefy; (Nanj.) \Isinku\i (\In\i, not \Iŋ\i) to drizzle||||||||0|||||||||2520|N
2154|*ǯiṇ-|to whine; to murmur|0||ciṇuŋku (ciṇuŋki-)|to whine, whimper|\Iciṇukkam\i whining, whimpering; \Iciṇukkan̲\i worthless person, as always whining; \Iciṇukku-cciṇukk-en̲al\i onom. expr. of worrying with frequent crying|cinaŋŋuka|to be touchy (? or with DEDR 1600), to repine, whine, whimper|\Icinakkuka\i to mutter, neigh|jinugu|to mutter, murmur, hum|||||||||0|||||||||2521|N
2155|*sinḍ-|stench, nasty smell|0||cīṇṭu|stench, as of rancid curd|||||siṇḍu|a disagreeable, nauseous, fetid smell (as of sheep, tigers, rancid butter, etc.)|\Ijaḍḍu\i the disagreeable smell of sheep's milk, etc.; \Ijiḍḍu\i rancidity, etc.|ciṇḍɨ|scent (found by dog in hunting, etc.)||jiḍḍụ, jiḍḍa|rancidity, mustiness; rancid, musty|||0||||||||Possibly two roots.|2523|N
2156|*SIdar-|raindrop|0||citar, citaram|raindrop|\Icitar̲i\i rain|citar|a drop as of ghee||||||||||||0|||||||||2524|N
2157|*SId-amb-|to spoil, soften|0||citampu (citampi-)|to be spoiled by too much moisture; n. spoilt condition, excessive maceration|\Icitampal\i being softened by soaking or spoiled by too much moisture||||||||||||||0|||||||||2525|N
2158|*cid-|to squeeze out; to injure|240||citai (-v-, -nt-)|to be injured, spoiled, be broken, become corrupt, prove untrue|(\I-pp-, -tt-\i) to injure, waste, destroy, ruin, demolish, kill, uproot; \Icitai\i, \Icitaivu\i injury, degeneracy, ruin, defeat, fault, defect; \Icitaku\i (\Icitaki-\i) to strip off, erase||||cidaku, ciduku|to squeeze the soaked pulse called avare with the fingers and thus remove the skin|(?) \Isindu\i, \Isendu\i to rub out, extinguish, destroy||||||||0|||||||||2526|N
2159|*Sint-|tamarind|1424||cintam, intam|tamarind tree|||||||||||||||0||||||||Tamil \Iintam\i probably by contamination with \Iīntu\i date-palm tree.|2529|N
2160|*Sind-|a musical composition|0||cintu|a kind of musical composition, a musical note|\Icentu\i a primary melody type|cintu|a poetical measure||||||||||||0|||||||||2530|N
2161|*Cip-|a k. of grass|0||||||||cippa-kasuvu|the fragrant grass Andropogon schoenanthus|||||||||0|||||||||2533|N
2162|*Sip-am|bundle, parcel|0||cippam|parcel, bundle, a man's load of tobacco leaves||cippam|bundle, bale, chiefly of tobacco||||||||||||0|||||||||2534|N
2163|*śip-|shell, oyster shell|214||ippi|pearl-oyster, shell|\Icippi\i shell, shellfish, coconut shell for measuring out curds|ippi, cippi|oyster shell||cippu, sippu, cimpi, cimpe, simpi, simpu, simpe|oyster shell, mussel, cockle, a portion of the shell of a coconut, skull, a pearl oyster|(Gowda) \Icippi\i coconut shell||||cippi|coconut shell, oyster shell, pearl|\Itippi\i, \Isippi\i coconut shell||0|||||||||2535|N
2164|*Sibb-|a k. of spot on the body|0||||||||cibba, cibbu, sibba, sibbu, sibbe|a whitish, reddish or blackish spot on the body|||||cibbu|white spots on the body|\Iśibba\i, \Iśibbu\i, \Isubba\i, \Isubbu\i a blotch, discolouring of the skin; \Iśiḍibu\i, \Iśiḍubu\i the pustule of smallpox|*Seb|1225||||||||Probably an IA loan.|2536|N
2165|*Cibbal-|bamboo lid|0||||||||cibbala, cibbalu, cibbil, cibbul|a bamboo lid|||||||||0|||||||||2537|N
2166|*ǯibb-|young areca-nut|0||||||||jibb-aḍike, jibaḷ-aḍike|a young areca-nut cut into two pieces and boiled||jibbɨ, jibb-aḍake|a young and tender grade of areca-nut||jibaḷu, jibulu, jibuḷu|boiled, tender areca-nuts|||0|||||||||2538|N
2167|*sim-|moisture; cold|0||cemmal|water|||||||||||śima|moistness, cold|\Isima\i cold (n.), chill; \Isimma\i cold (adj.); \Itemma\i a cough, cold||0|||||||||2539|N
2168|*čim-|to tickle; to pinch|0||cimiṇṭu (cimiṇṭi-)|to tickle, pluck, pinch, prod|\Icīṇṭu\i (\Icīṇṭi-\i) to tease, vex|cīṇṭuka|children to nettle, prick, pull one another||cimuṭu|to press together, squeeze, pinch|(Gowda) \Ijigiṇṭɨ\i to pinch||||cimukuni|to pinch|\Icauṇṭuni\i to pinch, nip||0|||||||||2540|N
2169|*čim-|cricket|245||cimili|cricket||cimili|a certain vaṇṭu [i. e. black bee, wasp, beetle]||cimmaṇḍi, cimmaṇḍe, jimmaṇḍe|cricket|||||||||0|||||||||2541|N
2170|*śimiṛ-|to bind, entrap|0||imiṛ (-v-, -nt-)|to bind as by order, restrain|(\I-pp-, -tt-\i) to fasten, tie; n. bond, cord; \Icimiṛ\i (\I-pp-, -tt-\i) to bind, entrap; n. small round jewel box, small casket; \Icimiṛppu\i bondage, tie|cimiṛ|small box||||||||||||0|||||||||2542|N
2171|*Simiṭ-|little, young|0|||||cimiṭṭu|young, little|\Icimiṭṭan\i child|||||||||||0|||||||||2543|N
2172|*SIm-ai-|summit|262||cimai|summit of a mountain, hair-tuft|\Icimaiyam\i top, summit of a mountain, peak, mountain, hill||||||||||||||0|||||||||2544|N
2173|*śim-|to wink; eyelid|213||imai (-pp-, -tt-)|to wink, glitter, twinkle, shine; n. eyelid, winking of the eye, time spent in winking|\Icimiṛ\i (\I-pp-, -tt-\i) to wink, blink; \Icimiṭṭu\i (\Icimiṭṭi-\i) id., to make a signal with the eyes; n. blinking of the eyes, significant wink; \Icimiḷi\i (\I-pp-, -tt-\i) to wink; \Icimiḷippu\i winking of the eyes; \Icimpuḷi\i (\I-pp-, -tt-\i) to close or shut the eyes as in joy, terror, etc.; \Inimai\i (\I-pp-, -tt-\i) to wink; n. eyelid|ima|eyelash|\Iimekka\i to blink, twinkle; \Icima\i eyelash; \Icimpuka\i, \Icimmuka\i, \Icīmpuka\i to twinkle with the eyes; \Icīmpal\i twinkling of the eyes; \Icīṇṭuka\i to give a secret sign|ime, eme, eve|eyelash, eyelid|(Hal.) \Ikǝnjɛme\i (\In\i, not \Iñ\i) eyelid; \Icimuṭu\i, \Icivaṭu\i, \Icivuṭu\i to twinkle or wink with the eyes|cimm-|(Shanmugam) to twinkle|\Icimm\i blinking of the eyes|imè, simè, simmè|eyelash|||0|||||||||2545|N
2174|*Simb-|splinter|0||cimpu|small splinter or fibre rising on a smooth surface of wood or metal, chip, flake from beaten iron, frayed ends of a worn cord, bamboo splits, twig|\Icimpal\i splinter, rough nap|cimpu|splinter, bamboo slip||||||||||||0|||||||||2546|N
2175|*čim-|to discharge, throw forth|0||||||||cimmu|to discharge by means of two fingers, shoot with the finger, push forward by means of the foot or a stick, cast, fling, push away, butt or toss with the horns, squirt, sputter; break forth, flow forth, burst forth, gush out; brandish a weapon, shake, swing|\Icimaku\i, \Icimiku\i, \Icimuku\i, \Icivuku\i, \Icimakisu\i, \Icimikisu\i, \Icimukisu\i, \Icivukisu\i to sprinkle; \Isimpiṇi\i sprinkling; \Isimpisu\i, \Isimpaḍisu\i, \Isimbaḍisu\i, \Isimmaḍisu\i to sprinkle, besprinkle; ? \Icigi\i to discharge with or from the fingers||||||||0|||||||KOR (O) \Icimki\i to splash; \Icimci\i to sprinkle|Kannada forms with \Is-\i probably borrowed from Pkt.|2548|N
2176|*ǵiraṭ-ai (?)|coconut shell|0||ciraṭṭai|coconut shell, begging bowl|\Icaraṭṭai\i coconut shell (loc.)|ciraṭṭa|coconut shell, chiefly the lower half|\Iciraṭṭi\i the upper half of a coconut shell|geraṭe (\IDCV\i), gɛraṭe (Hal.), garɨṭa (Bark.)|coconut shell||ceraṭe|coconut shell||||||0|||||||KOR \Igeyṭe\i coconut shell||2550|N
2177|*SIral-|kingfisher|0||ciral|kingfisher|||||||||||||||0|||||||||2551|N
2178|*ir-|night|1446||iravu, ira, irā, rā|night|\Iiru\i black; \Iiruṭci\i, \Iiruṭṭu\i, \Iiruṇmai\i, \Iirumai\i darkness; \Iiruḷ\i darkness, dark colour, ignorance; (\Iiruḷv-\i, \Iiruṇṭ-\i) to become dark, dim, obscure, be black in colour, be darkened (as the mind); \Iiruḷan̲\i Irula (member of a tribe in the Nilgiris); \Iiruntai\i, \Iiruntu\i, \Iiruntil\i charcoal|iravu, irā, rā|night|\Iiru\i to be dark; \Iiruṭṭu\i, \Iiriṭṭu\i, \Iiruḷ\i darkness; \Iiruḷka\i to grow dark; \Iiruḷar\i a caste of jungle dwellers; \Iirunnal\i charcoal; \Iikkari\i soot, grime|iruḷ, iraḷu, iraṭu, irḷu|night|\Iiddal\i, \Iijjalu\i charcoal; (eastern dialects) \Iiglu\i, (western dialects) \Iijlu\i coal (LSB)|irɨ|night|\Iirɨlɨ\i night-time; \Iirɨṭɨ\i darkness|irkụ|night|\Iirlụ\i, \Iirḷụ\i dusk, darkness, night|*irǝl|234|||||||IRU \Irāvu\i, \Irāpodu\i, \Irāvepodu\i night||2552|N
2179|*ǯir-|gum, adhesive|0|||||||||||||||||*ǯir|1321|||||||||2556|N
2180|*il-|not to be|1445||il|non-existence, death|\Iillai\i it is not (in Old Tamil with a complete neg. paradigm), no; \Iillāmai\i absence, non-existence, poverty, want; \Iillātavan̲\i one utterly destitute; \Iillān̲\i poor man; \Iill-en̲al\i death, negating existence; \Iilam\i, \Iilampai\i poverty; \Iili\i one who is without (at end of cpd.); \Iin̲mai\i total negation of existence, poverty; \Iin̲r̲iya\i that which is not|illa|does not exist, there is not; no, not|adj. \Iillā\i; \Iillāyma\i not existence, poverty, want|illa, illaṃ, illavu|is or are not; no, not|\Iila\i a man who has not, a place that is free from; \Iillade\i (gerund) not being; \Iillada\i adj. not being; \Iillave\i state of not being|ille|be not (for all persons and numbers)||ijji, (\IB-K\i) iddi|not to exist, not to be||*il-|233|ille|no||||||Ir. 114.|2559|N
2181|*śil-|clearing-nut tree|0||il, illam, illi, ilavu, cillam|clearing-nut tree, Strychnos potatorum Linn.|||||cilla, cillu, cittu, cali|clearing-nut tree, Strychnos potatorum Linn.|||||||||0|||||||||2560|N
2182|*čilak-|bolt, padlock|0||||||||cilaka, ciluka|a hasp or small chain for fastening a door|(Tipt.) \Icilka\i a door staple; (Coorg) \Isilku\i iron bolt||||cilụkụ, cilkụ|the catch or bolt of a window|||0|||||||||2561|N
2183|*cIland-|spider|173||cilanti, cilampi|spider||cilanni|spider||seladi, selandi|spider||||||||*tōl- (*c-) (?)|1134|||||||||2562|N
2184|*Silan-|pimple, boil|0||cilanti|pimple, small boil, abscess, ulcer, venereal boil||cilanni|a kind of ulcer or bubo||||||||||||0|||||||||2563|N
2185|*SIlamb-|fencing|0||cilampam, cilamam|practice of the art of using quarterstaff, fencing||cilampam|fencing|\Icilampi\i fencer|||||||||||0|||||||||2564|N
2186|*śilir-|to stand erect|0||ilir (-pp-, -tt-)|to stand erect as the hair stands on end from fright, etc.; sprout, germinate|\Icilir\i (\I-pp-, -tt-\i) to sprout, shoot, bristle as the hair on the body; \Icilir-cilir-\i to get goose-skin from intense emotion; \Iciluppu\i (\Iciluppi-\i) to bristle; \Icilumpu\i (\Icilumpi-\i) id., have an uneven surface by the rise of splinters, fibres, etc.; \Icilumpu\i, \Icilukku\i splinter or fibre rising on a smooth surface of wood||||||||||||||0|||||||||2565|N
2187|*Sil-|to open, split|0||cilu (-pp-, -tt-)|to open, split (intr.)|\Icilukku\i chipping, cutting; \Iciluval\i rags, tatters|||||||||||||*Sil-ǝv-|1232|||||||||2566|N
2188|*sil-|trouble|0||ciluku|trouble, affliction, perplexity, quarrel, obstacle|\Icilukku\i quarrel, trouble; \Icilukan̲\i, \Icilukkan̲\i troublesome or quarrelsome man; \Icillar̲ai\i annoying business, trouble from thieves|ciluku|trouble|\Icilukan\i quarrelsome|siluku, silku|troublesomeness, viciousness|\Icillatana\i trouble||||||||0|||||||||2567|N
2189|*Sil-|spike, staple|394||cilukku|iron staple, tooth of a saw, barb||cilukku|spike, iron barb, javelin||||||||cillēli|a sharp stick to dart [sic] a fish with|||0|||||||||2568|N
2190|*čil-|to ooze, drizzle|243||cilucilu (-pp-, -tt-)|to rain gently|\Icilu-nīr\i raindrop dripping from leaves; \Icilumpu\i (\Icilumpi-\i) to flow out, gush out||||cilkunīru|(Tipt.) water in fine drops|\Ijilɨpu\i to ooze (as water from a new pot)|||||||*cil- (*s-)|1231|||||||KOR (O) \Icilbi\i to splash water with the finger||2569|N
2191|*čil-|to churn, stir|0||ciluppu (ciluppi-)|to churn, stir, agitate|\Icilumpu\i (\Icilumpi-\i) to be agitated, shaken; (Devanesan, p. 3) \Iciluppi\i a churning staff||||cilku cilku|noise of milk in churning|(Nanj.) \Isilbu\i to churn||||||||0|||||||||2570|N
2192|*SIl-ai|bow|0||cilai|bow||cila|bow||||||||||||0|||||||||2571|N
2193|*ǯel- (?)|bell|0|||||||||||||||||*ǯel-|1320|||||||||2572|N
2194|*čilar̲-|small amount of smth., small change|244||cillar̲ai|things scattered here and there in small quantities, sundries, fractional quantitites, change (as of a rupee); trifling, insignificant matter|\Icilvān̲am\i odd; savings effected from the sum allotted for household expenses|cillar̲a|small, trifling matter|\Icilvānam\i, \Icillānam\i odd; remaining fraction, small articles of daily use bought in the bazaar|cillar̲a, cillar̲e, cilr̲e|smallness, pettiness, fractional quantities, money under the value of a rupee|\Icilavān\i the odd money over a round sum||||cillarè|small money, change, trifle; little, trifling|\Icilvāna\i, \Iciluvāna\i the odd money over a round sum; little, small, trifling, mean, low|*sil-|116|||||||||2574|N
2195|*śil-i|small hole|0||illi|small hole (as in a pitcher), orifice as of the teat|\Icilli\i leak, hole, crack|cilli-kkuttu|a little hole||jilli|small hole in an earthen vessel|||||||||0|||||||||2575|N
2196|*ǯil(l)-|chill, cold|1849||cilucilu (-pp-, -tt-), jilujilu|to feel chill, be cool|\Icilucil-en̲al\i, \Ijilujil-en̲al\i onom. expr. of being cool; \Icill-iṭu\i, \Ijill-iṭu\i to become chill; \Icill-en̲al\i, \Ijill-en̲al\i onom. expr. of being very chill; \Ijillu\i extreme cold (< Te.); \Ijilu-jiluppu\i coolness||||jillu|the sensation produced by touching cold water|||||||||0|||||||||2576|N
2197|||0||cillai|unruly mischievous disposition (as of a bull), wicked and libidinous woman|||||cille|a worthless, mischievous, misbehaving woman|||||||||0|||||||||2577|N
2198|||0||||||||jum, juṃy, juma, jumu, jummu|imit. sound used in the sensation of coldness or chill, of the taking effect of poison, of horripilation, of the pain of a wound|(also \Ijommu\i, \Ijōmu\i; cf. DED 2882) of the numbness of a limb kept long in one position; \Ijuvvu\i a sound to express the sensation of fatigue and pain in the feet after walking|||||||*ǯiv|1637|||||||||2578|N
2199|*siv-aŋi|lynx, leopard|2096||civiŋki|Indian lynx, Felis caracal; hunting leopard, F. jubata||civiŋŋi|a hunting leopard||sivaŋgi|the tiger-wolf, the hyaena; a leopard used in hunting|||||||||0|||||||||2579|N
2200|||1870||civir̲i|a fan|||||sīguri, (\IK2\i) sīguḍi|a kind of chowrie|||||||||0|||||||||2580|N
2201|||0||||||||civu civu|the twittering of small birds; the peculiar cry of rats or mice||||||||*Siv-|1233|||||||||2581|N
2202|||0||||||||||||||cilli, cillè|a kind of cucumber|||0|||||||||2583|N
2203|||0||||||||||||||tirtụ, hirtụ, (\IB-K. also\i) sirtụ|down, beneath, below, under; adj. lower, subordinate|\Itirtaṭṭụ\i lower side or level; \Itirtaṇè\i lower part of a slope; \Itiryara\i low; below, downward, under||0|||||||||2584|N
2204|*śiḷ-i-|to strip, flay|0||iḷi (-v-, -nt-)|to strip off, pluck||ciḷikka|(the rind of a fruit) to open from ripeness||||||||cilkuni|to flay|||0|||||||||2585|N
2205|||0||||||||cilike|stick and other small pieces of wood|||||||||0|||||||||2586|N
2206|*ciḷ-|branch, bifurcation|180|||||cilla|(Tiyya, Calicut) small branch of a tree|(Tiyya, Cannanore) \Iilli\i twig|ciḷḷe|bifurcation, a fork (as that formed by two branches)|? (Hav.) \Igellu\i branch||||gellụ (?)|(B-K) branch, twig||*Sil|1230|||||||||2587|N
2207|||0||ciḷḷ-en̲al|onom. expr. of being noisy, boisterous|\Iciḷuciḷu\i (\I-pp-, -tt\i-), \Iciḷupuḷu\i (\I-pp-, -tt-\i) to be chattering; \Iciḷu-ciḷ-en̲al\i, \Iciḷu-puḷ-en̲al\i, \Iciḷḷu-ppiḷḷ-en̲al\i onom. expr. of bubbling, as boiling water; \Iciḷ-vaṇṭu\i, \Iciḷ-vīṭu\i, \Iciḷḷīṭu\i cricket|ciḷ-vīṭu, cīvīṭu, cīṭu|cricket||||||||||||0|||||||||2588|N
2208|||0||cir̲a (-pp-, -tt-)|to be eminent, illustrious, surpass, be abundant, be auspicious, be graceful, rejoice|\Icir̲antōr\i the great, the illustrious, gods, relatives, ascetics; \Icir̲appu\i pre-eminence, pomp, abundance, wealth, happiness, honours, esteem, periodical festival in a temple; \Icir̲avu\i meritorious deed|cir̲akka (cir̲annu)|to be glorious||ser̲apu|(K2) hospitality, honour, festival|||||||||0|||||||||2589|N
2209|*čir̲Vt-|panther, leopard|248||cir̲uttai|panther, Felis pardus|||||cir̲ate, cir̲aca, circa, circu|a small kind of tiger, the cheeta or hunting leopard, Felis jubata||cirate|leopard||cirtepili|leopard|||0|||||||||2590|N
2210|*er̲-|wing|1391||cir̲ai, cir̲aku, cir̲akar|wing|\Iir̲ai\i, \Iir̲aku\i, \Iir̲akar\i, \Iir̲akkai\i wing, feather|ir̲aku, cir̲aku|wing||er̲ake, er̲aŋke, r̲akke, r̲ekke|wing|\Ir̲aṭṭe\i, \Ir̲eṭṭe\i wing, upper arm|rekke|wing|\Iraṭṭe\i upper arm|ediŋke, reŋkè|wing||*rek|1535|||||||||2591|N
2211|*Cin-ai-|to form, rise; bud, egg|0||cin̲ai (-pp-, -tt-)|to form, rise, come into being, bud, branch out on all sides, rise in pimples as prickly heat, grow stout, be impregnated; n. embryo, foetus, pregnancy, spawn, eggs, flower bud, branch of a tree, member, component part|\Icin̲aippu\i prickly heat, becoming pregnant, fatness|cana|pregnancy|\Icanekka\i animals to conceive, branch out; \Icanaccam\i smaller branch of a tree or antler; \Icina\i branching out as an ear of corn; \Icinekka\i to branch out, rice to sprout|jane|yolk of an egg|\Itane\i, \Itene\i embryo of beasts, pregnancy||||tanè, sanè|conceiving, breeding as cattle, sheep, etc.|\Itaneyuni\i cattle or animals to be big with young||0|||||||||2592|N
2212|*čin-|small|246||cin̲n̲a|small, little, inferior, mean, low, young|\Icin̲n̲am\i smallness, minuteness, anything small; \Icin̲n̲i\i small child, little thing, a small measure|cinna|small|\Icinnan\i a short man; \Icinampu\i a little; \Icinakku\i a bit|ciṇi, ciṇṇi, ciṇṇe|smallness, shortness|\Iciṇṇa\i a little one, a boy; \Icina\i smallness, small pieces; \Icinna\i, \Ijinna\i smallness, etc.|ciṇṇi|small|\Icenna\i a little|||||0|||||||||2594|N
