NUMBER|PROTO|MEANING|PRNUM|STEMS|KOTA|TODA|ADDITION|NOTES|DEDNUM
718|*tav-|to die|2559||tav- (tat-)|? tōn "the deceased (e. g. \Itōn mox\i the dead boy, \Itōn wɨs̲ēn\i the decreased Wɨs̲ēn)"|Also Kota \Itavīr\i (< \Itav-ayr-\i; \Itavrc-\i< \Itav-arc-\i) to kill; \Itāv\i death, corpse, funeral; \Itā pay\i, \Itā vay\i, \Itā vī\i house where there is a death; \Itā nāṛ\i place where corpse is cremated||3068
719|*tavēr-ĭ|orphan|2587||tavāry|tobēry||Irregular cor.: -v- - -b-, and the root is hardly indigenous.|3101
720|*tavĭṭ|hill guava, Rhodomyrtus tomentosa|2598||tavṭ|tafɨṭ|||3112
721|*tār̲|important person|0||tār nāṭōn "a Toda of the division that includes the clans of Tōr̲ōṛ and Niṛy (\Itār nāṛ\i = Toda \Itōrōṛ\i)"|tōr̲ "important man; clan(s), people of the clan, esp. of the clans of the higher-ranking moiety; the higher-ranking moiety (usually called \Itōr̲ϑas̲\i); the Todas (in contrast to the Tamilians)"|Also Kota \Itād̲ nay\i ghee brought to the Kota village ceremony by the Todas (of the clan related in the jajmani economy); Toda \Itōr̲ōṛ\i n. pr. of the chief hamlet of one of the clans (lit. place of the \Itōr̲\i)||2470
722|*tāk-|to touch|2631||tāk- (tāyk-) "to touch with hand"|tōk- (tōky-) "to touch (sacred bell in dairy, of one who should not do so); shout with anger"|||3150
723|*tāṛ-|lock|2654||tākōl, tākōlg "European lock, padlock"|tošt "bar at gate of pen"|Also Toda ? \Itōw\i plank||3179
724|*tāḷ|trunk, stem|2659||tāḷ "stem, trunk, slope of hill"|tōɫ̣ "thigh of animal's hind leg, trunk of tree, slope of hill"|||3185
725|*tāl-ĭ|necklace|2650||tāḷy "a heavy necklace"|tōly "woman's gold neck ornament"|||3175
726|*tām (obl. *tam-)|themselves|2640||tām (\Iobl.\i tam-)|tam (\Iobl.\i tam-)|Also Toda \Itadam\i each his own, separate, different ( < \Itam-dam\i; \I*Nd\i > \Id\i); \Itada(m) mār̲\i separately (for \Imār̲\i, see 4717)||3162
727|*tāŋ-|to support|2632||tāŋg- (tāŋgy-) "to support (burden), endure, make to escape from death or ill-treatment"|tōg- (tōgy-) "to support (burden); be stuck in branch; delay"|||3153
728|*tāv-ӓ|bracken|2651||tāyv "bracken, Pteris aquilina"|tāf "fern"|||3176
729|*teŋ|coconut|2851||ten kāy|tӧ(g) gōy|Also Kota \Itegy\i coconut shell used as ladle; Toda \Itӧg nȫṇ\i coir rope; \Itegy\i half coconut shell used as ladle||3408
730|*tol-|to release, settle|2947||tolg- (tolgy-) "to be released from debt"|twal- (twalϑ-) "to be settled and finished with"|Also Kota \Itolk-\i (\Itolky-\i) to release from debt; Toda \Itwalf-\i (\Itwalt-\i) to settle (debt)||3519
731|*tel-ǝg-|to divide|0||telg- (telgy-) "(hair, bushes) are divided"|twalx- (twalxy-) "(plank) is out of plumb, (coagulant agent is polluted)"|Also Kota \Itelk-\i (\Itelky-\i) to divide (hair, cloak, bushes) so as to examine or go through; Toda \Itwalk-\i (\Itwalky-\i) to make to be out of plumb||3519
732|*teḷ-ĭ-|clear; to clear up|2870||teyḷ-/teḷc- (teḷc-) "to make to cease (\Imak\i state of unconsciousness)"|tüɫ̣y "clear"|Also Toda \Itüḷy-\i (\Itüḷs-\i) to become clear, calm, come to senses after a swoon; \Itüḷc-\i (\Itüḷč-\i) to calm (tr.), bring to senses after a swoon; ? \Itɨbak ar̲y-\i (\Iar̲s-\i) to remember, (neg.) forget||3433
733|*toḷ-ĭ-|hole; to pierce|2956||toyḷ- (toḷc-) "to pierce"|tüɫ̣y (?) "gate-post of pen with holes for bars"|Also Kota \Itoyḷ\i hole in pen-post; \Itoḷ\i hole, vagina; \Iteḷī(g\i) hole in wall between two houses (for handing through fire, etc.); Toda \Itüɫ̣y-\i (\Itüɫ̣c-\i) to make hole in stone or tree||3528
734|*tet̲-|opportunity|2876||tet̲- (tet̲y-) "opportunity or time is, be possible (with dative of person)"|tet̲- (tet̲y-) "leisure is"|Also Kota \Itepn\i well, in good circumstances, not widowed (said of the priest); Toda \Iter̲n\i opportunity, right moment||3439
735|*terḷ-|round, ball|2712||terṇ- (terḍ-) "to become round (e. g. butter when being churned), become plump (esp. girl at puberty)"|teṣ t/ϑwӯr̲ (?) "ball of food (for \Itwӯr̲\i, see 2897) eaten in preliminary ceremony by ordinand for tī priesthood"|Also Kota \Iterṭ-\i (\Iterṭy-\i) to make round (butterball when churning), turn (wood in a lathe); \Iter\i lump of clay put on wheel to throw a pot; \Iterv-\i (\Iterd-\i) to roll up (tr.); Toda \Iteṣ er̲y-\i (\Ier̲s-\i) (old woman) gives ball of food to ordinand; \Iteṣ ṇīr ōḍ-\i (\Iōḍy-\i) to undergo preliminary ceremony as ordinand for tī priesthood (\Inīr ōḍ-\i to undergo ordination ceremony for priesthood) (cf. various nouns meaning 'round lump, ball of rice'; prob. \I*r\i > \I*ṣ\i, as in 4290); \Iteṣ\i gun (? < *[musket] ball)||3245
736|*ter̲-|to pay|2878||ter- (tet̲-) "to pay (debt)"|teɫ- (tet̲-) "to pay (fine, debt)"|Also Toda \Iter̲\i a fine, compensation paid in buffaloes to man whose wife is taken by another|Toda -ɫ- is ABSOLUTELY irregular! I don't understand.|3441
737|*ter-ĭ-|to choose|2858||teyr- (terc-) "to choose, divide out or off"|tɨry- (tɨrs-) "to choose, separate (calves from buffaloes, etc.)"|Also Kota \Iterṇ-\i (\Iterṇḍ-\i) to leave the company or crowd; Toda \Itɨry-\i (\Itɨrc-\i) to separate, excommunicate; \Itɨrc-\i (\Itɨrč-\i) to separate||3419
738|*ter̲-ǝv-|to open|2723||terv- (terd-) "to open (door, etc.), release (buffaloes) from enclosure or shed"|ter̲- (ter̲ϑ-) "to open (container, door, pen, etc.)"|Also Toda \Iter̲ ɨr\i buffalo let out to graze early in the morning before milking; \Itɨr̲ ār̲\i (obl. \Iāt̲-\i) open space between front wall and entrance of house; \Itɨrp\i key (? < coll. Tamil with \Ir\i, or contamination with \Itɨrp-\i to turn key; see 3246)||3259
739|*tet̲-|to stray|2875||tet̲- (tet̲y-) "(cattle) stray from a herd"|? teṣ "gun (or with 3245)"|||3438
740|*tēk-|belch|2886||tēkl "a belch"|tȫk- (tȫky-) "to belch"|||3451
741|*tēn|honey, bee|2731||tēn|tȫn|||3268
742|*tēr̲-|well, satisfactory|2902||tēr- (tēry-) "to be found satisfactory in one's actinns; dawn (with subject \Ināṛ\i; country becomes clear)"|tȫr̲- (tȫr̲y-) "to improve (in health, wealth)"|Also Kota \Itērc-\i (\Itērc-\i) to make (day) dawn; Toda \Itȫt̲-\i (\Itȫt̲y-\i) to make improve (in health, wealth); \Itēl-\i (\Itēd̲-\i) to recover (\Iǖr\i life) slowly after swoon; do work; \Inōṭyϑēl-\i (\Iϑēd̲-\i) to perform the sweeping ceremony (for \Inōṭy\i, see 3587 and TGT, text 56)||3471
743|*tub-ĭ|beetle|2781||tib|tüby "sp. honey-making insect"|||3328
744|*tic|fire|1335||tic|tɨt|Also Toda \Ikic\i, \Ikič\i fire (in songs; < Badaga)|In Toda *-c > -t probably by assimilation.|1514
745|*tiḍg|flesh|2695||tiḍg|tɨḍx "piece of flesh"|||3226
746|*tigǝḷ|moon|2685||tigḷ|tɨgɨḷ|Also Kota \Itiŋgḷ\i month; Toda \Itīɫ̣\i month|Is Toda \Itɨgɨḷ\i a borrowing?|3213
747|*tin-|to eat|2726||tin- (tid̲-) "to eat (including a meal), ruin"|tɨn- (tɨd̲-) "to eat (including a meal)"|Also Kota \Itīn\i food in general, the food of all except Muslims and Europeans; \Itīṭ-\i (\Itīc-\i) to feed by hand; Toda \Itīny\i food for animals, European food||3263
748|*tiṇ|seat, platform|2696||tiṇ "raised seat"|tɨṇ "sleeping platform"|Also Kota \Itinvāl\i veranda (for \Ivāl\i, see 5354); ? Toda \Itɨṇp\i raised edge of path, sod||3227
749|*tir-ĭ-|to change, turn|2713||tiry- (tirc-) "to change in nature for the worse (intr.)"|tɨry- (tɨrc-) "to twist (tr.)"|Also Kota \Itirc-\i (\Itirc-\i) to cause (calf) to change its smell so that another mother will suckle it; \Itirg-\i (\Itirgy-\i) to turn (intr.), return; \Itirk-\i (\Itirky-\i) to turn (tr.), utter a sound; \Itirk\i act of going and returning; branch of a path; \Itirgan\i wheel; Toda \Itɨrc-\i (\Itɨrč-\i) to translate; \Itɨry\i again; \Itɨrx-\i (\Itɨrxy-\i) to turn (intr.); \Itɨrk-\i (\Itɨrky-\i) id. (tr.); \Itɨrk\i turn in road; a time, turn; \Itɨrb-\i (\Itɨrby-\i) to twist (tr.; cane, bamboo); \Itɨrp-\i (\Itɨrpy-\i) to turn (key)||3246
750|*tird- (caus. *tirt-)|to correct, straighten|2718||tirt- (tirty-) "to change one's frame of mind"|tɨd- (tɨdy-) "to make straight (e. g. stick), correct (someone's character); \Itɨṣt-\i (\Itɨṣty-\i) to correct crookedness (of stick), (woman) lifts knees and holds them with her hands in sexual intercourse"|||3251
751|*tiṭ|hill|2690||tiṭ|tɨṭ "mountain"|||3221
752|*tīj-|to singe|2728||tīy- (tīc-) "to be singed, roasted, (flame) burns low"|tīy- (tīs-) "to be singed"|Also Kota \Itīc-\i (\Itīc-\i) to singe; Toda \Itīy-\i (\Itīc-\i) to singe, roast||3266
753|*tod-|Toda|2934||ton "Toda man (< \I*tod-n\i)"|toӡ-mox "Toda woman"|Also Kota \Itody\i Toda woman||3504
754|*toḷ-|to wash, sprinkle|2810||toḷg- (toḷgy-) "to wash one's hands with tears"|toɫ̣y- (toɫ̣c-) "to sprinkle (intr., tr.)"|Also Toda \Itoḷb-\i (\Itoḷby-\i) (liquid) slops over; \Itüɫ̣y\i a drop|Unclear -o- in Toda.|3361
755|*toṭ|handle|0||toṭ "handle (of pot or basket)"|twɨṭ "handle (made of loop of cane) of bamboo milking-vessel, loops of cane that tie thatch"|Also Toda \Itwɨṛk\i hook, link of chain||3480
756|*toḍ-ӓv-|to pollute|2910||toṛv- (toṛd-) "to put arms around"|twaḍ- (twaḍϑ-) "to be polluted"|Also Toda \Itwaḍf-\i (\Itwaḍt-\i) to pollute; \Itwɨṛf-\i (\Itwɨṛt-\i) to entangle (tr.); ? \Itōṭ-\i (\Itōṭy-\i) to bring up (child), take (woman of the other moiety) as concubine; \Itōṭyfoy\i \Imox\i concubine||3480
757|*tov-ǝg- (*-ǝk-)|to begin|2800||tovk- (tovky-)|twɨϑx- (twɨϑxy-) "to be at the point of, be ready to"|Also Toda \Itwɨϑk-\i (\Itwɨϑky-\i) to start, begin||3350
758|*tōd|trick|2975||tōd|twӯϑ "cunning, trickery"|||3550
759|*tō[ṇ]ḍ-|to dig|2974||tōḍ- (tōj-) "to dig a deep hole"|twӯṛ- (twӯṛy-) "to dig with fingers"|Also Kota \Itōṭm\i (obl. \Itōṭt-\i) fenced field; Toda \Itwӯṭm\i (\Itwӯḍt-\i) garden; \Itōṭ\i = \Itwӯṭm\i (in song unit: \Itōṭɨṣ ϑōr̲\i man on an estate, i. e. European)|Kota seems to point to an old nasal cluster, while Toda has an old simple consonant. Complicated situation.|3549
760|*tōr̲-|to be visible|2987||tōr- (tōry-)|twӯr̲- (twӯr̲y-) "to be foreseen, be visible"|Also Kota \Itōg-\i (\Itōyg-\i) intuition comes (to person); Toda \Itwӯl\i- (\Itwӯd̲-\i), \Itwӯt̲-\i (\Itwӯt̲y-\i) to be foreseen; \Inēt̲wӯr̲-\i (\Inēt̲wӯr̲y-\i) to be reflected (lit. to be visible as a reflection; for \Inēs̲\i, see 3679)||3566
761|*tōl̲|skin, hide|2982||tōl|twӯs̲|Also Kota \Itōkrl\i small peg used in pegging down hide to dry (\Itōl\i + \Ikarl\i [see 1389])||3559
762|*tōḷ|upper arm|2985||tōḷ "upper arm, elbow to shoulder"|twӯḷfody "bangle worn on upper arm by women"|||3564
763|*tōj-|to wash|2978||tōy-/tōṭ- (tōc-) "to wash clean (cloth)"|twӯy- (twӯc-) "to wash (clothes)"|||3555
764|*tōṛ|pen|2954||tōy "buffalo pen"|twӯ "corral, pen"|Also Toda \Itū fōs̲\i entrance of pen||3526
765|*tub-|to sneeze|2788||tub- (tuby-)|tüb- (tüby-)|||3336
766|?|to sleep|2745||tugūṛ- (tugūc-) "to fall asleep while talking"|tǖs̲ (?) "sleep (? verb or noun; in story phrase: \Itōr̲ tǖs̲ wɨḍskā\i 'has the man quit sleeping?')"|Also Toda ? \Itūs-\i (\Itūsy-\i) to become useless or damaged, (woman) is not married||3291
767|*tuṇḍ|piece; cloth worn from armpits to knees by Badaga woman (< Badaga \Ituṇḍu\i)|2764||tuṇḍ|tuḍ|||3310
768|*tuṇ-ĭ|cloak, a k. of cloth|2761||tuṇy "priest's cloak (worn only at the milk-placing ceremony); Toda priest's garment"|tüṇy "dairyman's black garment of a single cloth"|||3307
769|*tūg-|to hang|2823||tūg- (tūyg-) "to hang (intr.), weigh (intr.)"|tūx- (tūxy-) "to hang (intr.)"|Also Kota \Itūk-\i (\Itūyk-\i) to carry on shoulder, weigh (tr.); \Itūgm\i (obl. \Itūgt-\i) weight; \Itūktūky\i servant; Toda \Itūk-\i (\Itūky-\i) to hang (tr.), lift up, stir; \Itūk\i, \Itūk mar\i gallows (for \Imar\i, see 4711); \Inēt̲wӯk-\i (\Inēt̲wӯky-\i) to toll bell while mourning over relics between funerals (lit. to lift [bell] for/over the relics \I[nēs̲\i, see 3679])||3376
770|*tūr̲|branch with leaves|2845||tūr "bushy bunch of leaves of tree"|tūr̲ (\Iobl.\i tūt̲-) "branch with leaves, leafy part of tree; (in song) bushes"|||3401
771|*tūḍ-ӓ|hill mango|2825||tūṛ marm|tӯṛ|||3377
772|*ub-|to swell|601||ub- (uby-) "(part of the body) swells"|ub- (uby-) "to boil over"|Also Kota \Iubc-\i (\Iubc-\i) to coax child with pleasing words; Toda ? \Iupum\i much; ? \Iuporty\i pleasure, elation||666
773|*ubās-|to pant|568||ubācm "panting"|ubosm "quickened breathing (as in fever)"|||632
774|*urc-|diarrhoea|627||uc- (uc-) "to have diarrhoea"|ūc- (ūč-) "(buffalo) has diarrhoea"|Also Kota \Iucl\i stool in diarrhoea; \Iuc\i urine (only in a proverb)||696
775|*us-ǝg-|to move slightly horizontally (intr.)|522||ucg- (ucgy-)|usx- (usxy-)|Also Kota \Iuck-\i (\Iucky-\i), Toda \Iusk-\i (\Iusky-\i) id. (tr.)||577
776|*usir|life|579||ucr "life, male genitals (polite word)"|ǖr, usɨr|Also Toda \Iyūk\i, \Iüy\i, in song units: \Iyūk fɨt̲ad\i drawing longing sighs, \Iüy naṛϑad\i walking with heavy breathing||645
777|*und-|to push|563||ud- (udy-) "to push (person, small object with hand)"|ud- (udy-) "to jostle"|||625
778|*uṛ-ǝp-|to plough|620||ug- (uṛt-) "to plough, be ploughed"|uṣf- (uṣt-)|Also Kota \Iukl\i act of ploughing; \Iūv\i one furrow in ploughing||688
779|*pug-|to enter|3556||uk- (ug- \Ialso in the negative\i; uky-)|pux- (puk-)||Unclear lack of initial *p- in Kota. Influenced by Badaga? It's interesting, though, that the other case is *pōg- 'to go' (a third case is *puṭ- 'to bear', where I, however, suspect a direct borrowing). Also, the inlaut consonant is dubious: *ug- should be expected.|4238
780|*uḷ-ĭ|chisel|630||uḷy|uɫ̣y "branding iron"||In Toda *üɫ̣y would be expected; the form may be a re-borrowing.|699
781|*uḷ-ĭ|onion|636||uḷy|ūɫ̣y|Also Toda \Ipӧḷ ūɫ̣y\i garlic (= Tamil \Iveḷḷ-uḷḷi\i)|Vowel length in Toda unclear.|705
782|*un-ĭ-|to think|656||uny- (unc-)|uny- (unc-)|Also Kota \Iuny\i, \Iunyp\i thought, aim; \Iunypgārn\i thinker; Toda \Iunyp\i thought||727
783|*uṇ-|to drink|538||uṇ- (uḍ-) "to drink, suck"|uṇ- (uḍ-) "to drink, (child) takes breast, (rain) rains"|Also Kota \Iuṇkc-\i (\Iuṇkc-\i) to make to drink, make to feast; \Iūṭ-\i (\Iūyṭ-\i) to suck (young of animals that stand while suckling); \Iūṭm\i meal paid to god at god-making ceremony; \Iūṇ\i food, food eaten after dry funeral; Toda \Iūṇ\i food, feast||600
784|*urḷ-|to roll|597||urṇ- (urḍ-) "to roll (intr.) over and over in one direction"|ūḷ- (ūḍ-) "to roll (intr.)"|Also Kota \Iurṭ-\i (\Iurṭy-\i) id. (tr.); Toda \Iūṭ-\i (\Iūṭy-\i) id. (tr.); \Iūḷ\i ball (of butter, food, etc.), handful; \Iuṭ-\i (\Iuṭy-\i), \Ipɨṣ ūṭ-\i (\Iūṭy-\i) to turn earth with cane at funeral (for \Ipɨṣ\i, see 4290)||664
785|*uṇḍ-|round|598||uṇḍ "roundness"|uḍy "ball, round"|Also Kota \Iuṇḍy\i round lump of food; Toda \Iuḍy ϑwӯr̲\i cooked rice in shape of ball|The forms meaning 'ball, lump' probably borrowed from SDR, since Toda shows an irregular lack of development *u > ü.|664
786|*up|salt|2276||up|up|||2674
787|*ur-[ĭ-]|to burn; to hate|590||ury- (urc-) "to hate, be envious of, it pains; n. envy, heat (esp. of the sun), sweat"|üry "heat of fire; sweat; anger, grudge"|Also Kota \Iurc\i burning pain; Toda \Iürc\i fatigue; (?) \Iūr foṛ-\i (\Ifoṭ-\i) (woman in the 5th month of pregnancy) undergoes ceremony of burning her wrist; (?) uf- (ut-) "(fever) affects, burns"||656
788|*ur-|to appear; form, shape|591||urp "shape, appearance, image of god in form of small silver plate"|urp "form, idol"|Also Kota \Iurv\i trunk of body; Toda \Iušt-\i (\Iušty-\i) to appear, come into sight, (star) rises; \Iuf\i back of trunk of body (also \Iūf\i in songs; uncertainty about phonetics)||657
789|*puṭ-|to grow; to bear|3576||uṭ- (uc-) "to be born, (plant, hair) sprouts (< Badaga)"|puṭ- (puṭy-) "to grow (intr.; grass, tree, hair)"|Also Kota \Iuṭc-\i (\Iuṭc-\i) to create, bear, beget; \Iuṭ\i beauty of body (esp. shining complexion), facts of a matter; Toda \Iuṭ-\i (\Iuṭy-\i) to be born (in songs; < Badaga); \Iuṭ\i creation, birth, physique, beauty||4264
790|*ug-/*ūc-|to split, leak|509||ūc- (ūc-) "to be spilt; spill (tr.), pour (water, grain), pour off (water from grain)"|ūc- (ūč-) "to throw away (dirty water)"|Also Toda \Iux-\i (\Iuk-\i) to leak, dribble; \Iuf-\i (\Iufϑ-\i) to fall down (of flowers or fruit); (\Iuft-\i) to shake off (water from head, dust, mud), empty (bag of grain), throw (spear), shout (words of song, \Inӧw\i)||562
791|*ūr̲-ǝv-|to stick in ground|685||ūv- (ūd-), ūd- (ūyd-) (?) "to sink into ground of its own weight"|ūr̲- (ūr̲y-) "to stick in ground (a stick, etc.); (hole, path, abandoned site) closes up, grows over"|Also Kota \Iūt-\i (\Iūyt-\i) to fix into ground by pressure; \Iūṇḍ-\i (\Iūṇḍy-\i), \Iūṇ-\i (\Iūṇy-\i) to transplant; Toda \Iūr̲y\i growth on an abandoned place; \Iūn ēr\i the plough that they stick in the ground (in song; < Badaga; for \Iēr\i, see 2815)|Kota \Iūd-\i probably influenced by the past stem.|763
792||*ūg- (*uṛ-ǝg-)|to slide, glide|452||ūg- (ūyg-) "to slide down a slope"|ūx- (ūxy-) "to glide along, slip through hands"|Also Kota \Iūk-\i (\Iūyk-\i) to cause to slide down a slope; \Iūj-\i (\Iūj-\i) to slide down a slope on a plank; Toda \Iūk-\i (\Iūky-\i) to make to glide along, slip (bars of pen from their slots); (?) \Iɨx-\i (\Iɨxy-\i) to slip, be slippery||503
793|*ugĭr|fingernail|508||ūr "finger-nail, claw, each half of hoof"|ǖr "finger-nail, toe-nail"|Also Kota \Iūr-gaṇ\i finger-nail; Toda \Iǖr-xoṇ\i end of finger-nail||561
794|*ūr|village of Tamils or Badagas|676||ūr|ūr|||752
795|*vīr̲-|to throw|4570||vīr- (vīry-) "to throw (light things, e. g. dust, grain, grass)"|pīr̲- (pīr̲y-) "to scatter, shed (tears) in profusion"|Also ? Kota \Iūr-\i (\Iūry-\i) to throw, act violently or thoroughly||5463
796|*vad-ǝk-/*vāḷ-|to live prosperously|4486||vadk- (vadky-) "to prosper, live"|poϑk- (poϑky-) "to prosper"|Also Kota \Ivāḷ-\i (\Ivāḷy-\i) "(woman) lives prosperously with husband"; \Ivāḷṇ\i extremely fatty meat; \Ivag-\i (\Ivaṛt-\i) (woman) is married; \Ivakc-\i (\Ivakc-\i) to make woman marry; \Ivadk\i prosperity, property; \Ivāc-\i (\Ivāc-\i) pair-word with \Ivadk-\i; Toda \Ipoϑk\i wealth; \Ipoḍ-\i (\Ipoḍϑ-\i) to be priest of tī dairy; \Ipoḍϑ-\i (\Ipoḍϑy-\i) to enjoy (in songs); \Ipaṣk\i property, household article; ? \Ipoḷc-\i (\Ipoḷč-\i) to live, be alive, get on in life (or with 5292); \Ipoḷp\i way of living, means of livelihood (or with 5292)||5372
797|*vāg-/*vāŋ-|to bow, bend; to lessen|4450||vāg- (vāgy-) "to make (pot) bulge (in throwing it on the wheel)"|pāg- (pāgy-) "to fall, (disease) subsides, (buffalo, coagulant) goes to sacred place (dairy, etc.)"|Also Kota \Ivag-\i (\Ivagy-\i) to be slightly bowed down, crouch, be obedient to orders; \Ivak-\i (\Ivaky-\i) to bend (intr.), be cowed; \Ivakc-\i (\Ivakc-\i) to make to be obedient to orders, bend (tr., iron)|Strange case. Toda pāg- certainly goes back to *vāŋ- (although with an unexplainable lack of *ā > ō), but Kota certainly represents an old *vāg- (while *vāk- would be expected for the causative form). To be sorted out.|5335
798|*vār-|to come|4390||vār- (va-, vā; vad-)|pōr- (pa-, paš-, pō; pod-)|Also Kota \Ivakc-\i (\Ivakc-\i) to make to come; \Ivarlār\i (obl. \Ivarlāt̲-\i) account of oneself and one's previous history; \Ivarv\i contribution; Toda \Iparf\i contribution to meet expenses of construction of dairy|Secondary stems *va-, *var-; past stem *vard-.|5270
799|*val-ӓ|net|4406||val "net, box-trap for rats made of netting"|pal|||5288
800|*val|right|4396||val "powerful, very, right"|pas̲|Also Kota \Ival kay\i right hand; \Ival(n)\i man who is clever at cheating; fem. \Ivaly\i, \Ivalc\i; \Ival paṭ\i excessive; \Ivalc-\i (\Ivalc-\i) (man) becomes stout, (heart) becomes bold, (grain) becomes solid lump when boiled; Toda \Ipas̲ koy\i right hand; \Ipaly-\i (\Ipals-\i) (child) becomes strong; \Ipalym\i (obl. \Ipalyt-\i) force|Are Toda forms with -l- borrowed from SDR?|5276
801|*valār-ĭ|Jamaica switch sorrel|4520||valāry|pas̲ōr|||5410
802|*vaḷ-|a measure|4432||vaḷm (\Iobl.\i vaḷt-) "a grain measure (= 3 oḷk)"|poḷm (\Iobl.\i poḷt-) "a bamboo vessel"|Also Kota \Ivalm\i (obl. \Ivalt-\i) round grain-storage basket||5315
