NUMBER|PROTO|PRNUM|RUSMEAN|MEANING|GRU|GRMEAN|EGRMEAN|MEG|MGMEAN|EMGMEAN|SVA|SVMEAN|ESVMEAN|LAZ|LZMEAN|ELZMEAN|NOTES
777|*peš- / piš|0|взрываться, лопаться с шумом|to burst|piš-piš-|Platzgeräusch beim Breikochen|Platzgeräusch beim Breikochen|pašk-, pešk-|||pišg-, pšg-||||||ЭСКЯ 188-189, EWK 356-357. ?Ср. ПИЕ *pes- 'надувать' (Pok. 823). С другой  стороны, Бомхард (1997, 148) сравнивает с драв. *pa(y)- / *pac- 'делить,  отделять'; сюда же можно привлечь алт. *p`isi 'ломать'. Ввиду экспрессивного  характера корня все эти этимологии довольно сомнительны.
778|*pet-|0|пугать(ся)|to scare, be scared|pet-||||||pēt-||||||EWK 352-353.
779|*petk-|1508|биться, взрываться|to burst, break|petk-|||partk-|трепетать|to quiver|ptk-, pitk-|бить, расщеплять (betk- 'взрываться, вспыхивать')|to beat, split (betk- 'to burst, burst in flames')|patk-|биться, трепетать|to shake, quiver|ЭСКЯ 188, EWK 353. Ср. алт. *p`āt`V 'бить', ? ПИЕ *petə- 'бросаться, летать' (ср. Бщмхард 1996, 147, который привлекает также драв. *pat- 'спешить; дрожать, биться').
780|*peṭw-|0|просо|millet|peṭv-|||paṭ-|||peṭw, päṭw|||paṭ-|||ЭСКЯ 188, EWK 355. ?Ср. алт. *budVkV 'каша'.
781|*pićx-|0|хвоpост (сухой)|dry firewood|picx-|вспыльчивый|hot-tempered|pičx-, perčx-|хвоpост (сухой)|dry firewood||||pičx-|||Кл. Ср. алт. *bUč`V 'сохнуть (на огне, под солнцем)'.
782|*pimp-|0|Maishaar, Ohrläppchen|Maishaar, Ohrläppchen|pimp-il-|||pimp-|Maishaar|||||pimp-il-|борода ( < груз.?)|beard (< Georg.?)|EWK 357.
783|*pin-|545|собака|dog||||pin-|||||||||В МССHЯ 366 сравнивается с урал. *penV 'собака', драв. *peṇ- 'самка'.
784|*pipin-|0|разбухать, всходить (о жидкости при варке)|to expand, to rise (of boiling liquid)|pipin-|||pipin-|||||||||EWK 357 (*pin-).
785|*pir(ś)ṭw-|381|легкие|lungs|pilṭv- (Old Georg. pirṭv-)|||pirṭv-, pižv-|||ṗēršwd-a, ṗerešṭw-a|||purpu|||ЭСКЯ 189, EWK 358. Сближение с ПВК *pHVrṭwV 'какой-то внутренний орган' (NCED 871) см. Климов  1964, 189, Климов 1972, 226.
786|*pknar-|0|зевать|to yawn|mtknar- (Old Georg. pknar-, m-pknar-)|||kir-, kil-||||||mkor-, nkor-|||ЭСКЯ 134 (*mtknar-), EWK 365.
787|*plet- / plit-|0|тpепать(ся)|to scutch, tear|plet- / plit-|тpепаться, раздирать(ся)|to tear (intr.)||||pet- / pt-|тpепать (шеpсть)|to scutch|plat-|pазодpаться, pастеpзать|to tear (intr.)|Кл, EWK 358.
788|*pol-|1492|копыто (кpупное)|big hoof|pol-, pol-o|||polo|копыто, стопа|hoof, foot|pol|копыто|hoof|(m)polo, mpulo|икpа, нижняя часть ноги|calf|EWK 358-359, Климов 1994, 143-144 (сопоставляет с ПИЕ *pōl- `большой палец (ноги, pуки)'); ср. еще ПВК *bɨ̆młV̆ 'копыто, нога' (NCED 307).
789|*po(ś)tel-|0|лист растения|leaf of plant|potel-, potol-||||||pošdel-|вид растения (Festuca)|a k. of plant (Festuca)||||EWK 358.
790|*pr-|385|||u-pro 'more', pri-ad- 'many'||||||||||||В МССHЯ 348 основа сравнивается с ПИЕ *pəlu 'много', *plē- 'больше', алт. *p`ölV 'избыток,  лишнее', урал. *paljV 'много, густой' < ностр. *ṗalV.
791|*prcx-|379|ноготь; чесать|fingernail; to scratch|prcx-, prčx-, prcxen-|||bircx-; pucxon-, pucxol-|||cxa; cxēn-|||bucx-; pucxol-|||ЭСКЯ 191, EWK 63-64 (*brcx-). В ОСНЯ 3, 70-77 возводится к ностр. *parä  'ноготь' (ПИЕ *per-, *perst- ( = картв. prcx-), драв. *ver-aḷ, алт. *pVrV); этимология кажется вполне вероятной, хотя есть фонетические неясности.
792|*prec̣- / pric̣-|6|рвать(ся), драть|to tear|p(x)ric̣- / p(x)rec̣-|||buric̣-, biric̣-||||||brac̣- / bruc̣- / bric̣-|||ЭСКЯ 190, EWK 62 (*brec̣- / bric̣-). В ОСНЯ 2, 100-101 основа (с вопросом) сравнивается с ПИЕ *(s)per- 'рвать(ся), ломать', урал. *pärä 'разбивать', драв.  paṟi- / pari- 'рвать, ломать, расщеплять', алт. *p`uŕi 'дробить' [но ср. еще  алт. *p`iāre 'расщеплять'] < ностр. *p`äŕ[a]). Иллич-Свитыч (ibid.) считает, что -c̣ здесь суффиксальный; без суффикса приводится имер. par- 'наносить удар'.
793|*pruṭ-|0|фыркать|to snort|pruṭ-un-|||purṭ-in-|плевать|to spit||||purṭ-in-|||ЭСКЯ 190 (*prṭwin-), EWK 359-360. Климов (1994, 144-145) отмечает сходство с ПИЕ *preut(h)- "фыркать; прыгать", предполагая заимствование из "переднеазиатского арийского". Однако основа и в ПИЕ, и в ПК имеет явный звукоизобразительный характер, и вряд ли уместно говорить о заимствовании.
794|*ps-|37|мочиться|to urinate|ps-, psm-|||(p)s-, psəm-|||ps-, s-ēn-|||psim-|||ЭСКЯ 191, EWK 360-361. В ОСНЯ 2, 101-102 основа сравнивается с урал. *piSa- 'капать, моросить', драв. *picV- 'моросить, дождь', алт. *p`ose 'брызгать' < ностр. *p`isV-.
795|*pšal-|1677|хмель, ольха|hop; alder|pšal-a|хмель|hop|||||||pškvel-a|||ЭСКЯ 366, EWK 194. Ср. ПВК *č̣̲wɦĕli 'вид лиственного дерева': рефлекс *pšal- ожидался бы в нахском, хотя там этот корень не засвидетельствован.
796|*pšw-en- / pšwn-|1505|кpошить, pыхлить|to mince, crumble|pšv(en)-||||||puršgwīn|кpошить, pыхлить|to mince, crumble||||Кл, EWK 366. (Ср. *bez-).
797|*pu-|193|надуваться, подниматься|to expand, to rise|puw-|подниматься (о тесте); puwn- заквашивать (тесто)|to rise (of dough); puwn- 'to leaven (dough)'|pu-|кипеть; pu-n- 'кипятить'|to boil (intr.); pu-n- 'to boil (tr.)'|pw-|надуваться, подниматься; pwin-, püjn- надувать, заквашивать|to expand, rise; pwin-, püjn- 'to blow up, to leaven'|pu-; pun-|||ЭСКЯ 192, EWK 361. Ср. ностр. *ṗuɣV 'дуть' (ОСНЯ: ПИЕ *pu(H), ПТМ *pū-  (?), урал. *pū[ɣ]a); из картв. Иллич-Свитыч относит сюда же сван. pūl  'дуновение'.
798|*puc-|0|немного, маленький|a little; little|puc-un-a, puc-uc-|||pic-|||||||||EWK 364.
799|*puć-|966|клятва, клясться|oath, to swear|puc-|клясться, pic- 'клятва'|to swear, pic- 'oath'|puč-||||||puč-, purč-|||ЭСКЯ 193, EWK 364-365. ? Ср. алт. *p`ač`a 'услуга, благословение'.
800|*puɣ-|0|дупло, полость|hollow in tree, hollow|puɣ-ur-o|||puɣ-u|Maulwurf ( > гур. puɣu)|Maulwurf ( > Gur. puɣu)|||||||EWK 364.
801|*puḳ-|0|быть пустым, делать пустым, пустеть|to be empty, to empty|puḳ-||||||puḳ-, pḳw-||||||EWK 362.
802|*pupul-|0|нарыв|boil|pupul-|прыщ|pimple|pupul-|нарыв, прыщ|boil, pimple||||pupul-, pupu(r)-|||ЭСКЯ 193, EWK 362 (*pul-). Экспрессивная основа; Климов (ibid.) сопоставляет с аналогичным ПИЕ *pup- (IEW 848).
803|*pur-|308|греть, нагревать|to warm|pur-||||||pir-, pər-, pr-||||||EWK 362. Ср. алт. *p`ore, ПИЕ *prē-.
804|*pur-|377|корова, буйволица|cow, female buffalo|pur-|||puǯ-|||pur, pür, pirw|||puǯ-|||ЭСКЯ 192, EWK 363. Ср. ПИЕ *por- 'теленок', алт. *bäŕ[i] 'теленок, ягненок', драв. *pōr- 'бык, буйвол'. Ср. Бомхард 1996, 148.
805|*purć-|0|шелуха, листва|husk, foliage|purcel-|лист(ва)|leaf, foliage|purča|мякина, шелуха|chaff, husk||||purčumale|pод соpной тpавы (хоп.)|a k. of weed (Khop.)|Кл, EWK 363-364.
806|*purč-|0|шептать|to whisper|purč-ul-, puč-un-|||purck-in||||||purčol-|||ЭСКЯ 192, EWK 363.
807|*px-|301|теплый|warm|za-px-ul-|лето|summer||||lu-px-w 'summer', mē-px-e 'clear sky'|||ma-px-a 'clear sky, good weather'|||ЭСКЯ 133, 194, EWK 366-367. Ср. ПИЕ *peHw- 'огонь', алт. *p`ige 'горячий',  урал. *pīwe 'горячий,  теплый' < ностр. *ṗiɣwV (МССНЯ 352; аналогичная  этимология, с привлечением еще драв. *pū- 'искра, горящие уголья' дается в Bomhard 1996, 147). Сравнение с ПЗК  *px(a)- 'теплый', предложенное в [Климов  1969, 290] следует отклонить: ПЗК  форма восстанавливается как *pəλV 'теплый, варить' < ПСК  *=VrλĂn 'варить'  (см. NCED 1030); сомнительно и сближение с ПВК материалом (*=HēwꭓV(n)   'нагреваться', см. NCED 563).
808|*pxa-|421|хрящ, остов|cartilage, carcass|pxa-|хрящ, ость (злака)|cartilage, beard (of spike)|xa-|хрящ змеи, чешуя рыбы|snake cartilage, fish scale|pxa|кость рыбы, змееныш|fish bone, young of snake|mxa-|кость рыбы|fish bone|ЭСКЯ 194, EWK 367. В МССHЯ 352-353 основа сравнивается с ПИЕ *(s)peHi- 'острие, острый конец',  ур. *pȳ[ɣ]V 'кремень, острый камень', алт. *piubu ( < *piuɣu) 'точить' < ностр. *ṗi[H]V.  Сравнение с ПЗК *pq(a)- 'кость, скелет' (см. ЭСКЯ ibid., Климов 1969) следует отвергнуть:  последнее восстанавливается в виде *bəq:Iʷə и сравнивается с ПВК *bŏnq̲̇ō 'спина' (см. NCED 310).
809|*pxaḳ-|0|стучать, шуметь|to knock, make noise|pxaḳ-an-, pxaḳ-un-||||||pxəḳ-ən-, pxḳ-ən-||||||EWK 367.
810|*pxeḳ- / pxiḳ-|0|скоблить|to scrape|pxeḳ- / pxiḳ-||||||pxič̣- (cf. also pxiḳ 'bald spot')||||||Кл. Ср. алт. *p`iāk`V 'тереть, полировать'.
811|*pxin-|444|орудие для вязания, тканья или прядения|instrument for weaving or plaiting|pxin- (Khevs.)|||||||||pxen-, mxen-|веретено|spindle|EWK 367.
812|*pxoṭ-|0|разрывать (землю)|to dig (earth)|pxoṭ-n-||||||pxṭ-, pxəṭ-||||||EWK 368.
813|*pxuć̣-|1479|собирать складками, морщить|to fold, to wrinkle|pxuc̣-|||xuč̣-|||||||||EWK 368.
814|*ṗRṭq̇el|239|плоский|flat|brṭq̇el-, ṗrṭq̇el-|плоский|flat|birṭq̇a|плоский (и окpуглый); li-ṗarṭq̇ia плоский|flat and round; li-ṗarṭq̇ia 'flat'|||||||Кл, EWK 62-63. G dial. ṗṭq̇el, ṭq̇rṗel-.  Интересно формальное тождество с ПИЕ  *plH-tu- 'широкий, плоский'. ПИЕ *pelH- в  МССНЯ 372 сопоставляется с алт.  *pilä- 'равнина, открытая местность' < ПН  *ṗilV. Следует скорее привлекать  алт. *p`āla 'равнина' и восстанавливать ПН  *p`alHV, *p`alHV-tV. Заметим, что в картвельских языках имеется еще основа *parto- 'широкий' (груз., мегр., лаз.), скорее всего, заимствованная из индоиранского (см. Климов 1994, 196 с литературой).
815|*ṗaɣw-|0|выступающая часть тела (горб, пузо)|protruding part of body (hump, belly)|ṗaɣv-|пузо|belly|ṗuɣu, ṗuxu|горб|hump|||||||Кл, EWK 272.
816|*ṗaṗ-|652|дед|grandfather|ṗaṗ-, ṗaṗa|||ṗaṗu||||||ṗaṗul-, ṗaṗu|||ЭСКЯ 152, EWK 271. Детское слово.
817|*ṗeč̣-|0|мигать, моpгать|to blink, wink|ṗač-un- < *ṗeč̣- (cf. ṭax-un- < ṭex-)|||ṗač̣ḳ(v)-|||||||||Кл
818|*ṗenṭ-|0|взбивать, выбивать, трепать шерсть|to churn, beat out, to comb wool|ṗenṭ-|||ṗinṭ-|||ṗēnṭ-|||ṗinṭ-|||Кл, EWK 272.
819|*ṗer-|0|пена|foam|ṗer-|пена (из пасти животных)|foam (in animal's mouth)|? ṗerož- / žweṗur-|пена|foam|ṗēr-|пена (из пасти животных)|foam (in animal's mouth)|zoɣa-ṗaǯ-|пемза|pumice|ЭСКЯ 152, EWK 272-273.
820|*ṗerc̣ḳ- / ṗRc̣ḳ-|0|тpескаться, pасщеплять|to split, crack|na-ṗerc̣k-al-|отщеп, осколок|a crack, a split|||||||no-ṗinc̣ḳale|отщеп, осколок|a crack, a split|Доп., Кл.
821|*ṗerṗer- (/*perpel-)|1498|бабочка|butterfly|ṗeṗel-|||parpal(ia)-, papralia-|||ṗärṗold, ṗärṗänd|||parpal-|||ЭСКЯ 153, EWK 273. Экспрессивная редуплицированная основа (ср. ПВК *părVpăłV, слав. *perperъka etc.).
822|*ṗew-|0|находить, обpетать|to find, acquire|ṗov-|находить, пpиобpетать|to find, acquire|ṗa-l-|||||||||Кл; Cf. *ṭew-; *xwew-.
823|*ṗilenʒ-|0|медь|copper|sṗilenʒ-|||linǯ-|||||||||ЭСКЯ 153. Повидимому, семитизм (ср. араб. filiẓ 'металл, белая медь'); выведение из ПИЕ *(s)plend-  'сверкать' (Климов 1994, 133) сомнительно как семантически (корень не выражает значения "металл"  ни в одном из языков-потомков), так и фонетически (*-d > -ʒ?).
824|*ṗir-|215|край|edge|ṗir-|рот, лицо, край|mouth, face, edge|ṗiǯ-|||ṗil-, bil-|||ṗiǯ-|||ЭСКЯ 153, EWK 273-274. В МССНЯ 345 сравнивается с алт. *p`eri 'нижний край', урал. *perä 'край', драв. *piṟ 'задний край' < ностр. *ṗerV.
825|*ṗir-|0|отбивать косу|to whet the scythe|ṗir-|||ṗir-|||||||||ЭСКЯ 154, EWK 273. Считается производным от *ṗir- 'край'; однако Иллич-Свитыч (МССНЯ 330) сопоставляет (как отдельный корень) с ПИЕ *per-, *perg- 'бить, резать' < ностр. *ṗVrV.
826|*ṗirw-|0|первый, передний|first, foremost|ṗirv-el-|первый; др.-груз. ṗir-mšo- ( < *ṗirv-mšo-) 'первородный'|first; Old Georg. ṗir-mšo- (< *ṗirv-mšo-) 'firstborn'|ṗrivel- ( < Georg.?)|первый|first|||||||Климов (1994, 188) считает заимствованием из индоевропейского *pr̥̄u̯o-. Не исключено, однако, родство на ностратическом уровне: ср. еще алт. *biri 'один', драв. *veṟ- 'только, один'. В картв. и ИЕ вероятна контаминация с другим корнем, ностр. *ṗirV 'край'.
827|*ṗox-|967|жир|fat|ṗox- 'to fatten', ṗox-il- 'fat'||||||ṗox-il|свиной жир|pork fat||||EWK 274. Ср. ПИЕ *peiə- 'жирный' (IEW 793).
828|*ṗruć̣-|0|издавать звук (губами)|to make a sound (with the lips)|ṗruc̣-un-|||ṗurč̣-in-, burč̣-in-|||||||||ЭСКЯ 154, EWK 274.
829|*ṗu-|190|рубить, сечь|to cut, hack|ṗ-||||||nā-ṗu|кусок|piece||||ЭСКЯ 154, EWK 274. В МССНЯ 362 сравнивается с ПИЕ *pewə- 'резать, бить', алт. *piubu 'точить, пилить'.
