NUMBER|PROTO|PRNUM|MEANING|AVA|AVC|AND|AKV|CHM|TND|KRT|BTL|BGV|GDB|COMMENT
864|*rVdV|1450|whey|ridí|ridí|||||||||    Av. paradigm B~C (gen. \Irodó-l\i).
865|*Hirc̣:V- / *c̣:u(r)-|1451|1 to settle (of liquids) 2 to strain, filter,press|c̣:u- 2||c̣:ur-d- 2|||hec:- 1|erc̣:- 1|||c:ur- 2|    The PA stem I \I*Hirc̣:V-\i is intransitive, stem II \I*c̣:u(r\i)- - transitive. In Avar, besides \Ic̣:u-\i 'to strain', cf. also \Ic̣:a-\i 'to pull; to sip, to smoke' (and a frequentative form \Ic̣:ac̣:á-\i id. = Chad. \Ic̣uc̣ú-\i 'to suck') - which may be a contamination of this root and PA \I*c̣:a-\i 'to drink' q.v. Stem I is reflected in Av. as \I=ec̣:-\i 'to drip; be strained, filtered'.     The verbal root is the basis for several nominal derivates:     1) PA \I*Hirc̣:i\i 'whey' (*'settled, strained liquid'): Cham. \Ieṣ\i (Gig. \Ihec̣:i\i), Tind. \Ihec:a,\i Kar. \Ierc̣:e,\i Bagv. \Ierc̣:,\i God. \Ierc:i\i (not clear is the And. form \IGerc̣:i\i - the first consonant is quite irregular);     2) \I*c̣:urV\i > Av. \Ic̣:urá\i 'filter'.     Cf., perhaps, also Av. \Ic̣:álḳ-\i 'to sift' (Chad. \Ic̣aḳ-\i), \Ic̣:alḳú\i 'sieve' (Chad. \Ic̣áḳur\i), which may be a further derivate with a -ḳ-suffix (although there are phonetic problems with this hypothesis).
866|*ʔimʔV|1452|1 moisture 2 whey 3 rennet infusion|maħá 1|||ĩʔi / ĩʔĩ 2|ēʔa (Bokarev) 3||||||    The Cham. form (cited from Bokarev) is most probably a misspelling of \I*ẽʔa.\i Av. \Imaħá\i regularly < \I*ʔimħá.\i Cf. perhaps also Tind. \Ihuna-\i 'liquid' ( < \I*ʔʷinha-\i ?).     The root also functions as a verb: Av. \I=iʔVn-\i  (Chad. \I=iʕVn-\i) 'to thaw, melt, dissolve', And. \I=iʔun-,\i Akhv. \I=iʔun-\i id.
867|*š:arV ( ~ -o-)|1453|1 whey 2 buttermilk 3 sour milk|š:ar 1||||s:ara 3|š:ari 1 (Leks.)|š:are 1|š:ara 1||š:ari 2|    Akhv. š:ari 'sour milk' (MSU recording) must be a loan - either from Av., or from some other And. language (otherwise s:- would be expected).
868|*toto|365|1 dust 2 foam 3 saliva|||toto 3|tata 1|tata 2 (Gig.)||||||
869|*ƛorč̣:u|367|voice, shout|||λoč̣:u|ƛãc̣:o|λaṣʷ|λač:u|λarč̣:u|||λač:u|    Cf. also Akhv. Tseg., Tlan. \Iλac̣:o,\i Ratl. \Iƛarc̣:o\i  (in N.-Akhv. Magomedbekova has an erroneous recording \Iƛ:ac̣:u\i), Cham. Gig. \Iλac̣:u,\i Kar. Tok. \Iharč̣:u,\i God. Zib. \Iλarč:u.\i
870|*r-VHVn-|32|1 to feed on (smth.) 2 fat|rehn- 1|reh 2|||||||||    The Chad. form is a verbal derivate (with loss of *-Vn); cf. also Av. lit. \Irehén\i 'nutritiousness', \Irehen\i bugeb 'nutritious, nourishing'.
871|*ḳambi / *ḳʷabi|1455|1 sour cream 2 butter 3 cheese|ḳamá 2||č̣ami 3|ḳʷabi 1|ḳʷab 1|ḳʷabi 1|||||    Cf. also Akhv. Ratl. \Iḳʷabi,\i Tseg. \Iḳobo,\i Tlan. \Iḳo.\i
872|*ƛ̣ir(H)V|1457|sour cream|ṭórax|ṭoráx|lel||||||||    Cf. also And. (Khaidakov) \Ilʔel\i (pointing to *ƛ̣-);-l is obviously a result of assimilation ( < *-r). The Av. form may be analysed as "top" (\Iṭo-,\i cf. \Iṭa-\i 'up, above' q.v.) + \Irax\i "milk"; this is probably a folk etymology (which had, however, influenced the expected form \I*ṭor\i or \I*ṭora\i by adding a secondary -x).
873|*=it- / *tʷir-|1458|1 to curdle 2 to turn sour 3 to rot|=et- 1|=etn- 1|=etit- 2||ta-n- 3|tor-d- 3|=etit- 2 (Tok.)||||    The Av.-Andian languages reflect basically two stems:     1) "stem I" \I*=it-,\i sometimes with reduplication \I*=itit-;\i     2) "stem II" \I*tʷir-:\i besides Tind. \Itor-d-\i this stem is also reflected in Av. \Itur-,\i And. \Itur-d-,\i Kar. \Itor-\i 'to rot'.     As seen from external evidence, the root originally ended in -r-; therefore, occasional forms in -n (Av. Chad. \I=etn-,\i Cham. \Itan-\i) must be secondary.     A derivate from this verbal root is \I*ʔonto\i ( ~ a) (probably < \I*ʔortV-n\i with a nasal metathesis and Ablaut): cf. Tind. \Iata\i 'sour milk', Bagv. Kvan. \Ianta,\i Tlond. \Iata\i id., Cham. Gig. \Ianta\i 'sour cream'. Another derivate is reflected in Avar: Av. \Ibetá\i 'sour milk'.
874|*ʔinso|1460|curds, cottage cheese|nísu|níšu (ħan)|iso|ĩša|isa / ĩsa|insa|esa|ĩsa|ʕesa (Tlis.)|isa / ĩsa|    Av. paradigm B~C (gen. \Inisú-l/\i \Inis-dál\i). Cf. also Akhv. Tseg., Tlan., Ratl. \Iiša\i (the MSU records have iša also in North. Akhv.), Kar. Arch., Rach. \Iʕesa,\i Tok. \Iʕisa.\i     Avar has a usual metathesis (\Inisu\i < \I*ʔinsu\i); Av. > Arch. \Inoso\i ( < \I*niso\i with regular vowel assimilation) 'curds, cottage cheese'.
875|*=irc̣:Vn-|374|blue|||=erc̣:om (Khaidakov)||||||||    Attested only in And., with possible external parallels.
876|*gʷirV ( ~ gu-)|379|1 circle 2 wheel|gor 1|||goro 1|||guri 2 (Tok.)||||    Av. paradigm C~A (pl. \Igóra-l\i). Cf. also Av. \Igoró\i ( \Igarí-l,\i \Igará-l\i) 'small ball; hail'; \Igír-\i 'to roll'; Kar. Tok. \Iguri-l-\i 'to roll, whirl'.
877|*karaki|354|cake|||karaki||||||||    Attested only in And., with possible external parallels.
878|*ƛ̣inHi|1462|malt|ṭi|ṭi|linni|ƛ̣ini|ī̃|ī̃|ƛ̣ĩ||ĩ (Tlis.)|niʔi|    Av. paradigm A (gen. \Iṭí-dul;\i but Chad. \Iṭi-dúl\i). Cf. also Av. Obokh. \Ii,\i Gid. \Iƛ̣i,\i And. (Gudava) \Iƛ̣inni,\i Akhv. Tseg. \Iṭin,\i Tlan. \Iƛ̣imi,\i Ratl. \Iƛ̣in,\i Cham. Gig. \Iĩʔĩ,\i Kar. Archo. \Iĳĩ,\i Tok. \Iĩhi,\i Chab. \Iṭi.\i
879|*miƛ̣:a ( ~ -o)|375|a hunk of pressed oat flour||||||||||miƛ̣:a|    Attested only in God., but having probable external parallels.
880|*ƛ̣iꭓ:ʷi / *ꭓ:ʷiƛ̣i|542|flour made of young sprouts, oat flour|ṭeꭓ:|ṭeꭓ|||ꭓ:ol|ꭓ:oli|||||    Av. paradigm B~C (gen. \Iṭoꭓ:ó-l\i). Cf. also Av. Obokh. \Ieꭓ:\i (proving that Av. ṭ < *ƛ̣).
881|*gʷinV|1463|1 oat flour 2 roasted flour|||gun 1||guni (Gig.) 1||goni 2|||guni 1|
882|*čVdV|1466|bread|čed|čed|||||||||    Av. paradigm C (\Ičadí-l,\i \Ičáda-l\i).
883|*hingʷVra|1467|1 bread 2 stuffed bread 3 small round bread|gurgá 3||ingura 2|ĩgʷara 1|||hingor 1||||    Av. paradigm B (gen. \Igurgí-l\i). Cf. also Akhv. Tseg., Tlan. \Iingoro,\i Ratl. \Iungora\i 'bread'. Av. \Igurgá\i > Lak. \Igurga\i 'round bread'. In Av. the root may have been influenced by \Igurgína-b\i 'round' (q.v.), but the Andian parallels (with the specific correspondence Av. g- : PA *h-) show that this is a secondary coincidence.
884|*rizi|1468|bread|||||rezi (Gig.)||||||    Attested only in Cham., but having probable external parallels. For the meaning 'bread' cf. Rut. \Ilɨzɨd\i 'dough', going back to the same EC root (*'clay' > 'dough' > 'bread').
885|*mVkVrV|1469|thin flat cake|makári||||||||||
886|*suma|1472|1 straw 2 stubble|sum 1|šum 2|suma (Leksika) 1|šuma 1||sumi-ƛ:a 2||||suma 1|
887|*-ontV- ( /-intV-)|390|1 soft 2 liquid 3 wet 4 to warm up (a liquid)|||b-itom 3|tanta-b 1 (Tseg.)|tantu 2 (Gig.)|anta- 4||||tantu 2|    Most forms are reduplicated; cf. also Cham. \Iitã-\i 'to thaw, melt'; Tind. \Ititin-\i 'to drizzle'.
888|*q̇ʷam(H)a (~q̇,ʔ-,o)|386|roasted grain|||||ama (Gig.)||||||    Attested only in Cham., with a possible Darg. parallel.
889|*ꭓ:inḳV|391|dumpling (khinkal)|ꭓ:inḳ|ꭓenḳ||ꭓ:ĩḳi|ꭓ:inč̣|ꭓ:inḳ́a|ꭓ:inḳa|ꭓ:inḳi|ꭓ:inč̣a (Tlis.)||    Av. paradigm B (\Iꭓ:inḳí-l,\i \Iꭓ:inḳá-l,\i Chad. \Iꭓinḳí-l,\i \Iꭓanḳá-l/ꭓenḳá-l\i). The Avar word (with the typical Av. plural ending -al) was borrowed by many other Caucasian languages: cf. Gunz. \Iꭓanḳal,\i Ag., Tsakh., Kryz. \Iꭓinḳal,\i Bud. \Iħinḳal,\i Ud. \Iꭓenq:al,\i Khin. \Iꭓɨnḳal,\i Chech., Ing. \Iꭓingal,\i Ad. \Iꭓənč̣́əL,\i Kab. \Iꭓanč̣aL,\i Abaz. \Iꭓənḳ́al,\i Georg. \Iꭓinḳali.\i Some Tsezian languages have borrowed also the singular form: Bezht. (Tlad.) \Iꭓinḳ\i ( < Av.), Inkh. \Iꭓinḳe\i ( < Tind.). Darg. (Ak. \Iꭓinḳi\i etc.) and Lak. (\Iꭓ:unḳ\i) forms are also probably borrowed from Avar (or Lezghian) sources.
890|*midV|392|1 a k. of beverage (made of millet) 2 beer|||medi 1|||med 2|||mer (Tlond.) 2|medi 1|
891|*sʷVrV|1474|alum; leavened dough|surá||||||||||    Av. paradigm B (gen. \Isurá-dul\i).
892|*gʷirdV|400|1 shirt 2 dress|gordé 1|gurdé 1|gurdo 2 (Khaidakov)||||gordi 2||||    Av. paradigm C (plur. \Igórda-l;\i but Chad. B: \Igurdí-l,\i \Igurdá-l\i / \Igurd-bí\i).
893|*ḳačV ( ~ -o-)|1476|1 sheepskin coat 2 shirt|ḳač 1|ḳač 1||ḳači 1|ḳač 2 (Gad.)||ḳača 1||||    Av. Chad. paradigm C (\Iḳičí-l,\i \Iḳáča-l\i). Cham. (U.-Gakv.) \Iḳač\i and Tind. \Iḳači\i 'shirt' must be borrowed from some other Andian dialects (regularly we would expect \Iḳaš\i in Cham. and \Iḳ́ači\i in Tind.).
894|*q̇:oru ( ~ -a-)|1479|top of (felt) boot||||||q̇:aru|||||    Attested only in Tind., but having probable external parallels.
895|*ḳVb- / *=iḳʷ(Vn)-|405|1 to drive, urge 2 to direct; to turn, return||||ḳab- (Ratl.) 1|=eḳʷn- 2||||||    Akhvakh reflects stem II \I*ḳV-b-,\i Chamalal - stem I \I*=iḳʷ-\i with a nasal suffix.
896|*ḳanzi|699|kerchief|ḳaz|ḳaž|ḳazi|ḳãzi|ḳanz||ḳaze|||ḳ́azi|    Av. paradigm A~C (pl. \Iḳáza-l\i), but Chad. B (\Iḳiží-l,\i \Iḳažá-l\i). Some Andian forms (without a nasal or nasalisation) may be borrowed from Avar; a certain borrowing from Av. or some other Andian dialect is Tind. \Iḳazi\i (regularly \Iḳ́azi\i would be expected). In its turn, Tind. > Inkh. \Iḳazi\i id. Av. \Iḳaz\i > Bezht., Gunz., Arch. \Iḳaz.\i
897|*kʷo-λala ( ~ o)|1481|1 mitten 2 sleeve|||kʷoλir 1|kʷaλala 1||||||kʷaλala 2|    A compound with \I*kʷo-\i 'hand' q.v.
898|*roƛ̣:i-čʷolV|1482|belt, girdle|račél|ráƛ̣ič|roƛ̣:očul|raƛ̣:iča|jačal / jaƛ̣:čal||račʷal||||    Av. paradigm B (\Iračáli-l/račlí-l,\i \Iračála-bi;\i but Chad. \Iráƛ̣či-l,\i \Iráƛ̣ča-l\i). Cf. also Cham. Gig. \Iračal,\i Akhv. Ratl. \Iraƛ̣:ičali.\i The word is a compound; the second component \I*-čʷolV\i is not quite clear, but may be the same morpheme as \I*č̣ʷoli\i 'leather strip, belt' q.v. (with an early dissimilation *č̣ʷ > čʷ after -ƛ̣:-); the other possibility would be linking this root with Darg. Ak. \IčaIl\i 'braid, lace'.
899|*rižʷa ( ~ -o)|1483|sash, girdle|rížu|||||rižʷa|rižʷa (Anch.)||||    Av. paradigm A (\Irížu-dul,\i \Iríža-bi\i). Tind. > Inkh. \Irižʷa,\i Khvarsh. \Irižo\i id.
900|*tuc̣:a ( ~ -o)|1484|1 buckle 2 button|||||tuṣa 1||||tuc̣:a 2||    Cf. also Cham. Gig. \Ituc̣:a\i 'buckle'.
901|*q̇ʷVṭV-lV|1487|skein, hank, clew|||||||q̇:oṭulu (Tok.)||||    Isolated in Kar., but having probable external parallels.
902|*c̣apa-l ( ~ o)|1488|button|||||c̣apal (Gig.)||||||    Attested only in Cham., but having probable external parallels.
903|*ḳič̣V|1489|1 hook 2 hinge, buckle 3 noose 4 loop|ḳič̣ 1,3||||ḳič̣ʷ 2|||||ḳič̣i 4|    Cf. also Av. \Iḳič̣-\i 'to bend', God. \Iḳič̣-ĩ\i id. A quite strange form is Av. (Uslar) \Ikuc\i 'metallic button' - is it a dialectal form of the same root, modified under influence of \Ikuc\i 'shape'?
904|*tVḳV|1490|loop (made of a rope)||tiḳ|||||||||    Av. paradigm C (\Itiḳí-l,\i \Itíḳa-l\i).
905|*ṭVHV|1491|button|ṭah||||||||||    The form is cited from the Russ.-Av. dictionary, thus the accent paradigm is unknown. Cf. also Av. Andal. \Iṭe\i id. (Микаилов 1959)
906|*kic̣u|1492|1 loop 2 yoke-tape 3 buckle, clasp 4 snare, noose|||kic̣u 1|kič̣o 1|čizu 4 (Gig.)|ḱic̣u 1,3,4|kec̣u 1||kec̣u 1|kic̣u 2|    In Tind. the word also means 'tongs, pincers': this is obviously a result of merger with PA \I*ʁimc̣V\i 'tongs' q.v. Tind. \Iḱic̣u\i > Inkh. \Ikic̣u\i 'tongs'; \Ikic̣\i 'snare, trap' (either chronologically different loans, or loans from different dialects).
907|*bVṭV|1494|bow; spring|buṭ|č̣ór-buṭ|||||||||    Av. paradigm A (gen. \Ibúṭi-l\i). Av. \Ič̣ór-buṭ\i (the same in literary Av.) is a compound with \Ič̣or\i 'arrow' q.v. Av. > And. \Ič̣orbuṭi,\i Arch. \Ič̣orbuṭ\i 'bow'.
908|*xʷVc̣:V|415|skin (for making soles)|xʷac̣:á||||||||||    Av. paradigm B (gen. \Ixʷac̣:í-l\i).
909|*č̣agV-|420|alive|č̣ágo-b||||||č̣agu-s:||||
910|*=iƛ̣:Vn-|1495|1 to put on (shoes, footwear, trousers) 2 stocking||reƛ̣é- 1|=iƛ̣:in- 1|iƛ̣:e-l 2 (Tseg.)|=iƛ̣:n- 1|hinƛ̣:- 1|||||    Initial laryngeal in Tind. is not quite clear (all other languages have changing class prefixes - although in Av. and And. mostly the 4th class prefix r- is used). The Akhv. form is derived, with a productive -l-suffix; cf. also Av. (Andal.) \Ihunƛ̣:\i 'sock, stocking'.
911|*s:akʷV-r|1496|top of boot|||s:akur||||||||    Isolated in And., with a possible Rut. parallel.
912|*-iḳʷVn- / *ḳʷVn-|422|1 to burn (intr.), to catch fire 2 to set on fire|réḳn- 1|reḳé- 2||ḳon- 2||||||ḳ́an-aꭓ:-i 1|    Av. reflects stem I (with a demorphologized class prefix); Andian languages reflect stem II.
913|*maču(jV) ( ~ -o-)|1497|shoe, boot|mačú|||mačuja|mač|mači|||||    Av. paradigm B (pl. \Imačú-jal\i). Tind. \Imači\i > Inkh. \Imači\i id.
914|*ḳorV ( ~ -a-)|1499|1 ball 2 dumpling|||||||ḳaru (Anch.) 1|||ḳ́ari 2|
915|*mingʷa|1500|spindle|mergó|mérgu|migʷa|magʷa|minna|muga|mingʷa|murgʷa (Leksika)|mingʷa|mingʷa|    Av. paradigm B (\Imergí-l,\i \Imergá-l;\i but Chad. A: \Imérgi-l,\i \Imérgi-jal\i). Cf. also Cham. Gig. \Imirga.\i
916|*raꭓa ( ~ o)|1501|lock|||||||raꭓe (Tok.)||||    Attested only in Kar., cf. also Kar. Archo. \Iraꭓaj,\i Anch. \Iḳula-laꭓa\i (with assimilation r > l after \Iḳula-\i 'key').
917|žo (Av.)|2306|thing|žo|žo|||||||||    Accent paradigm unclear (gen. \Ižo-l,\i pl. \Iža-l\i). Cf. also \Ižá-ni-b,\i Chad. \Ižá-nu\i 'inside' (*'in the thing'). Av. > Gin., Gunz. \Ižo,\i Bezht. (Tlad., Khosh.) \Ižö.\i
918|*[h]idV|2297|1 thing 2 what (interrog. pronoun)|||||ed 2|eja 1, e-la 2|hede-la 1,hed 2||||    Cf. also a tabooistic use in Tind. \Ieja\i 'penis'. The semantic correlation 'thing' - 'what' (interrog. pronoun) is also observed elsewhere, cf. e.g. PN \I*fu-(n)\i 'what' - \I*fu-ma\i 'thing' etc.     Other Andian languages reflect a similar stem: PA \I*dan(HV)\i 'thing' - which may be actually a later contraction < \I*Hida-nV\i (with a frequent nasal suffix). Cf. And. \Idan,\i Cham. \Idā̃,\i Kar. Tok. \Ida\i (plur. \Idan-dibi\i), God. \Idãji\i 'thing'.
919|*q̇:iƛin(dV)|1502|1 sack 2 pillow|q̇:andáλo 1,2|q̇anátru 1||q̇:ẽƛe 1,2|q̇:ehĩ 1||q̇:eλin 1,2||q̇:ehen 1,2|q̇:eλen 1|    Cf. also Akhv. Ratl. \Iq̇:eƛen,\i Cham. Gig. \Iq̇:ehan.\i The Av. forms go back to \I*q̇:VndVƛV\i < \I*q̇:VƛVn-dV\i).
920|*ʔiqan ( ~ -ꭓ-)|1477|sack, pillow||||||eꭓan|||||    Attested only in Tindi; a loan from Tsezian languages is not excluded.
921|*ʔinkʷV- / *kʷVnV-r-|432|right|kʷarána-b|kurána-b|||||inku-doƛ̣:||||    Cf. also Kar. Anch. \Iinku-baƛ:a\i id.
922|*q̇omi|1503|1 trough 2 a round wooden trough|||q̇om 1 (Khaidakov)|||||||ami 2|
923|*ṭams:a|1504|carpet|ṭáns:a||ṭams:a|ṭãs:a|ṭans:a|ṭams:(ʷ)a|||||    Av. paradigm A (gen. \Iṭáns:a-dul\i). Tind. (or Cham.) > Inkh. \Iṭansa\i id.
924|*kars:am ( ~ -o-)|1505|door-mat, mattress||||kãs:a|||||||    Cf. also Akhv. Tlan., Ratl. \Ikars:am.\i Quite enigmatic is Kar. \Iʁʷarza\i 'mattress' (correspondence is irregular).
925|*kVṭV|1514|scoop||||kiṭi|||||||    Attested only in Akhv., but having probable external parallels.
926|*ʔotu ( ~ -a-)|1507|stool||||||atu|||||    Attested only in Tind., but having probable external parallels.
927|*ḳiṭum|1509|trunk, box||ḳíṭum|||||||||    Av. > Arch. \Iḳinṭum\i id. Old Avar loanwords are PTsKh \I*ḳɨṭ[u]m\i 'trunk' (Gin. \Iḳeṭun,\i Tsez. \Iḳemoṭ\i / \Iḳemeṭ,\i Inkh. \Iḳɨṭomol\i = Av. pl. \Iḳíṭumal\i) and  Bezht. \Iṭiḳaban\i (with metathesis and shift of nasalisation < \I*ḳiṭamal\i = Inkh. \Iḳɨṭomol,\i see above).
928|*q̇uni ( ~ ʔ-)|1510|corn-bin|||||un|uni|||||    Cf. also Cham. Gad. \Iunu\i id.
929|*roq̇o|1511|1 earthenware pitcher 2 vessels, plates and dishes|raʕ 1|raʕ 1|roq̇o (Tsertsvadze) 1|raq̇a 2||rā-la 2|||||    Av. paradigm C (plur. \Iráʕa-l;\i Chad. \Iraʕí-l\i / \Iruʕé-l,\i \Iráʕa-l\i). Cf. also Akhv. Tseg. \Iraʔa,\i Kar. Tok. \Iraʕa\i 'pitcher'.
930|*q:ʷiṭV|1512|a wooden bowl, plate||||q:oṭo|||||||    Magomedbekova writes qoṭo (vs. MSU: \Iq:oṭo\i), but this must be a misspelling: in the case of weak *q the Tseg. and Tlan. dialects would have \Iꭓoṭo,\i but they also have an affricate (\Iq:oṭo\i). The word is attested only in Akhv., but has probable external parallels. Of Andian origin is Gunz. \Iquṭe\i 'scoop'.
931|*q:apa ( ~ o)|1515|pot|q:abá||||||||q:apa||    Av. \Iq:abá\i can be a loanword from Nakh; however, the Bagv. word is probably genuine (-p- can not be explained otherwise). Av. (or Nakh) > And., Inkh. \Iqaba\i 'jar'.
932|*q̇ʷišV ( ~ -s-)|1517|spade, shovel||||q̇oš:i|||||||    Strong -š:- in Akhvakh is rather strange, because normally both *š: and *s: > Akhv. s:; therefore, it may be a misspelling (although both Magomedbekova and the MSU recordings spell -š:-).
933|*mic̣:ʷi / *c̣:ʷimi|1518|jar, pot||||c̣:uni / c̣:ũ|||muc̣:i (Tok.)||||    In Akhv. a variant \Ic̣:ʷani\i is also attested. In fact, the variant \Ic̣:uni\i may reflect another PA root (see \I*c̣:umV-\i 'pointed'), because the MSU records give for this word a meaning 'spout of a jar' (not 'jar').
934|*ʔabiḳV ( ~ -o-)|1520|spoon|||||abiḳ / abiḳʷ|abiḳ́a|||||    Cf. also Cham. Gig. \Iabiḳ.\i Tind. or Cham. > Inkh. \Iabiḳ\i id.
935|*HVs:V|1524|1 wooden bar, axle, crow-bar 2 staff|ħos: 1|ħus 2|||||||||    Av. Chad. paradigm B (\Iħosó-l,\i \Iħasá-l\i).
936|*λanV ( ~ -o-)|1525|pitchfork|λen|ten||λanu / λano|||||||    Av. paradigm C (\Iλaní-l,\i \Iλún-dul;\i but Chad. B: \Itonó-l,\i \Iten-bí\i). Cf. also Akhv. Tseg., Tlan., Ratl. \Iλanu\i id.
937|*bisun|1526|knife|nus|nuš|besun|mešu|besũ|besun|besun|besun|besun|besun|    Av. paradigm C (\Inusó-l,\i \Inúsa-l,\i Chad. \Inošó-l,\i \Inúša-l\i). Cf. also Akhv. Tseg., Tlan. \Ibušun,\i Ratl. \Ibešun,\i Cham. Gig. \Ibesun.\i
938|*č̣VrV|1528|arrow, ramrod|č̣or|č̣or|||||||||    Av. paradigm A (gen. \Ič̣óri-l\i); but Chad. C (\Ič̣oró-l,\i \Ič̣óra-l\i). Av. > Arch. \Ič̣or\i 'arrow'.
939|*=i(r)s:ʷV- / *s:ʷV-|1530|1 to cut 2 cut into small parts 3 cut lengthwise|s:u- 1, =us:- 2|sĳsí-n q̇uṭ- 2|||=is:ʷṼ- 3|=us:ĩ- 3|=urs:an- 2||||    Cf. also Cham. Gig. \I=us:Ṽ-,\i Kar. Arch., Masht., Chab. \I=is:ʷ-\i (NB: without the secondary nasal conjugation present in Kar. proper and other Andian languages). Av. \Is:u-\i reflects stem II; Av. \I=us:-\i and all Andian forms - stem I.
940|*ḳa(n)tV-lV ( ~ -o-)|1531|big knife||||ḳatla (Ratl.)|||||||    Attested only in Akhv., but having probable external parallels.
941|*maq̇a-la (~o,-ʔ-)|1532|hoe, pickaxe|||||māla||maʔala||||    Cf. also Cham. Gig. \Imala,\i Kar. Rats. \Imaʕala\i id.
942|*gungul(V)|1533|cauldron|||gungul (Tsertsvadze)||||||||    Attested only in Andian, but having probable external parallels.
943|*kʷandar ( ~ o)|1535|1 churn 2 small jar, pitcher||kudári 2||kʷãdari 1|||kʷadar 2||||    Cf. also Av. Gid. \Ikudari\i 'big jar for water' (Микаилов 1959). The aberrant form Av. Andal. \Ikʷatar\i 'jar' is probably a loan from Lezghian languages (cf. Kryz. \Ikutar\i id.). Av. \Ikudari\i was borrowed in Tsezian languages: Gin. \Ikudari,\i Bezht. \Ikudaj\i (Khosh. \Ikudari,\i Tlad. \Iküdäri\i), Gunz. \Ikudari\i 'small jar'.
944|*gibV|1539|pot|gibí||||||||||    Av. paradigm B (pl. \Igibá-l\i).
945|*s:iku|1540|1 leather bag (for milking sheep) 2 wineskin|||||||seku 2|||s:eku 1|    s- in Kar. is probably recorded incorrectly instead of s:- (cf. the God. form and the external evidence).
946|*šišal(V) ( ~ s)|1542|clothes||||šišal(i) (Tseg.)|||||||    Cf. also Tlan., Ratl. \Išišal(i\i) id. Northern Akhv. has \Išišaƛ̣:e\i which is originally a locative form of the same noun.
947|*xʷVc̣:V-|1543|to filter|xuc̣:ú-||||||||||
948|*=ic̣:ʷVn- / *c̣:ʷVn-|1544|1 to filter 2 to suck|||c̣:un- 2|c̣:on- 1|=uṣ- 1,ṣun- 2|=uc:ĩ-1,c:un-2|=uc̣:an- 1||||    Stem I (\I*=ic̣:ʷVn-\i) is reflected in Cham., Tind. and Kar. (cf. also Akhv. Tseg., Ratl., Tlan. \I=uc̣:-\i); stem II (\I*c̣:ʷVn-\i) - in Northern Akhvakh, as well as in Tind. \Ic:un-\i 'to wring out, squeeze out; to suck', Cham. \Iṣun-\i (Gig., Gad. \Ic̣:un-\i) 'to suck', And. \Ic̣:un-\i id. With secondary denasalisation  here may belong also Tind. \Ic:ab-d-\i 'to shrink, contract' ( < \I*c:ʷVb-\i < \I*c:ʷVm-;\i an intransitive counterpart of \Ic:un-\i).
949|*ʁimc̣V|1546|tongs, pincers|ʁec̣|ʁeč̣|ꭓuc̣u|q̇:enč̣o (Tseg.)|ꭓic̣ʷ||ʁec̣e||ʁec̣ʷ (Tlond.)|ʁuc̣u|    Av. paradigm C (\Iʁoc̣ó-l,\i \Iʁúc̣-dul;\i Chad. \Iʁoč̣ó-l/ʁič̣í-l,\i \Iʁéč̣a-l\i). Cf. also And. (Leksika) \Iʁuc̣u,\i Akhv. Ratl. \Iq̇:ibč̣o,\i Tseg. \Iq̇:ebč̣u\i (coexisting with \Iq̇:enč̣o\i), Cham. Gig. \Iꭓizu,\i Kar. Anch., Archo. \Iʁerc̣e.\i     A complicated case: the most probable reconstruction is \I*ʁimc̣V\i (-m- is suggested by -b-/-n- in Akhv. and by the -u- vowel in And. and God.). There are, however, some unexplicable irregularities: ꭓ- in Andi (at least in the MSU recording) and Cham., q̇:- in Akhvakh.     Northern Akhv. \Iʁec̣i\i is obviously a loan from Avar; Av.-And. origin is also probable for Arch. \Iꭓac̣i\i 'tongs' (quite irregular as compared to other Lezghian forms, see below).
950|*ꭓ(ʷ)Vꭓ(ʷ)V (~q)|1547|basket|heh|heh||||||||| Av. paradigm B (\Ihahí-l,\i \Ihahá-l;\i Chad. \Ihohó-l\i / \Ihihí-l,\i \Ihahá-l/hih-bí\i).
951|*kʷVdV|1548|basket for hay|kode-ꭓ:el (Unt.)||||||||||    The Av. compound is cited from Микаилов 1959 (cf. ibid Av. Andal. \Ikute-ꭓ:al\i 'basket', with a secondary assimilation).
952|*žʷala|1550|1 broom, besom 2 branch 3 rib 4 rod 5 root, carrot|žul 1|žul 1|žala 2,4 (Gudava)|žala 4|zala 4|heƛ̣:ab žʷala 5|eseboƛ: žʷala 3|žola 3,4|||    Av. paradigm B (\Ižulí-l/žulá-l,\i \Ižulá-l;\i Chad. \Ižulí-l/žulú-l,\i \Ižulá-l\i). Tindi has preserved only a compound with \Iheƛ̣:ab\i 'root'. Cf. also Cham. Gig. \Izala\i 'rod, stick, rib'; Kar. \Ieseboƛ: žʷala\i 'rib' (lit. 'side stick') = Cham. \Iesib-zala\i (Gad. \Iesi-zala\i) id.
953|*kʷoc̣i|1551|1 bundle, bunch 2 besom|kʷác̣i 1||kʷoc̣i 2|kʷač̣i 2||kʷac̣i 1||||kʷac̣ir 1,2|    Av. paradigm A (\Ikʷác̣i-dul,\i \I\Ikʷác̣a-bi\i\i).
