NUMBER|PROTO|PRNUM|MEANING|LZG|TAB|AGU|RUT|CAK|KRZ|BUD|ARC|UDI|COMMENT
964|*gurd|400|shirt||k:urt:|k:urt: (Bursh.)||gurt|||||    Cf. also Tab. Düb. \Igut:u\i / \Igurt:u\i id. -t in Tsakh. is not clear (a result of dissimilation?). It is not excluded that some (or all) of the listed forms are actually borrowed from Lak. or Darg. A certain loanword is Lezg. \Iḳurt\i (cf. also Khl. \Ik:urt,\i Akht. \Ik:urṭ;\i the quite irregular glottalisation suggests a source like Georg. \Iḳwarti\i 'shirt').
965|*ʔu(r)ꭓun ( ~ -ꭓ:-)|1477|shirt||||uꭓun||||||    Isolated in Rut., with possible external parallels.
966|*ʔiꭓ(:)e ( ~ -ɨ)|401|1 to enter 2 to come 3 to go|||ꭓi- 3 (Bursh.)|=ɨrɨꭓ 3 (imper.)||-ꭓä(ri) 2|-ꭓa(ri) 2|||    In Ag. the root is also used with different preverbs as part of the suppletive paradigm of the verbs 'to come' and 'to enter', for building the infinitive and aorist forms (\Ih-aꭓi-s\i 'to come', \Iaꭓi-s\i 'to enter'). In Kryz. and Bud. the root is used only within a compound with PL \I*ʔiš:e-\i (q.v.), in the present and prohibitive forms (Kryz. \Iʕuš-ꭓä-ri,\i proh. \Iʕumäš-ꭓä\i 'to come', Bud. \Iʕaš-ꭓa-ri,\i proh. \Iʕamaš-ꭓar\i 'to come, to enter'). Cf. perhaps also Bud. \Iq̇-a=ꭓ-\i 'to find' (*'come upon').         There is some confusion in PL between this root and \I*ʔiꭓ:e-\i 'to carry' (q.v.): they are, in fact, opposed only in Rutul - but even here they can be viewed as reflecting different Ablaut grades of a single root (for the motion verb cf. also Rut. \IqI-aꭓIɨ-\i (term.) 'to go away' /with pharyngealization on analogy with the suppletive dur. stem \IqI-uʁIu-\i < PL \I*ʔiq:Iʷä-\i q.v./, imper. \Iqɨ=rɨꭓ\i). In Agul the meaning 'to carry, bring' is typical for the Richa dialect (\Iꭓ-as\i), while the meaning 'to come' is typical for Burshag (\Iꭓi-s\i), where the meaning 'to carry' is rendered as \Iwa-ꭓi-s\i with a preverb. External evidence, however, suggests that this situation is due to confusion of similar PEC roots: \I*=īꭓ̲V\i 'to carry' and \I*=iꭓ̲wV\i 'to go, come'.
967|*q̇VrV-j|1479|1 felt cloak 2 top of (felt) boot||||q̇ara (Khnov.) 1|q̇ɨrɨ (Gelm.) 2|||||    The vocalism is hard to reconstruct (because of vowel assimilations or Ablaut).
968|*q̇ärVq̇ʷ / *q̇ärVqʷ|1480|1 sheepskin 2 sheepskin coat 3 coat of mail 4 shell|q̇erq̇ 1,3||||q̇arq̇ʷ 2||q̇erq 4|||    4th class in Tsakh. and Bud. In Lezg. the root means simultaneously "a piece of sheepskin" and "coat of mail". The disyllabic structure must be reconstructed to account for the preservation of -r- in Tsakh. (the cluster *-rq̇ʷ- would have yielded -q̇ʷ-); another solution would be to reconstruct *-lq̇ʷ, but this is against the external evidence.
969|*ꭓIVƛ̣:V-l(:a)|429|fur coat, sheepskin coat|||X̀ak:ul|||||||    Cf. also Ag. Burk. \IX̀ak:ul\i id. Attested only in Ag. (thus the vocalic reconstruction is uncertain), but having probable external parallels.
970|*ʔa(r)ḳɨ|405|1 to go 2 to drive, urge|||||h-a=ḳan- 1|||a=ḳa- 2||    Cf. also Arch. dur. \I=arḳu-r.\i In Tsakh. the root forms the aorist and imperative part of the suppletive paradigm of the verb "to go". It is also used with another preverb (ʔ-) and the causative auxiliary verb -ās in the meaning 'to drive, urge' \I(aḳan-ās\i). Reasons for -n-conjugation in Tsakh. are not clear. Since there are no Ag. or Tab. forms, it is impossible to establish whether there was a medial *-r- in PL (external data, in particular, Dargwa, suggest such a possibility).
971|*λ[u]λal|1481|mitten|||xuxal||xaxali|||||    Cf. also Ag. Burk. \Ixaxal.\i The word is most probably an assimilation < \I*kʷi(l)-xal\i, a compound with \I*kʷil\i 'hand' q.v. (cf. the analogous compound in PA). 4th class in Tsakh.
972|*c:i[l]c̣:-|1486|belt buckle, fastener||ʒic:i-bul (Düb.)|zaz|ʒirʒe-n||||||    Cf. also Rut. Khniukh \Ic:irʒ-am\i < \I*ʒirc:-.\i The quality of the medial liquid is not quite clear. The irregularity of the Ag. form is explained by a contamination with \Izaz\i 'thorn, prick' (see PL \I*c:ac:a\i). Note the parallelism of Tab. \Iʒic:i-bul\i = Darg. \I*c:anc:i-p:ul.\i
973|*q̇Iʷa[r]ṭ-ol|1487|1 belt 2 lace 3 braid|q̇ʷeṭel 2|q̇Iʷaṭal 3|q̇Iaṭul 1|||q̇äṭɨl 2|q̇olṭal 1|||    4th class in all class-distinguishing languages. The medial resonant is not clear: Bud. seems to point to *-l- or *-r- (assimilated to the final -l), but other languages do not reflect any liquid. The stem is probably derived: cf. Arch. \Iq̇Ieṭ\i 'a pleat in the upper part of trousers for inserting the belt' - although the vocalism in this form is not quite clear.
974|*c̣ap|1488|1 bend, crook 2 catapult 3 latch (in a mouse-trap)|c̣ap-an 2|c̣ap 1||||c̣iṗ 3||||    In Lezg. the suffixless root is preserved in the Khl. dialect: \Ic̣ap\i 'button' ( < 'hook, clasp'). The Kryz. vowel is probably explained by Ablaut (reflecting the oblique base \I*c̣opV-,\i with later assimilation -p > -ṗ). 4th class in Kryz.
975|*ḳuč̣|1489|1 button 2 hook, buckle 3 door lock 4 hooked, bent|||ḳuč̣ 1|ḳɨč̣ 2|ḳɨč̣ 1|||ḳič̣ 3|k:oč:I 4|    Cf. also Arch. plur. \Iḳoč̣-or.\i Obl. base \I*ḳuč̣ɨ-\i (cf. Rut. \Iḳɨč̣i-,\i Tsakh.  \Iḳɨč̣ɨ-\i). 3d class in Rut. and Arch., 4th class in Tsakh. Vinogradova-Klimov  (1979, 157) supposed that the word was borrowed from Armenian (\Ik:əč:ak:\i  'button'), but this is unacceptable: the Arm. form has no Indoeuropean etymology and is most probably borrowed from Caucasian.     See Лексика 1971, 214; Хайдаков 1973, 93; Талибов 1980, 289.
976|*taInḳ(ul)|1490|1 head of a spindle 2 support for a spindle|||||||ṭunuḳ|taInḳuli 1|t:irik:al 2|    The precise meaning in Bud. is "деталь прялки в виде железного стержня в кружке для наматывания ниток". The word was obviously influenced phonetically by PL \I*tinuk:\i (Bud. \Itunug\i / \Itunuk\i) "spindle".
977|*ṭeʡʷa|1491|1 rope 2 rope made of plant stalks||||ṭuʔI|ṭoʔIa|||duhIu-ni 2||    Cf. also Tsakh. prop. \IṭoIʔ\i 'rope'. d- in Arch. is not quite clear: perhaps an early dissimilation < ṭ- before *-ʡ-.
978|*ḳac̣|1492|1 hole, opening 2 button 3 scar,hem 4 passage|ḳac̣ (Khl.) 2|||ḳac̣ (Khniukh.) 4|ḳac̣ (Mishl.) 3|ḳäc̣ 1|ḳac̣ 1,3|||    4th class in all class-distinguishing languages. Obl. base \I*ḳac̣a-\i (Rut., Tsakh. \Iḳac̣a-\i). Perhaps we should also relate here Tab. Kand. \Iḳec̣\i 'reel, spool' ( = "piece of wood with a hole"), although the vowel -e- is not clear.     See Талибов 1980, 296.
979|*ʔoc̣|1493|ring stone||||||||\Ioc̣\i||    Attested only in Arch.; homonymy with \Ioc̣\i 'fire' is, of course, quite coincidental.
980|*č̣Vƛ:ʷV-|420|alive; lively, animated||č̣iwi||||||||    The root is attested only in Tab.; therefore theoretically a reconstruction of medial *-w- is also possible - although -ƛ:ʷ- is more probable in view of the external evidence.
981|*ʔowƛ:ɨ-|1495|to put on (trousers)||||||||=ubƛa-s||    Cf. dur. \I=ubƛu-r.The\i root is attested only in Arch., but has good external parallels.
982|*s(:)ʷVkV-j|1496|sock (knitted)||||sukaj||||||    Attested only in Rut., with a possible Andian parallel.
983|*šʷVm(a)|1497|boot, shoe|šalam||šum-ar|||||||    The Lezg. form can be explained as a metathesis \Išalam\i < \I*šamal\i < \I*šum-al\i (a form derived from an original \I*šum\i). In Ag. cf. (without the originally plural -ar-suffix) Bursh., Fit., Burk. \Išum\i id. If this etymology of Lezg. \Išalam\i is right, other similar forms (Rut. \Išalam,\i Tsakh., Khin. \Išalam,\i Kryz. \Išäläm,\i Bud. \Išalam\i / \Ičalam\i) must be treated as loanwords from Lezghi.
984|*ṭɨrɨꭓ|1498|1 leathern foot-wear 2 soft slippers for children|ṭiriꭓ-ar 1|ṭirꭓ 1|ṭiriꭓ 2|||||||    Cf. also Tab. Khür. \Iṭiriꭓ\i 'leathern foot-wear'. The vowel *-ɨ- (not -i-) must be reconstructed to account for lack of palatalisation (ṭ > c̣ or č̣) in Lezg. and Tab.
985|*ʔaḳVr-|1499|1 to roll (dough) 2 to wrap 3 to roll, turn round||a-ḳ-uz 1||ɨ-rḳ-as 2 (Khniukh.)|al-i-ḳar-as 3|||||    In Tab. cf. also \Iilč̣-i=ḳ-\i (Düb. \Iilṭ-i=ḳ-\i) 'to roll' (with an expressive preverb). The Tab. and Tsakh. forms reflect the PL Ablaut *a/*i; -ɨ- in Rut. is not quite clear.
986|*läꭓa|1501|1 bracelet 2 woman's breast ornament||kuliꭓ 1|kuleꭓar 2 (Bursh.)||läꭓa 1 (Tsakh.)|||||    The Tab. and Ag. forms reflect a compound \I*kʷil-läꭓa\i with \I*kʷil-\i 'hand' q.v.; cf. also (with assimilation) Tab. Düb. \Iquliq\i 'bracelet' - and possibly also, with further suffixation and assimilatory processes - Ud. \Iq:oꭓl-ang\i 'bracelet'.     See Лексика 1971, 212.
987|*q̇Iam: ( ~ -p:)|1503|1 cradle 2 trough (for dough)|q̇eb 1|q̇Iab 1,2|q̇Iab 1,2|q̇Iab 1||q̇u-su 1|q̇ab-su 1|||    Cf. also Lezg. erg. \Iq̇eṗini,\i Khl. \Iq̇Iäb,\i \Iq̇Iäṗe-ni.\i Obl. base \I*q̇Iam:a-\i (\I*q̇Iap:a-\i), cf. Tab. \Iq̇Iaba-,\i Ag. \Iq̇Iaba-,\i Rut. \Iq̇Iábɨ-.\i 3d class in all class-distinguishing languages. Bud. and Kryz. reflect a compound with a not quite clear second component. Since there are no Arch., Ud. and Tsakh. reflexes (Tsakh. \Iq̇Iab,\i attested only in the Mishlesh dialect, is most probably borrowed from Rutul), one can reconstruct both *-p: and *-m:; the latter seems preferable because of external evidence.     See Магометов 1966, 340.
988|*ṭams(:)|1504|carpet|ṭams (Khl.)||ṭams|ṭams||||||
989|*kum(V)s|1505|door-mat, floor-cloth||kümes||||||||    Cf. also Tab. Düb. \Ikumis\i id.
990|*c̣irꭓ(a)|1506|rag|c̣irꭓ|||||||||    Attested only in Lezg., but having probable external parallels.
991|*k:u(m)taj|1507|pillow||guta|gutaj (Bursh.)|||||||    Cf. also Tab. Düb. \Igutaj\i id.
992|*raꭓʷan(Vj)|1508|mirror|||||naꭓʷari|||daꭓon(i)||    3d class in Tsakh., 4th class in Archi. In Tsakh. there occurred a metathesis (\Inaꭓʷari\i < \I*raꭓʷanVj\i).    See Лексика 1971, 197.
993|*kɨṭ|1509|1 pot 2 big basket 3 pan|geṭe 1|||||||koṭ 2|kot:o-war 3|    The Lezg. form has a secondary voicing \Igeṭe\i < \I*ḳiṭe\i < \I*kɨṭV-j\i (cf. dialectal forms: Kur., Kub., Akht. \Iḳeṭe\i). It is not quite clear (because of vocalic considerations) whether we should relate here also Lezg. \Iḳaṭ\i 'big wooden box for grain', Khl. \Iḳaṭ-kun\i 'basket'.
994|*laq̇(a) ( ~ -ä-)|1511|1 trough 2 trunk, box||laq̇ 1||laq̇ 2||||||    Obl. stem unknown.
995|*q̇ʷɨt / *q:ʷɨṭ|1512|1 mortar 2 pestle 3 trough, gutter|q̇uc 1|q̇ut 1|q̇ut 3 (Bursh.)|q̇ut 1 (Khniukh.)||q:ʷaṭ-ɨǯ 2||||    The oblique base can be reconstructed as \I*q̇ʷɨte-\i / \I*q:ʷɨṭe-\i on basis of the Lezg. palatalisation. The Kryz form (reflecting \I*q:ʷɨṭ\i) is probably more archaic; other languages reflect a metathesis of glottalisation.
996|*q̇ʷäč̣(Vj)|1513|wineskin|||ḳeč̣||q̇oč̣e|||q̇ʷač̣i||    3d class in Tsakh., 4th class in Arch. Initial velar in Ag. (cf. also Fit. \Iḳeč̣,\i Burk. with metathesis \Ič̣eḳ\i) is irregular: it was perhaps influenced by another PL root, reflected in Ud. \Ik:äž\i 'trough'.
997|*ḳaṭĳ / *ḳiṭaj|1514|1 wooden shovel 2 scoop|kṭɨ-r 2 (Khl.)||ḳeṭa 1|||||ḳaṭi 1|k:oda 1|    4th class in Archi. Cf. also Ag. Bursh. \Iḳiṭa\i id. Agul reflects a form with vocalic metathesis (\I*ḳiṭaj\i < \I*ḳaṭĳ,\i with a regular shift -i- > -e- before -a- in the next syllable); the same in Lezg., but with another suffix (\Ikṭɨ-r\i < \I*ḳiṭV-r\i). In Ud. -ṭ- > -d- as a result of dissimilation.     See Хайдаков 1973, 68.
998|*ꭓ(:)ʷap:|1515|sack, bag||||ꭓʷab|ꭓab-ǵä|ꭓeb||||    Suffixation in Tsakh. is not quite clear.
999|*q̇uš(a)|1517|1 scoop 2 a cone-shaped basket for filtering milk|||q̇uš 1|||||q̇uši 2||    3d class in Archi. Cf. also Ag. Bursh., Fit., Burk. \Iq̇uš\i id.
1000|*(mo)c̣:ʷir|1518|spoon|ṭur|muč:̌ur|t:ur|dur||tɨr|tur|||    3d class in all class-distinguishing languages. Cf. also Lezg. Khl. \It:ur.\i External parallels make us believe that the Tab. form is the most archaic (\Imuč:̌ur\i < \I*moc̣:ʷi-r\i with -r originally as a suffix); but reasons for loss of *mo- in all other languages are unclear (such a loss is regular only for Lezg.). We may deal here with a secondary contamination with a quite different EC root, reflected in Bezht. \Ic̣oro\i 'scoop', Cham. \Ič̣ora\i 'mug'.  See Талибов 1980, 264.
1001|*ṭurVč|1519|scoop||||ṭurč||||||    Cf. also Rut. Ams. \Iṭurɨš\i id. Isolated in Rut., but having interesting external parallels.
1002|*p:iḳ ( ~ -ɨ-)|1520|1 cylindrical wooden vessel for salt etc. 2 barrel|p:iḳ 1|||||biḳ 2||||    4th class in Kryz.
1003|*q̇asuj /*q̇usVj (~s:)|1521|1 shovel 2 paddle 3 scythe|q̇usu 1,2|q̇asu 1||||q̇äsu 3|q̇asu 3|||    3d class in Kryz. and Bud. The final *-j is clearly seen, e.g., in the Tab. plur. \Iq̇asu-jir.\i
1004|*q̇Ionƛ:|1522|1 pitchfork 2 rake 3 two-pronged pitchfork|q̇ük 1|q̇Iurš 1,2|q̇Iuj 1,2|q̇Iɨj 3 (Ikhr.)||||||    Cf. also Lezg. Khl. \Iq̇ük,\i Ag. Burk. \Iʡaj,\i Tp. \Iʡüj.\i Tab. -r-, as well as a special development of *-ƛ: in Lezg., point to a medial resonant in PL. This could only be *-n- (*-l- could not precede laterals, while *-rƛ:- yields other reflexes - Ag. -r(g)- and Lezg. -r-). Cf. a similar behaviour of *-n- in \I*menƛ:ä-\i 'eight' (with minor differences conditioned by different vocalism).        See Магометов 1966, 340.
1005|*č̣em-Vr ( ~ -ä-)|1371|bow|č̣emer-uk|č̣imir||||||||    Cf. also Lezg. Khl. \Ič̣emer-uk\i (-uk is probably of Turkic origin, cf. Turk. \Iok\i 'arrow'; this Lezg. compound is equivalent to Rut. \Ijejuꭓ,\i Tsakh. \Ijejʔoꭓ\i = Turk. \Ijaj-ok\i 'bow+arrow'); Tab. Düb. \Ič̣imir,\i lit. \Ič̣emer\i 'arrow'. -Vr is a former plural marker.
1006|*ʡʷe(l)s: ( ~ ʔIʷ-)|1524|1 wood, timber 2 firewood||||us 2|os 1||||ušI 2|    Obl. base \I*ʡʷes:a-\i or \I*ʡʷes:e-,\i cf. Rut. \Iúsu-,\i Tsakh. \Iosa-,\i Gelm. \IoIs,\i \IoIs:a-.\i 4th class in Rut. and Tsakh. The root is preserved only in languages where there occurred a simplification of *-lC-clusters, thus the presence of *-l- in PL is postulated only on external evidence.
1007|*λola|1525|pitchfork||||xɨlan|xewa|xiner|xinnerd|λol|ꭓala|    The Rut., Kryz. and Bud. forms reflect a suffixed \I*λol(a)na\i (in Shakh-Dagh with addition of the plural suffix), which may in fact reflect directly the PEC cluster *-ln-. 4th class in Rut. and Tsakh., but 3d class in Shakh-Dagh.     Cf. Лексика 1971, 169; Гигинейшвили 1977, 122.
1008|*č̣uḳa ( ~ -o-; /-k-)|1527|knife|čuḳul||||č̣ɨka|č̣uḳul (Khaidakov)||||    Cf. also Lezg. Khl. \Ičḳɨl\i 'small knife'. The Lezg. and Kryz. form have a frequent *-l-suffix. 4th class in Tsakh.
1009|*ṭeIč̣ʷ-|450|lead||||||||ṭeIč̣u||    Attested only in Arch., but having probable external parallels.
1010|*č̣el: ( ~ -t:)|1528|wedge; point-tool, chisel; plug, cork||||||||č̣et||    Cf. plur. \Ič̣et:-ur.\i The root is attested only in Archi, thus in PL both *-l: and *-t: are possible; external evidence strongly suggests *-l:.
1011|*ʔars:ʷa-|1530|1 to rip up 2 to cut in pieces||kt-a=š̌- 1||||||=ars:a- 2||    Cf. also Tab. Düb. \Ik-a=š̌-\i (in Tab. the verb is attested only with preverbs), Arch. Dur. \I=ars:u-r.\i With Ablaut cf. perhaps also Tab. \Iu=š̌-,\i Düb. \Iu=š̌-\i 'to mow'.     An old derivate from this root is PL \I*[ħ]ars:ʷV-t:V\i (with an adjectival suffix, "cutting") > (with metathesis) > \I*[ħ]at:ers:ʷV\i "scissors", reflected in Tab. \Iubruš̌\i (with assimilation), Düb. \Iuruš:̌u,\i Ag. \Iħut:es\i (Bursh. \Iħaras:,\i Burk. \Iħäras\i), Tsakh. \Iades:e\i and Arch. \Ijat:ərsi.\i We must note that this stem reveals some traces of contamination with another PEC root for "cut", \I*HVrsA\i (q.v.): the initial laryngeal and the irregular weak -s- in Archi must be traces of the other root, which otherwise vanished in Lezghian.
1012|*kanṭ|1531|1 big knife 2 knife|kant 1||kanṭ 1|kanṭ 2||känṭ 2|kənṭ 2|||    In Lezg. the second consonant was assimilated and lost glottalisation (cf. also erg. \Ikantu-ni\i). 4th class in all class-distinguishing languages. Obl. stem \I*kanṭɨ-\i\i (cf. Ag. Fit. \Ikanṭ,\i \Ikanṭu-;\i Rut. \Ikánṭi-;\i these forms could also point to \I*kanṭe-,\i but this is less probable, because in that case we would expect a palatalisation of *-ṭ in Lezg. and Kryz.).     See Хайдаков 1973, 87.
1013|*mVq̇(uj)|1532|1 ploughshare 2 knife||muq̇u 1|||||||me 2|    The Tab. form contains a *-j-suffix (\Imuq̇u\i < \I*mVq̇uj\i). The vocalism is hard to establish because of assimilation in the first syllable of a disyllabic word in Tab., and because of the general unreliability of the Udi vocalism; the only certain thing is that the root vowel was not *a.
1014|*ḳumḳum|1533|cauldron|||||ḳunḳum|||ḳunḳum||    Cf. also Tsakh. Gelm. \Iḳumḳum\i id. 3d class in Tsakh., 3d / 4th class in Archi (3d for a bigger cauldron, 4th - for a smaller one). Cf. also a similar form in Kryz.: \Iḳɨḳlä\i 'small earthenware cauldron', which is, however, phonetically irregular.     See Хайдаков 1973, 85.
1015|*ḳʷad|1534|1 measure for flour 2 big metal cauldron 3 barrel|||ḳʷat: 1|||ḳädɨr 2||ḳadi 1|k:ud 3|    The word has frequent suffixes: *-Vj in Archi, *-Vr in Kryz. Both in Archi and Agul it denotes a big measuring vessel (for 1.5 kilograms). 3d class in Kryz, but 4th class in Archi.
1016|*kʷV(m)tar|1535|small jar||||||kutar||||    It is not quite clear whether we should relate here Bud. \Ikučar\i 'small jar' (perhaps < \I*kʷV(m)tär\i reflecting an original front vowel in the second syllable?).
1017|*q̇(I)eč ( ~ -ä-)|1537|1 earthenware pot 2 earthenware jug (e.g.for milk)|q̇eč 1|||||q̇eč 2||||    Cf. also Lezg. Khl. \Iq̇ič\i 'churn'.
1018|*k:ač:in|1538|small earthenware jug|gič:in|gaǯin|gažin|||gäǯin|giǯin|||    Cf. also Lezg. Khl. \Ik:ač:in,\i Ag. Bursh., Burk. \Igaǯin\i id. 3d class in Kryz. and Bud.
1019|*p:aIṭVj|854|jug, jar|||baIṭi (Bursh.)|||||||    Attested only in Ag., but having possible external parallels. Laryngeal features are not quite clear: handwritten MSU records have \IbaIṭi\i in Bursh., but \IbaIti\i in Burk.; in the printed version there appears \IbaIti\i in both dialects - this still is to be checked.
1020|*parč|851|water jug|||||parč|||||    Attested only in Tsakh., thus borrowing is not excluded.
1021|*q̇ucur|1541|leather sack (for carrying things)||||q̇ucur|q̇usur (Gelm.)|||||    3d class in both languages. The -s- reflex in Tsakh. is somewhat strange (non-initial *c is usually preserved in Tsakh.), but *c is generally a rather rare phoneme, and its exact reflexes in Tsakhur are still to be determined.
1022|*šišal|1542|sack|šešel|šišal|šišal (Bursh.)|||šišäl||||    Cf. also Tab. Düb. \Išešel,\i Ag. Fit., Burk. \Išišal\i id.    See Хайдаков 1973, 86.
1023|*c̣eλ:ʷɨ-|1543|1 to settle (of liquids) 2 to suck 3 to sift|al-cif- 1||c̣ufi- 2 (Bursh.)||ǵɨ-c̣e=x:ʷa- 3|||||    Loss of glottalisation in Lezg. is probably secondary.
1024|*ʔic̣:ʷän-|1544|1 to filter 2 to sift 3 to suck||k-a=c:- (Khiv.)|||||ʕ-atn-|c̣um-(mus) 2|c:um 3|    Cf. also Bud. pret. \Iʕa-tin-ǯi.\i The Tab. and Bud. form contain preverbs. In Arch. the original tense *c̣: is revealed in the reduplicated present form \Ic̣emc̣:in.\i Cf. also the nominal derivate Arch. \Ic̣om\i 'sieve'.
1025|*s:iλ:ʷV-|1545|1 to sift 2 sieve|saf 2|sif 2|zu-r-fi- 1|sixʷ 2|wex:ʷa 2|||||    The verb is preserved only in Agul /Burshag dialect/; the noun 'sieve' in Agul is a later derivate (Rich. \Isirfel,\i Bursh., Burk. \Izerfel,\i Fit. \Izarfil\i). All other languages (except Tsakhur) have preserved only the PL derivate \I*s:iλ:ʷ\i 'sieve' (besides the forms listed cf. also Lezg. Khl. \Isef,\i Akht. \Isef,\i Tab. Düb. \Isif:i,\i Khür. \Is:if:,\i Rut. Khniukh \Isuf,\i Ams. \Isüx\i). Most languages reflect the form with an old preverb *s:-; the only exception is Tsakh. \Iw-ex:ʷa\i ( < \I*w-äλ:ʷaj\i with another prefix and Ablaut), pointing to an original verbal root \I*ʔiλ:ʷV\i ( / \I*ʔäλ:ʷV\i) 'to sift'.     See Талибов 1980, 314.
1026|*ʁu|2286|thou (2d p. pr.)||||ʁu (Shin.)|ʁu||||hu-n (Nidzh.)|    This is a rare, but archaic pronominal stem, nearly completely superseded in most languages by PL \I*u̲o(-n\i) q.v. The stem \I*ʁu(-n\i) is used as a direct stem in the Nidzh dialect of Udi, in several Rutul dialects (Shinaz, Khnov, Ikhrek) and in Tsakhur (interchanging with the normal \Iwu\i < \I*u̲o(-n\i)). Most important, however, is the regular use of this stem as genitive in Tsakhur: \I jɨʁ-na\i (1-2 class), \Ijɨʁɨ-n\i (3 class) < PL \I*-oʁ(ʷ\i)-. Other languages have not preserved this usage, but it is very close to the situation in Khinalugh, and allows to reconstruct the stem \I*-oʁ(ʷ\i)- as the original oblique stem of this pronoun.     See Aлексеев 1985, 72.
