"NUMBER","PROTO","PRNUM","MEANING","SUN","TUL","KAL","LIM","LIMNUM","DUM","DUMNUM","KUL","KULNUM","YAM","YAMNUM","NOTES"
 661,"*bràk (~-ŋ)",   0,"separate","","\Ibrɔ(ŋ)si-\i separate after meeting, disperse","\Ibrɔnsinä\i leave-take, break off a relationship","",   0,"",   0,"",   0,"",   0,""
 662,"*bur",   0,"sugar, cane","","\Ibur\i","\Iche-bar\i (\Iche-\i is unclear)","",   0,"",   0,"",   0,"",   0,"Kal. che-bar = Kul. chəwa id. (?)"
 663,"*bù(k)",  43,"white","\Ibu-ś\i","\Ibubum\i (cf. also \Ibo-\i go white (of popped maize, of hair))","\Ibubum\i","\Iphokhĳā\i white, \Iphokhām\i white clay",1352,"",   0,"",   0,"\Ipokma\i 'to shine'",1107,"Toba 98 *bubu."
 664,"*brä̀ŋ(s)", 128,"be tasty","\Ibrō-\i","\Ibrəs-\i taste nice","","",   0,"",   0,"",   0,"",   0,""
 665,"*b(h)ó(-ks)", 257,"be","\I'bāk-ca\i be (location)","\Ib(a\i)- be, stay, be seated","","\Ipoŋmā\i (\Ipokhā\i)  to be",1220,"\Iboknɨ\i", 106,"",   0,"",   0,""
 666,"*bə́t (/ *ʔp-)",   0,"bloom","\I'bojk-ca\i","\Ibət-\i open (of flowers)","\I'pwɔnnä\i (\I'pwɔhtu\i) bloom, swell","",   0,"\Ipətnɨ\i", 877,"",   0,"",   0,""
 667,"*blút",   0,"boil","\I'brujk-ca\i boil (water)","\Ibliut-\i (AS \Iblut-\i) boil (itr.)","\I'blannä\i (\I'blattu\i) id.","\Iputmā\i (\Iputtu\i) get boiled",1257,"",   0,"\Ipuima\i",1031,"\Ipi:ʔma\i",1105,""
 668,"*bä́ ( ~ *bə́, *bá)", 310,"elder","","\I'baw\i elder son or brother","","\Iphu\i elder brother",1374,"",   0,"\Ibu\i",  72,"",   0,"In the comp. \I*bä́-wä́,\i see \I*wä́\i)"
 669,"*ber, *ber-mä", 379,"a k. of insect (butterfly, dragonfly, caterpillar)","","\Ibe-phermu,\i \I-pherma\i butterfly","\Isam-bermä\i caterpillar, \Iku-berme\i dragonfly (? what is the relation of the 2d part in \Ibebüläm\i butterfly?)","\I-phe\i in \Icirāphe\i butterfly (for the first part cf. \Icirippā\i sp. of small grasshopper) (?)", 155,"",   0,"",   0,"",   0,"Cf. also T (\Inamdi\i) \Iburwa\i variety of cricket; *bep-. Toba 88 *bebuläm."
 670,"*bep-",   0,"butterfly, insect","","\Ibephermu,\i \I-ma\i (< \I*bep-bermä\i), \Ibem\i slug","\Ibebüläm\i, \I'bepcö\i insect, germ, worm, \Ibhem\i slug","\Iphebā\i insect, white ant",   0,"\Ikām-pipīr\i", 396,"\Ibeplem\i",  34,"",   0,"Toba 96 *pem (confused with *pípV). Cf. *ber, *pípV."
 671,"*bùbla",   0,"chick","","\Ibuklo\i (AS \Ibuplo\i) chick, young of any bird","\Ibublɔ\i","",   0,"",   0,"",   0,"",   0,""
 672,"*bìn", 450,"cow","\Ibī\i","\Ibeno\i (AS \Ibönö\i) ox","\Ibaj\i (thus in CSDP and EKg; in KgE \I'baj\i)","\Ipit\i cow, ox (cf. also \Ipi-hi\i cow-dung)",1203,"\Ibhiʔi\i", 130,"\Ipi\i",1006,"\Ipik\i",1090,"Toba 88 *pV."
 673,"*blàŋ",   0,"decorate, dress up","","\Iblɔ(t\i)-","\Iblɔnä\i (\Iblɔŋu\i)","",   0,"",   0,"",   0,"",   0,""
 674,"*brep-co", 350,"finger","\Ibrepco\i","\Ibrepco\i","\I'brepco\i","",   0,"",   0,"",   0,"",   0,"Toba 90 *brepco. Cf. L \I-co\i in \Ihukco\i finger (\Ihuk\i 'hand') and other compounds; perhaps also cä- in Kal. \Icä-ti\i 'thumb'."
 675,"*bì", 191,"give","","","\Ibinä\i (\Ibiŋɔ\i)","\Ipīmā\i (\Ipīru\i / \Ibīru\i)",1205,"\Ibīnɨ\i",  85,"\Ipima\i",1007,"\Ipi:ma\i",1104,"Toba 90 *'bi-."
 676,"*bé",   0,"knife","","\Ibə-\i / \Ibe-\i in \Ibəlku\i (arch.)  sword, \Ibən\i smooth-edged sickle, \Ibelwa\i (AS \Ibeluwa\i) smooth-edged sickle  ( = Kg \I'belɔ\i)","\I'be-\i in \I'belɔ\i sickle, \I'betho\i kukri","\Iphe\i  sword",   0,"\Ibīci\i",  89,"\Ibelɔ\i 'sickle', \Ibethɔ\i 'khukuri', (?) \Ipha\i 'blade of a knife'",  30,"",   0,"Toba 95 *bela."
 677,"*blàk-c\L1\lə̀",   0,"lightning","","\Iblɔkci\i, \Iblɛkci\i (AS \Ibəlɛkci\i)","\Iblɔs\i","",   0,"\Ibɨslɨm\i",  82,"\Ibaks\i",  21,"",   0,"Toba 92 *blaksi."
 678,"*ba-cə ( ~ bh-, -ə-, -o-)", 330,"husband","","\Ibocü\i (AS) husband (now \Iwocü\i under the influence of \Iwoscö\i man, see \I*[w]at-cə\i)","","\Iphacā\i husband; (VD) yɛm-ba id.",2064,"",   0,"\Ipusəi\i",1044,"",   0,""
 679,"*Pít",   0,"allow","\I'bit-\i allow","\Ipet-\i allow to consume (e.g. give sick man fresh air)","","",   0,"\Iphītnɨ\i 'request'", 946,"",   0,"",   0,""
 680,"*póŋ (/*póm)", 183,"anus","\I'pōle\i buttock","\Ipumta\i","","\Ikubuŋ\i foot of a mountain; bottom",1218,"\Ibha\i (?)", 125,"\Ipumlu\i",1033,"",   0,""
 681,"*ʔpúlu",1865,"ashes","\I'pulu\i","","\I'püjü\i","",   0,"\Ipɨʔɨ\i", 898,"\Ichu-bui\i (?)", 215,"",   0,"[Kaling, Dumi and Kulung rather reflect a different compound *ʔpu-ju - cf. ST \X<1.2688>*jU\x."
 682,"*pákti",  32,"bat","\I'pakatiyti\i","\Ipakti\i","\I'pɔkti\i","",   0,"",   0,"\Ipokti\i",   0,"",   0,"Toba *'pakti."
 683,"*pék (/*ʔp-)",   0,"braid, plait","","\Ipɛk-\i plait (hair,tump-line)","\I'penä\i (\I'pegu\i)","",   0,"\Ipjəknɨ\i", 924,"\Ipēma\i",1001,"\Iäkma\i",  65,""
 684,"*phít (/*ʔp-)",   0,"bring","\I'pit-ca\i","\Iphit-\i bring across","\I'pannä\i (\I'pidu\i)  bring, fetch","\Iphetmā\i (\Iphettu\i)",1316,"\Ipitnɨ\i", 889,"\Ibaima\i",  16,"",   0,"Toba 88 *'pit-."
 685,"*prék",   0,"pop, slap","","\Iprɛk-\i pop (of fire giving sparks, of spices frying), give slap","\I'prenä\i (\I'prehtu\i) to pop (of grain), to strike","\Ipyak\i",1259,"",   0,"",   0,"\Iphä:kma\i 'strike, slap'",1158,""
 686,"*phä̀l (/*ʔp-)", 281,"calf (of leg)","\Ipolpol\i","\Ipalsö\i","\Ipälsö\i","",   0,"\Iphéləp\i 'thigh' [but cf. Nep. \Iphilā\i]", 932,"",   0,"",   0,"p- in Khaling is irregular (either ph- or b- would be expected); perhaps it indicates a loan < Tul. Toba 88 *pälsö."
 687,"*ʔpì (-n)",2217,"come","\Ipi-ca\i","\Ibik-\i  come directly across (?); (Toba) \Ibi-\i","\Ipinä\i (\Ipiŋɔ\i)","\Iphemmā\i (\Ipherā\i) come",1309,"\Ipīnɨ\i", 892,"\Ibaima\i",  18,"",   0,"Toba 88 *pi-."
 688,"*pèr",   0,"compress","","\Iper\i- compress, press between two points, \Ipeperca\i  tongs (of bamboo)","\Ipernä\i (\Iperu\i) pick up with tongs, \Ipepercɔ\i tongs","",   0,"\Ipjernɨ\i", 923,"\Ipirma\i",1011,"",   0,""
 689,"*ʔpù", 309,"dry","","\Ibu-\i dry (over fire)","\Ipünä\i (\Ipüŋɔ\i) dry by smoking","",   0,"",   0,"",   0,"\Iu:ma\i 'dry in the sun'",1726,""
 690,"*pàŋ",   0,"fade","","\Ipɔ(t\i)- fade away (of smell,dead spirit)","\Ipɔnä\i (\Ipɔŋ\i) diminish (of wind, smell, everything felt but invisible)","",   0,"",   0,"",   0,"",   0,""
 691,"*ʔpi(k)", 267,"fart","","","\Ipinä\i (\Ipiŋɔ\i) let wind, \Ipin\i anus, \I'pikmö\i  stomach wind","\Iphepmā\i (\Iphessu\i) to fart",1290,"\Ipīnɨ\i", 893,"\Ibema\i",  31,"",   0,""
 692,"*pä́, *pä́p", 233,"father","","\Ipap\i","\I'päp\i","\Ipā\i",1123,"\Ipa\i", 847,"\Ipa\i 'father', \Ipapa\i 'forefather', \Iphəpa\i 'grandfather'", 981,"\Ipa,\i \Ipa:ba\i",1014,"Toba 89 *'päp."
 693,"*pàsulam  (/ *ph-, -r-)",   0,"feather","","\Ipasürüm\i","\Iphɔsɔlɔm\i","",   0,"\Iphāsulēm\i", 931,"",   0,"",   0,""
 694,"*plèm (// *ph-)",   0,"flat","\Iblem-so\i level ground","\Iplem,\i \Iphlem,\i \Iplemte\i flat","\Iplemplemmim\i flat, \Iphlem-khar\i palm of hand, \I-säl\i  sole of foot","",   0,"",   0,"\Iphemphempa\i",1057,"",   0,"Toba 90 *phlem."
 695,"*plä́p  (// *ph-)",1734,"fold","","plep-","\I'phlämnä\i (\I'phläptu\i) fold, double over","\Iphāphmā\i (\Iphāphtu\i) fold",1280,"",   0,"\Iphamma\i",1051,"",   0,""
 696,"*ʔp[ú]jV", 189,"head","\I'pĳa\i","\Ibuj\i","","",   0,"",   0,"",   0,"",   0,""
 697,"*pu", 382,"bird, hen","","\Ipo\i chicken","\Isalpu\i (for the 1st part cf. L \Isəlɔkwā\i k. of bird ?)","\Ipu\i  bird",1242,"\Ipa-wöm\i 'chicken'", 860,"",   0,"",   0,"Cf. also T -\Ipu\i in \Idəkpu,\i \Igrəkpu\i pheasant. What is the relationship of K \Iphö\i chicken? (originally a different root, with contamination in Tulung?)"
 698,"*ʔpək", 438,"pig, hog","\Ipō\i","\Iboa\i","\I'po\i","\Iphāk\i",1266,"\Ipoʔo\i", 913,"\Ibɔ̄\i",  66,"\Iakma\i",  13,"Toba 93 *'bo."
 699,"*prók",   0,"jump","\Iprēk-ca\i","\Iprok-\i","\I'pronä\i (\I'proŋɔ\i\i) jump, hop","\Iphɔkmā\i (\Iphɔttu\i) spring, jump",   0,"",   0,"",   0,"",   0,"Toba 91, 96 *prok-."
 700,"*ʔpə̀(-n)", 234,"knit","","","\Ipönä\i (\Ipɔŋɔ\i) weave, knit, crochet, \Ipöpä\i weaver, \Ipönpä\i  woven","\Iphomā\i (\Iphondu\i) knit",1370,"\Ipɨnɨ\i", 904,"\Ibəma\i",  38,"\Ia:ma\i",  58,"Toba 98 *pem- (erroneously)."
 701,"*peŋ (/*ʔp-)", 436,"left","\I'pēra\i","\Ipe\i","\Ipeŋ\i","\Ipheŋwā\i",1311,"",   0,"\Ipaŋ\i", 991,"",   0,"Toba 92 *peŋ."
 702,"*plut-",1955,"loosen","\Iprujk-ca\i undress, untie","\Iplüs-\i (AS \Iplus-\i) undo, loosen, take off","\I'plannä\i (\I'pludu\i) get loose","",   0,"\Iphɨtnɨ\i", 953,"\Ibuima\i",  75,"",   0,"Cf. *lót."
 703,"*pàkha",   0,"outside","","\Ipakha\i","\Ipɔkhɔ\i","\Ipākhā\i",1143,"\Ipākha\i", 866,"\Ipakha\i", 984,"\Ipa:kkhäʔ\i",1054,"Toba 93 *pakha."
 704,"*ʔpopo[k]",   0,"owl","","\Ibobok\i (AS \Ibobop\i) owl","\Ipopwɔp\i forest eagle-owl","\Iphɔkthimba\i",1359,"\Idili-popo\i", 177,"",   0,"\Iokciba,\i \Iopciba\i", 979,"For Yamphu cf. perhaps rather Kal. 'huca, Kul. huhu (Toba 93 *huCa)."
 705,"*prót ( / *ʔp-)", 850,"pluck, tear","\Iprojk-ca\i break (tr.) \Ibroj-ca\i break rope (itr.)","\Ipröt-\i pick, pluck (fruit), tear off, tear off, tear up","\I'prwɔnnä\i (\I'produ\i) pluck, tear in pieces","",   0,"\Ipētnɨ\i", 873,"",   0,"\Ieʔma\i 'to pluck; to break'", 251,"Toba 93 *pret- (with a different Kaling match: pen-?)."
 706,"*Prä̀m",   0,"scratch","\Ibam-si-ca\i (?)","\Ibram-\i  grab, scratch, \Ibram\i  handful","\Iprämnä\i (\Iprämu\i) scratch, tear up","",   0,"",   0,"\Ipamma\i", 990,"",   0,"Cf. *phrä́p."
 707,"*plùm",1966,"sink","","\Iplüm-\i (AS \Iplum-\i) submerge, sink, dip, \Iblüm-\i submerge (of water covering potatoes)","\Iplamnä\i (\Iplumu\i) dip into water to wash, \Iblamnä\i (blumu) to soak","",   0,"",   0,"\Ilumma\i 'immerse'; cf. also \Ilimma\i 'set (of the sun) (?)", 777,"",   0,"Cf. *ghl[ù]m 'deep'."
 708,"*b(h)ä̀r (/ʔp-)",  13,"sow","\Ibwar-ca\i","\Ipar-\i throw, discard","","\Iphemā\i (\Ipherā\i) winnow",   0,"",   0,"",   0,"",   0,"The initial bw- in Sunwar is not quite clear."
 709,"*próŋ-c\L1\lə̀",   0,"spider","","\Iproŋʒü\i","\I'proci\i","",   0,"",   0,"\Ipunchiri\i",1036,"",   0,"Toba 96 *pronchi."
 710,"*pùm",   0,"squeeze","","pum-","\Ipamnä\i (\Ipumu\i) squeeze, wring","",   0,"",   0,"\Ipumma\i",1034,"\Ipumma\i",1126,""
 711,"*ʔpə́t (/-n)",   3,"tether, tie up","\I'pajk-ca\i tether","\Ibət-\i tie up (person, bale of straw)","\I'pwɔnnä\i (\I'potu\i) tie, wrap around","",   0,"\Ipātnɨ\i", 872,"",   0,"",   0,"Toba 97 *'bât. In Dum. cf. also \Ipənnɨ\i 'spin'."
 712,"*ʔpúk", 275,"throw down","","\Ibok-\i throw (in wrestling)","\I'punä\i (\I'puktu\i) overturn, throw down (wood from cliff)","",   0,"",   0,"",   0,"",   0,""
 713,"*Prä́n",   0,"tie up","\I'phrēn-ca\i tie up (laces)  (probably = \I'phrē̃-ca\i)","\Iprɔ(t\i)- make bundle of,tie up in a piece of cloth","","",   0,"",   0,"",   0,"",   0,""
 714,"*plèmci",   0,"vetch","","\Iplemci\i reddish vetch","plemci vetch (Dolichos uniflorus)","",   0,"",   0,"",   0,"",   0,""
 715,"*ʔprèl",   0,"seed","","\Ibrəl\i seed, semen","\Iprel-ko\i  pod, seed capoule","",   0,"",   0,"\Ibel\i",  29,"",   0,""
 716,"*pípV",   0,"weevil, k. of insect","","\Ipīpu\i weevil","\I'pipi\i weevil","",   0,"",   0,"\Ipawa\i 'slug' (?)", 995,"\Ioʔwaba\i 'weevil' (?)",1009,"Cf. *bep-."
 717,"*ʔpó-ʔkä",   0,"ashes; mud, soil","","\Iphoka\i","\I'pök\i (CSDP  \I'pöhk\i)  earth, mud, soil","",   0,"\Ipɨkhɨ\i", 908,"\Ibɔhɔ\i",  54,"\Iakkhuma\i",  12,"A compound with *ʔkä 'earth' q.v. Toba 87 *poyka, 89, 96 *böko."
 718,"*phä̀ʒi",   0,"bag","","\Iphaʒi\i","\Iphäʒi\i","",   0,"",   0,"",   0,"",   0,""
 719,"*phìl[ä]p-",   0,"a k. of bird (?)","","\Iphilakpu\i swallow","\Iphelepso\i flying squirrel","",   0,"",   0,"",   0,"",   0,""
 720,"*ʔpók", 226,"belly, stomach","","","\Imuphu\i abdomen, belly (?< \I*mi-ʔpók\i, where \Imi\i "man")","\Isappōk\i",1449,"\Imupu\i", 739,"\Ibɔ\i",  52,"\Inam-bhu\i", 878,"On the compound \I*sä̀ʔpók\i bladder, stomach see under \I*seŋ\i liver, kidney. Toba *po."
 721,"*phík",  10,"sweep","\I'phīk-ca\i sweep","","","",   0,"\Iphīknɨ\i", 945,"",   0,"\Iphi:kma\i",1173,""
 722,"*phə́k (/*ʔpəks)", 271,"break","","\Iphɛk-\i break by stretching, \Ibeaks-\i break on stretching (as rope) (itr.); \Iphɛ(k)-so(k\i)- shoot with bow and arrow, \Iphephɛkca\i bow","\I'phonä\i (\I'phogu\i) break long things; \I-phu\i in \Ilɔphu\i bow","",   0,"",   0,"",   0,"\Iokma\i 'to chop with an axe'", 982,"Cf. *pə́k."
 723,"*phät (/ʔp-, -n)",   0,"(ex)change","\Iphaj-ca\i exchange money, barter","\Iphat-\i id.","\I'phännä\i (\I'phädu\i)  exchange","",   0,"\Ipotnɨ\i", 918,"\Ibaima\i 'change, barter', \Iphaima\i 'reverse, (ex)change'",  17,"\Iphemma\i",1161,"Toba 89, 99 *phät-."
 724,"*phòsu", 334,"cheek","","\Iphosü\i (also \Iphosip\i)","\Iphosu\i","",   0,"\Ibusu\i", 122,"\Iphɔusi\i",1068,"",   0,"Initial b- in Dumi is unclear. Toba 88 *phosu(y)."
 725,"*phä̀l",   0,"cut, wreck","","\Iphəl-\i cut (tree, bamboo), kill (animal)","\Iphälnä\i (\Iphälu\i) knock down, wreck","",   0,"",   0,"",   0,"",   0,""
 726,"*phùl",   0,"dig","","\Iphul-\i dig around in, rout up","\Iphul\i cave (< \I*phùlV\i)","",   0,"",   0,"",   0,"",   0,""
 727,"*phék", 356,"dress","\I'phēk-ca\i","\Iphəmsi-\i (\I*phək-sit-\i) wear, put on (clothes)","","",   0,"",   0,"",   0,"",   0,""
 728,"*phùr",  51,"dust","","\Iphurku\i","\Ipharki\i","\Ikhāmpherum\i dust (\Ikhām\i ground, soil)",   0,"",   0,"\Iphur \i(Toba 89)",   0,"",   0,"Toba 89 *phraki. For the 2d part in K, T cf. \I*qùn\i smoke ?"
 729,"*phùl",   0,"flour","","\Iphul\i","\Iphal\i","",   0,"",   0,"\Iphul\i",1073,"",   0,"Toba 99 *phal."
 730,"*phùŋ (/ʔp-)", 418,"flower","\Iphū\i","\Ibuŋma\i (cf. also \Ibuŋdo\i prime of life)","\Ipuŋme\i (CSDP \I'phuŋme\i)","\Iphuŋ\i",1383,"\Ipuma\i", 919,"\Ibuŋ\i",  84,"\Iuŋ\i",1709,"Toba *puŋ(me)."
 731,"*phùr-(c\L1\lə̀)",   0,"frost, ice","\Iphurśe\i frost, ice","\Iphursü\i frost","\Ipharci\i frost, dew, ice","",   0,"",   0,"",   0,"",   0,""
 732,"*p(h)uk(s) (/*ʔp-)",   0,"raise (1), get up (2)","\Ipōk-ca\i pick up (? error instead of \Iph-\i), \Ibōk-ca\i get up","\Iphək-\i  raise, awaken,  \Ibək-\i  get up, rise","\I'phunä\i (\I'phugu\i) get up, raise","\Iphuŋmā\i (\Iphukkhu\i) raise, \Iphoŋmā\i (\Iphokkhu\i) collect men for war or emergency, \Iphoŋmā\i (\Iphokhu\i) to rouse from sleep; \Ipokmā\i (\Ipogā\i) to arise",1214,"\Iphɨknɨ\i", 947,"\Ipɔkpa\i \Iadj.\i 'awake, arisen', \Ipɔ̄ma\i v.",1015,"\Ipu:kma\i",1131,"Toba 90 *'phVk-."
 733,"*phV̀rum",   0,"ginger (? cf. \I*rum\i  salt)","","\Iphürüm\i","\Ipharam\i","",   0,"\Iphirī\i", 944,"",   0,"",   0,""
 734,"*Plò ( / *khlò)",   0,"help","","\Ikhlö-\i (AS \Ikhlo-\i)","\Iphlönä\i","\Iphāmā\i (\Iphāru\i) to assist",1264,"",   0,"\Ibɔma\i",  59,"",   0,""
 735,"*phlə̀m",  77,"feather, wing","\Iphrā̃\i","\Ibaphlem\i wing (arch.)","","",   0,"",   0,"\Iwalamma\i 'feather'",1389,"",   0,"Cf. *lám, *l[ä́]p."
 736,"*phlèm",   0,"hit","","\Iphlem-\i hit (with projectile)","\Iphlemnä\i (\Iphlemu\i) to step on","",   0,"",   0,"",   0,"",   0,""
 737,"*phè[n]",   0,"jump","","","\Iphenä\i jump across (EKg)","\Ipitmā\i (\Ipindu\i) jump over",1197,"",   0,"",   0,"",   0,""
 738,"*phlòm",   0,"knead","","\Iphlöm-\i knead; churn up (mud)","\Iphlwɔmnä\i (\Iphlomu\i) knead, mix (with water)","\Iphommā\i (\Iphondu\i) to rub (oil)",   0,"",   0,"",   0,"",   0,""
 739,"*phə̀k (/*ʔp-)", 338,"leaf","sa-pha","","\Ipho\i","\Iphekwā\i",1304,"\Ipho\i", 955,"\Ibɔwa,\i \Isī-bɔ\i",  71,"\Iaʔwa\i",  56,"Khaling sa-phɔ-m 'leaf' has a not quite clear -m (contamination with \Isɔphu-lem\i 'dry leaf' ?)"
 740,"*phum",   0,"leaf  (in the comp. \I*saŋphum\i, see \I*saŋ\i)","\Isapha\i","\Iseblam\i leaf, paper","\Isɔpham\i leaf, \Isɔphu-lem\i dry leaf","",   0,"",   0,"",   0,"",   0,"In T, besides \Iseblam\i, cf. also \Isöpsürü\i fallen leaves  (< \I*saŋ-phum-c\L1\lə̀\i  +  \Irü\i stalk of leave)"
 741,"*phrók (? /-ŋ; /ʔp-)",   0,"loosen","\Iphrāk-si-ca\i to separate","\Iphro(t\i)- undo, loosen, take off, \Ibro(k)si-\i become loose (as waistcloth etc.)","\I'phronä\i (\I'phrogu\i) to untie","",   0,"",   0,"\Iphɔmcima\i",1067,"",   0,"Toba 92 *phroC-."
 742,"*phlàn (/ʔp-)",   0,"loosen","\Iprõj-ca\i release","","\Iphlajnä\i (\Iphlandu\i) to take off (clothes), untie","\Iphemmā\i (\Iphendā\i) get loose, \Ipendemā\i to unloose, \Ipendebā\i loose",1308,"",   0,"",   0,"\Iimma\i (?)", 424,""
 743,"*phàttok",   0,"a measure","","\Iphatu\i volumetric  measure","\Iphatu\i bamboo container with lid","",   0,"",   0,"",   0,"",   0,""
 744,"*phòl", 222,"mix","","\Iphol-\i stir","\Iphwɔlnä\i (\Ipholu\i) mix, stir, beat","\Iphupmā\i (\Iphuttu\i) mix",1387,"",   0,"\Iphəlma\i",1062,"\Iphu:ma\i 'stir'",1186,""
 745,"*phì(s)",   0,"rot","","\Iphis-\i go bad","\Iphinä\i (\Iphi\i) get stale, rotten","\Iphīmā\i (\Iphīrā\i) to rot",   0,"",   0,"",   0,"",   0,""
 746,"*phét(s)",   0,"spread, scatter","","\Iphet-\i serve out (helping of meal)","\I'phennä\i (\I'phehtu\i) spread, distribute, serve out (food)","\Iphepmā\i (\Iphessu\i) spread out",1306,"",   0,"",   0,"\Iphe:ma\i",1164,"Toba 95 *'pheC-."
 747,"*Pét  /  *Pén", 392,"sprinkle","","","\I'phennä\i sprinkle (EKg)","\Iphimmā\i (\Iphindu\i) id.",1325,"",   0,"\Ipaima\i 'leak, drip'", 982,"\Ipiʔma\i 'to well up'",1103,"Van Driem gives the Limbu meaning as 'strangle; squeeze'; but cf. cōʔcōʔ phimmaʔ."
 748,"*phrä́p",   0,"scratch","","\Iphrap-\i","\I'phrämnä\i (\I'phräptu\i)","",   0,"",   0,"",   0,"",   0,"Toba 95 *phräp-. Cf. *prä̀m."
 749,"*phèŋ(-s)", 291,"send","","","\Iphunä\i (\Iphiŋu\i) send; order","\Iphɛmmaʔ,\i \I-phɛnch-/-phɛn-\i",1310,"\Iphiŋnɨ\i", 938,"",   0,"",   0,"Toba 95 *phV- (confused with *bhúk-s)."
 750,"*phák", 271,"separate, divide","","\Iphɔk-\i divide up","\I'phɔnä\i (\I'phɔgu\i) separate, divide","",   0,"",   0,"",   0,"\Iphakma\i 'separate'; phäkma 'to divide, separate a little'",1134,""
 751,"*phèr (/*ʔp-)",  11,"sew","\Ipher-ca\i","\Iphir-\i","\Ipher-nä\i (\Ipheru\i)","",   0,"",   0,"\Iburma\i 'sew, stitch'; \Ipurma\i 'spin a thread into a cord'",  88,"",   0,"Toba 95 *phVr-."
 752,"*phä̀r", 187,"side","","\Iphar\i side, bank (of river), base (of tree, cliff), quarter (of vilage)","\Iphär\i bank; near, close, part of plant closest to the ground","",   0,"\Iphār\i", 929,"",   0,"",   0,""
 753,"*bhu (// *ʔpu)", 287,"snake, worm","\Ibussu\i snake","\Iphucü\i crawling insect","","\Ikubu\i a worm wich eats wood, \Itāŋ-bū\i   blind snake",   0,"\Ibhuskam,\i \Ibhusum,\i \Ibhusuŋ,\i \Ibhucaʔa\i", 139,"\Ibɔ̄sma\i 'k. of insect'; pu 'snake', \Ipuchɔ\i 'worm'",  69,"\Ipu-ǯik\i 'bug, insect or worm', pu-sä:ʔ 'snake'",1121,"Sunwar, Tulung, Dumi and Kulung reflect a compound with *-c\L1\lə."
 754,"*phòm(V) (/*ʔp-)", 230,"snow","\Iphū̃\i","\Iphomu,\i \Iphəmu\i","","\Ipho-na\i hailstone",1361,"",   0,"",   0,"\Iom\i", 989,""
 755,"*phíp",2671,"suck","","\Iphip/\i\Im-\i","\I'phamnä\i (EKg)","\Ipipmā\i (\Ipittu\i)",1208,"\Iphipnɨ\i 'suck'; \Ipɨpnɨ\i 'squeeze, wring out'", 941,"\Iphimma\i",1066,"\Iphi:pma\i",1175,""
 756,"*phə̀ŋ(V) (/ *ʔp-)", 440,"uncle","","\Iphaŋā\i uncle","\Iphoŋ\i (term of address for rewlatives of paternal grandfather)","\Iphaŋā\i uncle",   0,"",   0,"\Ibɔŋ\i",  61,"",   0,""
 757,"*phì (/*ʔp-)",   0,"beg","\Ipũj-ca\i beg, request","\Ibi-\i ask for, beg, \Ibit-\i importance","\Iphinä\i (\Iphiŋɔ\i) beg, \Iphipä\i beggar","",   0,"",   0,"",   0,"",   0,""
 758,"*Kám-",2119,"cloud","\I'gossu\i","\Ikhase\i","\Iköm\i","\Ikhāpmī\i (cf. also \Ikhāmedombā\i fog)",2195,"\Ikɨ́-hɨm\i", 429,"",   0,"\Ikhimmiʔma\i", 623,"For S \I-su,\i T \I-se\i cf. also T (aug.) \Imuse\i cloud. Toba 88 *köm."
 759,"*[ph]éK",   0,"comb wool","(\Ikheber\i) \I'pajk-ca\i","","\I'phenä\i (\I'phehtu\i)","",   0,"\Iphāknɨ\i 'scrape'?", 927,"",   0,"",   0,""
 760,"*phréC",   0,"scatter","\I'phra-ca\i scatter, spread out","\Iphrēt-\i economise, spread thinly (when plating seedlings)","\I'phrenä\i (\I'phrehtu\i) spread out seedlings","",   0,"",   0,"",   0,"\Iri:ʔma\i 'spread out; plant seedlings'",1261,""
 761,"*CuCu",   0,"sharp, pointed","\Icuce\i","\Iʒüʒü\i tip, top,\Iʒüʒüm\i (AS) sharp","\Ichuchumim\i tipped","",   0,"\Icō\i 'top, peak' (?)",1414,"\Ichɔ\i 'top', (Toba) \Ichuchuppa\i 'sharp'", 202,"",   0,"Toba 95 *chu. Cf. *cù 'thorn'."
 762,"*[d]Vp / *[d]Vm",1090,"taste (eat sample)","\Itham-ca\i","\Idöp-\i","\I'dämnä\i (\I'däptu\i)","",   0,"\Idāpnɨ\i", 154,"\Idamma\i", 236,"",   0,""
 763,"*pə́k ( ~ b(h)-)", 280,"knock, slap, break","","","","",   0,"",   0,"\Ipāma\i", 996,"\Ipäkma\i 'hit with a small stick'; peel, chop off'",1060,"Cf. *phə́k."
 764,"*phulV",1693,"worm, snake","","\Iwacipula\i earthworm (cf. also \Iblo\i snake)","\I-phul\i in \Iwɔsphul\i earthworm (ср. \Iwɔs\i a rate for the worship of the earth)","",   0,"",   0,"",   0,"\Iphi-ba\i 'bugs or worms in dung or spoilt food' (?)",1165,"Toba 96 *bhlu (confused with *bhén)."
 765,"*mer",  76,"ripen","","","","\Imĕmā\i (\Imĕrā\i)  become fat", 783,"",   0,"",   0,"",   0,""
 766,"*jaŋ",1428,"light, lift up","","","","\Ijɔŋmaʔ,\i \I-jɔŋ-\i 'lift up', \Ijɔŋjɔŋ\i 'lightweight'",2107,"",   0,"",   0,"\Ijaŋma\i 'to carry in hand'",1843,""
 767,"*n[u]", 593,"milk, breast(s)","","","","nu",1068,"\Inim\i ( < \I*nu-mV\i)", 787,"",   0,"\Inua\i", 961,""
