NUMBER|PROTO|MEANING|PRNUM|GOT|ONORD|NORW|OSWED|SWED|ODAN|DAN|OENGL|MENGL|ENGL|OFRIS|EASTFRIS|OSAX|MDUTCH|DUTCH|OLFRANK|MLG|LG|OHG|MHG|HG|NOTES
1108|*ginxti-z, *ganxti-z, *ganxtō; *ganga-z; *gangian- vb., *gangan- vb.; *gungVn- vb.; *gangia-n; *gangia-; *gangula-, *gangila-|go|1672|gaŋgan st. `go'; *gaŋg n. `way'; *fram-gāht-s f. (i) `progress'; fɔra-gaŋgi n. (ja) `administration', *fɔra-gaŋgja m. (n) `steward'|gang-r `Gang'; ganga (gekk) red. `gehen'; gātt f. `Türöfnung, Türrahmen', gengi n. `Begleitung, Gefolge, Hilfe'; geng-r `gangbar, geläufig', gɔngul-l `der viel zu gehen hat'|ganga vb.; gang; gɔtt  `Falz, Fuge im Rahmen'; gjenge|gänge; gänger adj.|gɔnga vb.; gɔng; dial. gɔt `Falz'|gange vb.; gang; gänge sbs.||-gīht `Gang'; gang `Gang'; gengan; gangan; genge `passend, geeignet'; gangol, gengel adj.||gang|gong; gendze adj.||gangan (gēng); gang; gigengi `Reihenfolge'|ganc; ganghen; genge, ginge, gange adj.|gang m.|gang|||gangan (giang) (8.Jh.); gang (8.Jh.); zi-gengen (um 1000); gengi `gangbar, gebräuchlich'; -gengil adj.|gangen st.; { gīht `Gang, Reise' }; ganc (-g-) st. m. `Gang'; gɛngen wk. 'gehŋ lasen; losgehen'|Gang m.|
1109|*gitan- vb., *gatjan- vb.; *gēta-n, *gētōn- vb., *gētian- vb.|get, receive|1673|bi-gitan st. `find'|geta st. `schaffen, erreichen, erzeugen; lernen; nennen; vermuten'; get n. `Vermutung, Argwohn'; geta f. `Erwähnung, Vermutung'; gātn. `Speise', gāta f. `Rätsel, Vermutung', gǟta vb. `achtgeben, aufpassen, beobachten'|gjeta vb.; gɔt `Aufmerksamkeit'; gɔta f.; gjäta vb.||gitta vb.; gɔta sbs.; dial. gäta vb.||gide `mögen'; gɔde sbs.; gäte vb.|gietan `erhalten, erzeugen'; bigietan `erhalten, erzeugen', for-gietan `vergessen'; and-giet `Verstand, Sinn'||forget, beget|||bi-getan `ergreifen', far-getan `vergessen'|verghēten|vergeten||vor-gēten; vorget||geʒʒan `erlangen' (8.Jh.), fir-geʒʒan `aus den Gedanken verlieren, vergessen' (9.Jh.), ir-geʒʒan `vergessen'; bi-geʒʒan `erhalten' (8.Jh.); ir-gezzen (um 1000) `vergessen machen'|vergëʒʒen st. 'aus den gedanken verlieren, vergessen', ergeʒʒen st. 'vergessen'; ergɛtzen wk. 'vergessen machen, entschädigen'|vergessen, ergötzen|
1110|*kwartar=, *kurtVr=|herd|1674||||||||corδer `Herde'|||||||||||kortar `Herde'; quartar `id.'|quarter (/ korter, korder) st. n. 'herde'||
1111|*krimman- vb., *kramō, *kramjan- vb., *krummōn, *krummiōn, *kramōn- vb.|press, squeeze|1675||kremja wk. `drücken, klemmen', krɔm f. `langwierige Krankheit', krumma f. `gekrümmte Hand', krümma f. `Hand' (poet.)|dial. krama `vollstopfen'; krumma f.|krama `mit der Hand drücken, hart umfassen'||||crammian `vollstopfen, anfüllen'; crimman `instoppen'||cram||Fris crame `kram, haak'||cramme; crimmen `met de klauwen grĳpen'|kram f.||kremmen `met de klauwen grĳpen'||krimman (kramm) `drücken, mit den Klauen packen, kneifen'; ga-krumman `refertim'|krimmen, grimmen st. 'die klauen zum fange krümmen, mit gekrümmten klauen od. fingern packen, verwunden, verwunden, kratzen, kneifen, reissen'||
1112|*kirran- vb., *kērian-, *kirran- vb., *karrōn- vb.; *krējan- vb.; *krējō, *krēwō, *krēxō|crow|1676||kǟra wk. `Klage führen, anklagen'|kjära vb.; dial. karra `girren, gackern'||kära vb.||käre vb.|ceorran `knarren', ceorung `Klage, Murren'; 1) crāwan st.; 2) crāwe||1) crow; 2) crow|||1) krāen; 2) krāia, krāa|kerren `knarren'; 1) craeyen, crāyen; 2) craeye, crāye|1) kraaien; 2) kraai f.||kerren, karren `knarren'; 1) kreyen, kreigen, krēgen; 2) krā, kreye||c(h)rōn 'geschwätzig', c(h)rōn(n)an 'schwatzen, plaudern'; kerran st. `schreien, grunzen, wiehern, rauschen, knarren'; 1) krāen (um 800); 2) krāwa (10.Jh.), krā, krāja, krāha (9.Jh.) `Krähe, Kranich, Star'|krǟjen, krǟn wk. 'krähen'; krā, krāe, krāwe, krǟje, kreie, krowe, krɛwe wk./st. f. `krähe; kranich; star'|krähen; Krähe|
1113|*krītan-, *krīskan-, *krīstan- vb.|shout|1677||||||||||||||crīten; crīscen, crĳsscen st./wk. `krĳsen, knarsen'|krĳten; krĳsen||krīten `schreien, heulen'; krūschen, krīsken wk.|||krīschen st. 'kreischen'; krīʒen st. 'scharf schreien, kreischen, stöhnen'; krīsten st. 'stöhnen, ächzen'|kreissen (*st.); dial. kreisten; kreischen (noch im 19.Jh. st.)|
1114|*sirki-z|hauberk|3211||{ serk-r '(Panzer)hemd' }||||||sierc(e) '(Panzer)hemd'||||||||||||||
1115|*krēka-z, *krēkōn, *krēkatjan- vb., *krēkōn- vb.|raven|1679||krāka `Krähe', krāk-r `Rabe'||||||crācettan||croak `wie ein Rabe schreien'|||||||||||bair. krack `Krähe, Rabe'|
1116|*karkian- vb., *krakōn- vb., *kurkōn- vb.|shout|1680||||||||cracian, cearcian `erschallen'||crack, chark||||crāken|kraken||krāken, kracken, krachen|westf. kurken|krahhēn (um 800), krahhōn (10.Jh.) `krachen'; krah, krac (10.Jh.)|krachen wk. 'krachen, krachend brechen; krach st. m. 'knall, schall, krachen; riss, sprung'|krachen; Krach m.|
1117|*karma-z|basket|1681||karm-r m. `Bretterwand, Brustwehr'|karm `Holzrahmen'||karm `Brustwehr, Wagenkorb'||karm `Brustwehr, Wagenkorb'|||||||||||||||
1118|*kringan- vb.; *kringa-z, *kringalōn, -a-z, -a-n; *kranga-, *krangōn-; *krink=, *krank=; *kránxō/*krangṓ|ring, winding|1682||1) kring-r `Ring', kringla f. `Kreisring'; kranga wk. `sich mühsam fortschleppen'; krang-r `schwach, hinfällig'; 3) krā, krō f. `Winkel'|1) kring `Kreis'; 2) krenkja `verenken'; 3) krɔ, kro||1) kring; kringla||1) kringle sbs.|1) cringan `fallen'; 2) cranc-stäf `ein Webegerät', crencestre; 3) crōg, crōh `Ecke'|2) crinkled `gedreht'|crink, crank, crinkle||||1) crinc; 2) cronkel, crunkel; crinkelen `in een kring plaatsen; krullen'; 3) krōch `eingehegtes Land'|1) kring m.; 2) kronkel m. `Windung, krumme Falte', krinkel m. `Schlinge, Falte, Runzel'||1) krinc; 2) krunke `Falte, Runzel, Krause'|||1) krinc, gen. -ges st. m., kringe wk. m. 'Kreis, Ring, Bezirk'; kranc, gen. -ges st. m.  'Kreis, Umkreis'; krangel st. m. 'kreis, kranz'; kringel, krëngel st. m., n. `kreis; bretzel'|1) dial. Kring(e) ; Kringel m.; schweiz. chrangel `Krümmung'; 2) schweiz. { chrank }|
1119|*snuk=|snout|3201|||||dial. snōk 'Maul, Schnauze, Rüssel'|||||||||||||||||
1120|*kribjōn, etc.|crib|1684||||||||crybb (cribb) `Krippe'||crib|kribbe||kribbia `Krippe'|cribbe, crebbe|kribb, kribbe f.|||krübbe|krippa (8.Jh.) `Krippe'; kripha wk. (9.Jh.)|kripfe, krippe st./wk. f. 'krippe'|Krippe f.; schweiz. krüpfli `Krippe', alem. chrüpfe|
1121|*krimpan- vb., *krampian- vb., *krampō, *krimpian-; *krumpiōn; *krumba-|press, twist, crooked, uneven|1685||kreppa wk. `klemmen, zusammendrücken, krümmen'; ptc. kroppin-n `zusammengeschrumpft'; kropna wk. `zusammenbiegen'; krüppil-l m. `Krüppel'; krüppa f. `Buckel'|kroppen; kropna vb.||dial. krumpen `vor Kälte erstarrt'; krümpling `Krüppel'; krumpna vb.; krümpu `kleine gekrümmte Figur'||krumpen `zusammengeschrumpft'|crompeht `folialis'; crump `gekrümmt'; crumb `krumm'|crempen|crimp; cramp|||kramp(o) `Krampe, Krampf'; crumb `krumm'|crimpen `krimpen; doen krimpen'; crampe, cramp m. `kramp; haak, kram'|krimpen; cramp f.||krimpen `sich zusammenziehen, schrumpfen'; krampe `Haken'||krimphan `zerreiben' (8.Jh.); krampf `gekrümmt', { krampft }, krampho m. `Klaue, Haken, Krampf', kramph (14.Jh.) `Haken, Krümmung, Krampf'; krumpf `gekrümmt'; krump `krumm'|krimpfen, grimpfen st. 'krumm od. sich krampfhaft zusammenziehen'; krimpf 'krumm, eingeschrumpft', krimpf st. m. 'Krampf'; krempfen wk. `zusammenziehen'; krampf st. m. 'krampf; kruste'|Krampf m.|
1122|*krawil=, *krauwōn-, etc.|scratch|2870|||||||||||krāwia `krauen', (up)krawa `zich (naar boven) ombuigen'||krauwil `Gabel mit krallenförmigen Zinken, Kralle Zacken'|crauwen, crouwen `krauwen, krabben'|krauwen `krabben'; krauwel m.||krouwel; krauwen||kreuwil, krouwil (um 1000) `Haken, Kratze, Kralle, Gabel mit gebogenen Zacken'; krouwōn (11.Jh.), krouwen (8.Jh.) `kratzen'|krouwen, krowen, kräwen wk. 'kratzen; juckend kratzen; kitzeln'; kröuwel, krewel, kreul st. m. 'kräuel, gabel mit hakenförmigen spitzen; klaue, kralle'|Kräuel `Haken, Kratze, Kralle'; krauen|
1123|*kriukan-/*krūkan-; *kruki-; *krauka-|fold, wrinkle; crawl|0|||krjuka, krauk `sich zusammenziehen, kriechen'; krūka `sich niederkauern', krūk `rundrückig; der obere Teil des Rückens'|||||||||||2) kroke `Runzel, Falte'; 3) crooc `Haarlocke'|2) kreuk `Runzel, Falte'||||1) kriohhan (8./9.Jh.)|1) kriechen st. sich erziehen, schmiegen; kriechen, schleichen'; { 2) krauchen `sich ducken, schlüpfen, kriechen', krauch `Wegebiegung' }|kriechen, krauchen|
1124|*keina-z, -n|splinter|1687||||||||cēn `Fackel aus harzreichem Nadeholz'|||||||kien n.||kēn||kien (8. Jh.) `Kienspan, Fackel, Kiefer'|kien st. m., n. 'kien; kienspan, -fackel, fackel'|Kien m.|
1125|*krūpan-/*kriupan-; *kraupian-; *krupil=|crawl, bough|1686||krjūpa st. `kriechen'|krjupa vb.; kröjpa `krümmen'; krüpel `schwache elende Person'||krüpa vb.||krübe vb.|crēopan; cryppan `beugen, biegen'; crypel `Krüppel'|||kriāfa|||crūpen|kruipen; kreupel|criepan|krūpen; kroppen `krummbiegen'; kröpel||||{ sich krüpfen } `sich krümmen', schweiz. chrüpfen `etwas so biegen, dass es eine rundliche Vertiefung bekommt'|
1126|*karska-, *karskia-, *karskiōn|fresh, quick|1688||karsk-r `rasch, mutig', kersk-r `lebhaft, munter', kerska f. `Fröhlichkeit, Kurzweil'|karsk||karsk|karsk|||||||||||kask, karsch `munter, frisch'|||karsch adj. 'frisch, munter'|dial. karsch `frisch, munter'|
1127|*kirVla-z, *karila-z|man|1689||karl m. `Mann, alter Mann; Untertan'|kall, kar|Run. karilR|karl `Mann, Kerl'||karl `Mann, Kerl'|ceorl `freier Mann der niegrigsten Klasse, hemann'||churl `Bauer, Tölpel'|tzerl, tzirl `ondergeschikt persoon'|||kērel, kerl, caerl `vrĳ man, die niet tot de ridderstand behoort'|kerel m.||kē̆rl(e) `freier, gewöhnlicher Mann, kräftiger Mann'||karl (8.Jh.) `(Ehe)mann, Gelibter, treuer Mann'|kërl(e), karl(e) st./wk. m. 'mann, ehemann, geliebter'|Kerl m.|
1128|*gira-, *girja-, *girna-, *girnian- vb.|wish, desire|1690|gernī f. (n) `wish, desire', *fɛhu-gɛrn-s (a) `avaricious'; *gɛrnjan wk. `desire, lust after'|gjarn adj. `begierig', adv. gjarna, gjarnan; geri m. `Wolf, Hund, Rabe', ger-r `begierig, hungrig'; girna wk. `gelüsten'|gjerna adv.|girna vb.; grādh|gärna adv.|girne-s vb.|gerne adv.|georn `wozu geneigt, worauf begierig', adv. georne; giernan||yearn|adv. jerne; ieria vb., OWFris (bi)iaria||gerag `gierig'; gern `begierig, eifrig nach etwas', gerno adv.; fehu-giri; girnian|gherne, gheerne, ghaerne `begerig, ĳverig, gemakkelĳk, vaak'; ghēren, beghēren, begāren|gaarne adv.; begeren|geron|adv. gērne; gēr, gīr adj.||giri (8.Jh.), ger `begierig, verlangend' (9.Jh.), gerōn `begehren' (8.Jh.); girī (8.Jh.) `Begierde', girīg `begierig, begehrlich' (9.Jh.); gern(i) `etw. begehrend, eifrig bedacht' (9.JH.), adv. gerno (9.Jh.)|gërn(e) adv. 'begierig u. mit freude, bereitwillig, gern'; { -gern adj. }; gërn wk. 'begehren, verlangen'; gër, gir st. f. 'verlangen, begehren'; gir, gër `begehrend, verlangend'|gern, begehren, Gier f.|
1129|*grḗwa-|grey|1692||grā-r `grau; boshaft, feindlich'|grɔ||grɔ||grɔ|grǟg, grǟw||grey, gray|OWFris grē||grā, grē-|grā, grau `grĳs, grauw'|grauw||grā, grāwe||grāo, gen. grāwes (9.Jh.)|grā (gen. -wes) 'grau, bes. altesgrau'|grau|
1130|*kirban- vb.; *kur[b]i-; *kribVlVn-; *krabbōn-|scratch, make cuts, notches|1694||NIsl krabba `kruipen'|krabba `kruipen'||krabba `kruipen'||krabbe `scharren, graspen'|ceorfan (corfen) `schneiden, kerben'; cyrf f. `Schnitt'||carve, carven||||kerven; cribbelen `knibbelen, afdingen'; crabben `krabben, kakélen'|kerven; kribben, kribbelen `kritzeln'; krabben||kerven; karven; krabben `kratzen, ritzen, schaben'|kribbeln|kerban `inschnitte machen, schneiden'|kërben wk. { ptc. gekurben } `einen Einschnitt machen, aufs Kerbholz einschneiden, feststellen'; kërbe wk. f., kërp (-b-) st. m. 'einschnitt, kerbe; kerbholz; eine art dachziegel'; kribeln 'kitzeln'|kerben; Kerbe f., { Kerb }; kribbeln|
1131|*ū̆wwVlōn|owl|3243||ugla f. `Eule'|u(g)la||uggla||ugle|||owl|||ūwila|ūle|uil f.||ūle||ūwila (9.Jh.) 'Nachteule'|iuwel, iule wk. f. 'eule'|Eule f.|
1132|*ϑauska-n, *ϑusk=, *ϑiustVn- vb., *ϑusja-z, etc.|shout, noise|3238|ϑüs-s m. `Lärm, Aufruhr'|ϑausk n., ϑausn f. `Lärm, Unruhe', ϑüs-s m. `Lärm, Aufruhr'|tusk `Lärm'; tjosta `stöhnen, krachen'||||||||||||||||thōsōn `brausen (vom Wind), rauschen, lärmen' (10.Jh.),|dōsen wk. 'tosen'|tosen|Contaminates with *ϑausōn- q.v.
1133|*gurst=|a plant|1696||||||||gorst `Steckginster' (колючий дрок)||||||||||||||
1134|*kla[f]ēn m.; *klupjan-; *klēftrō|hold, clench|1697||klafi m. `Kloben; Halsjoch für Tiere; Packsattel'; klǖpa 'include, comprise, squeeze, pinch'|klave `Halsholz für Tiere'||klave `Halsholz für Tiere'||klave `Halsholz für Tiere'|clyppan `umarmen'||clip; clasp|kleppa `umarmen'||||klaaf f. `halshout van het vee, om het aan de stalpalen vast te zetten'||klachter; klāve `Halsjoch für Kühe'||klāftra `Mass der ausgespannten Arme, Längen- und Geviertmass' (9.Jh.)|klāfter st./wk. f. 'mass der ausgebreiteten arme; klafter als längen- u. geviertmass'|Klafter m., n.; swchweiz. Chlupfel `Arm voll Heu, Bündel'|
1135|*klampō, *klampa-z; *klump=; *klimpa-z, -ō; *klimpan-|log, block|1698||klepp-r m. `Klumpen', klɔpp f. `Brücke von Holzbohlen'|klepp `Klumpen; Bergkuppe'; klopp `hölzerner Steg in einem Morast'|klimper `Klumpen, Kloss'|klimp `kleiner Klumpen'; klappersten `rundliche Steine zum Pflastern'|klimp `kleiner Klumpen'||clympre `Metallklumpen'||clamp; clump|klumpa m. `klomp, kluit'|klimpe `vonder'||clampe f.? `klamp, haak'; clompe m. `klont, kluit; blook waarin de voeten van de misdadiger gesloten worden; klomp (als schoeisel)'|klamp m., f.; klomp n.||klampe f. `Haken, Spange, Steg über einen Grabe'; klumpe, klompe f. `klomp, holsblok'|klimpe `heuvel', klimp `kleine felsige Anhöhe', klamp, klampe `Klumpen, Klotz'; klump `Klumpen, Klotz, , Haufe'|klampfer `Klammer'|klimpfen st. 'fest zusammenziehen, zusammendrücken, einengen'; { klumpe }|[ Klump m., Klumpen m. < LG ]; bair. Klampfe `klamp, klem (van timmerlieden)'|
1136|*klam=, *klum=|crumpled, etc.|1699|||dial. klumra `mit steifen und gefrorenen Händen arbeiten'||klumsen `steif vor Kälte'||jüt. klummer `drückend'|clam(m), clom `fester Griff, Kralle, Klaue, Fessel'; beclemman||climb|||bi-klemmian `einschliessen'||klam m., f. `spie, keg, werktuig van houtzagers'||klamme; klam `eng, fest zusammenhaltend, vor Kälte erstarrt'||klam m., klamma f. `Klemme' (11.Jh.); klimban '(er)steigen' (9.Jh.)|klam (-mm-) st. m. 'krampf; klemme, beklemmung, haft, fessel, klammer; bergspalte, schlucht', klambe, klamme st. f. `fessel, klammer', klemde, klemme st. f. 'klemmung, einhegung', klem 'enge, knapp, mangelnd'; klemmen wk. `mit den Klauen packen, einzwängen, kneipen'; klimmen, klimben intr. `steigen, klettern', tr. `erklimmen, zwicken, kneifen, packen'|Klamme, Klamm f.; obd. klamm `eng'; klemmen, Klammer, klimmen, beklommen|
1137|*klēma-, *klama-|slippery|1700||klām-orδ `Schimpfwort', klām-hɔgg `Schandhieb'|klɔmen `feucht, klebrig'|||||||clammy||Fris klam `klam, vochtig'||clam `feucht, klebrig'|klam `feucht, klebrig'||klam 'eng, fest zusammenhaltend, vor Kalte erstarrt'|ostpr. klamm `klebrig, feucht'||klam 'enge, dicht, gediegen'|klamm|
1138|*klajjá-; *klĳ=; *klīnian-, *klinan- vb.; *klaima-; *klaiwa- etc.|to stick; clay|1701||klina wk. `schmieren'; kleima w`schmieren'|k. klina vb; dial. kli `Schlamm, Lehm'; kleina `zukleben, besudeln'; kleima `schmieren'||dial. klina vb.; klena `kleben'; klema `liebkosen'|klene `kleben, schmieren'|kläg `zäher, fetter, lehmiger Schlamm'|clǟg `Leim'; clām `klebriger Stoff, Leim'; clǟman `schmieren'; clite `Leim, Schlamm'; cläfre, clafre||clay; clover|klāy||klē|clei; cleem, clēmen; clāver(e), dial. klever|klei f.; klaver f.||klei; klēmen; klēver, klāveren; klīe, kleye|klever|klenan st. `kleben, schmieren'; klemen `leimen'; klēo (10.Jh.), { klē } `Klee'; kleimen; kli(w)a (9.Jh.)|klē, gen. -wes st. m., n.; klīe, klīwe, klīge wk. f. 'kleie'|Klee m., Kleie f.|
1139|*kalan- vb.; *kali-; *kalda-; *kaldī(n); *kōlia-; *kulidēn; *kaldō; *kuli; *kulja-z; *kōlian- vb.|cold, freeze|1703|kald-s (a) `cold'|kala st. `frieren, kalt machen'; kald-r `kalt'; kuldi m. `Kälte, Feindschaft'; kɔld f. `Panzer (ϑula)'; kul n. `Windstos', kül-r m. `Kälte' (poet.), kȫla wk. `abkühlen'; kelda f. `Brunnen, Bach'|kald adj.; kalen `erfroren'; kulde; kul `Brise'; kül `kalter Wind, Frostperiode'; kjöla vb.; kjelda||kall adj.; dial. kala `sanft wehen'; kul `Brise'; küla vb.; källa||kold adj.; kulde; kjöle vb.; kilde|calan `kalt s., frieren'; cile, cele, ciele, cyle `Kälte'; ceald, cald; cōl||chill, cold, cool| kald adj.; kelde, kalde||kald adj.|cout adj.; coude f., n., kelde; coel adj.|koud adj.; koude f.; koel||kōlt adj.; kōlde, kōld; kȫl adj.||kalt (9.Jh.); chaltī; kuoli (um 1000)|kalt 'kalt'; küel(e) 'kühl, kalt'|kalt, Kälte; kühl|Finn kaltio `Quelle'
1140|*klakēn|frozen ground|1704||klaki m. `gefrorener Boden'|klake||dial. klake||dial. klage|||||||||||||||
1141|*glanōn-, *glana-n, *glanniōn, *glintan- vb., *glantian- vb.; *glanta-; *glantiō|shine, look|1706||gletta-st `reizen, necken', gletta f. `Spott, Neckerei'; glenna f. Öffnung, Zwischenraum'; NIsl glan `Glanz', glana wk. `sich aufhellen'|dial. gletta `gucken'; dial. gletta `Neckerei'; glette `klarer Fleck am Himmel'; dial. glenna `Zwischenraum, Lichtung'; glan, glenna `Öffnung zwischen Wolken'; dial. glana `schimmern, leuchten; neugierig anstieren'||dial. glänta `hervorschimmern, ein wenig öffnen', dial. glänta `kleine Öffnung'; glänna `Lichtung'; dial. glana `schwach leuchten, stieren'||dial. glenne `Lichtung'||glenten `een blik werpen'||glana `die glänzende' in ON||||||||glanz `hell, glänzend' (10.Jh.); glenzen (um 1000) `Glanz hervorbringen, leuchten'; glanz (12.Jh.) `Schimmer, Leuchten'|glinzen st. `schimmern, glänzen'; glanz `hell, glänzend'; glɛnzen wk. `glanz hervorbringen, leuchten'; glander `glänzend, schimmernd'; st. m., n. `Glanz, Schimmer'; glɛnz, glɛnze st. m., n. 'frühling'|Glanz m.|
1142|*glōs=, *glōzōn-; *glása-n/*glazá-n; *glēz=, *glōsōn- vb.|glare; glass|1707||gler n. `Glas'; glȫsa `glänzend m., verzieren'; elds-glōr n. `Feuerglanz'; NIsl glōra `schwache Schimmer'|gler `glatte Oberfläche, bes. von Eis'; dial. glōs `Anblick, Schauen, Fisch mit grossen Augen', glōsa `funkeln, leuchten, blicken, nach etwas sehen'; glora `scheinen, stieren'|glar `Glas'|glos-ögd `glotzäugig'; dial. glora `schwach scheinen'|||glas, gles n. `Glas', glǟr `barnsteen, hars'|glaren `glänzen'; glōren `anstieren'|glare; glass|||glaso `Grauschimmel'; glas, gles `Glas'; glēr `Harz'|glas n.; glaren; gloren `glimmen, anbrechen (vom Tag)'|glas n.; zuidnl., vlam. glariën `glinsteren, schitteren'||glaren `glänzen, glühen'; glār `Harz'; glas `Glas, Trinkgefäss, Stundenglas'|gloren `glühen, schwach leuchten'|glas `Bernstein, Glas' (um 800)|glas st. n.;  glast st. m. `Glanz'|Glas n.|Lat.-germ. glēsum `barnsteen'
1143|*glĳēn- vb.; *glīm=, *glaim=, *glim=; *glīt=, *glit=, *glīn=, *glaim=|gleam, glare|1708|*glit-munjan wk. `gleam'|gljā wk. `glänzen'; glita, glitra `glitzern', glit n. `lanz'|glɔ vb.; dial. glīna `glänzen, stieren'; glīma `schimmern'|glīma `glänzen'|glina `lächeln', glena `leuchten, scheinen, sich aufklären, lachen', glimta `schitteren', glina `glimlachen', glena `ophelderen, lachen', glimma `glänzen'; glimra; dial. glia vb.|glimme `glänzen'|glimte `schitteren'|glǟm `Glanz'; glitenian; glōm, glōmung 'Dämmerung'||gleam, glimmer, glimpse; gloaming|glīa `glühen'||glīmo `Glanz'; glītan `gleissen'|glimmen `glimmen, schiteren, aanbreken (van de dag)'|glimmen||glimmen `gloeien, glinsteren'; glīssen||glīmo (9.Jh.), gleimo (10.Jh.) `Glühwürmchen'; glīʒan (9.Jh.) `glänzen'; gliz `Glanz, Blitz', glizemo `id.'; glizzinōn (9.Jh.)|glīmen st. `leuchten, glänzen', glimmen st. `glühen, glimmen', glimsen wk. 'ds.'; glīʒen st. 'glänzen, leuchten, gleissen'; glitzen wk 'glänzen'; glīme, gleime, gleim wk. m. 'glühwürmchen'|glimmen, glimmern, gleissen|
1144|*galtu-z, *galtēn, *galtiō; *gulti-z, *gultiō|boar, sow|1709||gɔlt-r m. `Barch, verschnittener Eber', galti m. `id.', gült-r f., gülta f. `Sau'|galt, galte; gült, dial. gülta||galt; dial. gülta||galt; dial. gült|gielte `junge Sau'; gealt-borg `Schwein'||gilt||||ghelte `gesneden zeug'|gelte f. gesneden zeug', dial. `zeug, jonge zeug'||gelte `verschnittenes Mutterschwein'||galza, gelza f. `jonge zeug'|galze, gɛlze wk. f. 'verschnittenes schwein'|{ Gelze }|
1145|*galan-; *gala-; *gōlian-; *galma-z; *gildra-, *galdra-|shout|1710|gōljan wk. `greet'|gala `singen, schreien; Zauberformeln hersagen', Run. Norw g[a]landi `schreiend'; gȫla wk. `vergnügt m., trösten'; gōla wk. `heulen, schreien'; gald-r m. `Zauberlied'; gal-l `hell tönend'|gala vb.; dial. gjöla `schmeicheln, locken'; galder; gallskrika `laut schreien'|galder sbs.; gall `Schrei, Lärm'|gala vb.; dial. galma `schreien'||gale vb.; gal `verzaubert, gehext'|galan `singen; incantare, behexen, bezaubern'; gealdor n. `Zauberlied'|||gēla `verfolgrn'||galan `singen; incantare, behexen, bezaubern'; galm|galm; galen `lawai maken'|galm m.|galen `bezweren, betoveren'|||galan `singen; incantdre, behexen, bezaubern'; guollīh `prahlend', urguol `berühmt'; galm `Schall, Ton, Lärm, Geräusch'; galdar, kalter n. `Zauberlied'|galm st. m. 'schall, ton; lärm, geräusch', gëlm st. m. `schall, laut'||
