"NUMBER","PROTO","MEANING","PRNUM","OLITH","LITH","LETT","OPRUS","NOTES"
  1007,"*bleû- (2) vb., *blūw-ā̂, *blǖ̂- vb. inch.","roar",  2049,"","bliáuti (bliáuja) `brüllen, meckern, plärren, flennen, heulen'  Lith bliūvà 'Gebrüll', bliū́ti (blių̃va) 'zu brüllen anfangen'","bl̨aût (-aûju/-aûnu, -âvu) 'blöken, schreien'; bl̨âva, dial. bl̨àva\H2\h 'Schreihals, Schreier', bl̨āva 'Geschrei', Schrei', bl̨àvât\H2\h (-āju) 'schwatzen'","",""
  1008,"*bī̂- (1) vb. tr., *bĳ-ā̂- vb., *baj-u- adj., *baî-d-ī̂- vb. (1?), *baĩ-d-a- c., *baî-d-ā̂ (1) f., *bai-s-ā̂ f., *baĩ-s-a- c., *baî-l-iā̃ (2) f., -a- c.,  *baî-l-a adj., *baî-l-u- (2) adj., *baî-m-iā̃ (2) f.","be afraid, frighten",  2052,"","bĳṓti(-s) `Angst haben, sich fürchten', bajù- `furchtbar, schrecklich, abscheulich', baidī́ti `schrecken, verscheuchen', baĩda-s 'Popanz, Schreckgespenst', baisà `Schrecken', baĩsa-s 'Schreckgespenst, schreckliche Erscheinung', baisù- `schrecklich', báilē `Furcht, Angst', bailù- `furchtsam', báimē","bîtiês (bîstuôs, dial. bîkstuôs, prt. bĳuôs, dial. bīduos) 'sich fürchten, scheuen vor etw.; Furcht hegen sich scheuen'; bĳât (-ãju`) 'fürchten, ehren'; baĩdinât, baĩdît/baîdît (-u, -īju), dial. baidât, baîdêt 'ängstigen, scheuchen', biêdêt (-ẽju) 'ängstigen, schrecken, scheuchen', baĩda 'Angstgefühl, Befürchtung, Angst; Drohung'; baîle `Angst, Furcht, Schrecken', baîls, baîl̨š 'furchtsam, ängstlich, scheu'; baîme 'Furcht'; baiss 'Furcht, Schrecken', baišs 'furchtbar, schrecklich'","biātwei 'fürchten', caus. pobaiint (Ench. 55, 18) 'strafen'; { acc. biāsnan `Furcht'}",""
  1009,"*bū̂- (2) vb. intr., *bū̃-tl-a- c., -iā̃ f.; *bi=","be",  2061,"bit(i), byt `(3 prt.) war(en)', { cond. -bìme }","bū́ti 'sein, werden' (prt. bùvō), { sup. bū́tą, fut. bū́siu; pa-bū̃kla-s `Instrument, Gerät; Erscheinung, Gespenst', būklē̃ `existentia, Leben' }","bût (prs. ęsmu, dail. ęsu, ešu, 3 prs. ir; ft. būšu; prt. bĳu) 'sein'; bûšana `Sein, Wesen, Stand'","būton, boūt(on) `sein', { inf. būton; opt. bousai `er sei', prt. be `er wahr'; bousennis `Stand' }",""
  1010,"*buw-ein-iā̃, -ain-iā̃ f., *bū̂-s-l-in-iā̃ f., *bu-ta- c., *bu-t-ā̂ f., *bū̃-tl-ā̂ f., -iā̃ f., *bū̂-tl-iā̃ f., *bū-tl-a- c.","dwell",  2063,"","buveĩnē, buvaĩnē, bū́slinē 'Aufenthaltsort, Wohnstätte', bùta-s, butà 'Wohnung, Haus', būklà 'Wohnsitz, Aufenthalsort, Lager', bū́klē, buklē̃, būkla-s 'dass.'","","buwinayti (überl. buwinanti) Ench. 59, 8 'wohnet'  OPrus buttan 'Wohnung, Haus'",""
  1011,"*bū̂g- vb. intr., *baug-u- adj., *būg-n-a- adj.","be afraid",  2064,"","bū́gti (-sta, -ō) `erschrecken, in Schrecken geraten, Furcht bekommen', baugù- `ängstlich, furchtsam, Angst erregend, unheimlich, bange', baugìnti 'ängstigen, einschüchtern, schrecken'","būgns (Oberlett.) 'schrecklich, ängstlich'","",""
  1012,"*baũd- vb. tr., *baũd-ā̂ f., *bud-ē̂- (*buñd-a-) vb. intr., *bud- vb. intr., *baũd-ī̂- vb.","be awake, wake",  2068,"","budḗti (buñda) `wachen', caus. bùdinti 'wecken', bùsti (buñda, bùdō) 'wach werden, erwachen', budrù- 'wachsam, feinhörig', baudà 'Strafe, Busse', baũsti (-džia, -dē) 'strafen, züchtigen'","budît (-u, -īju) 'wecken, anfeuern, anstacheln, antreiben'; bust (bùdu/? būstu, budu) 'wach werden', bàudît/baũdît (-u, -ī̃ju) 'prüfen, versuchen, wagen; kosten, essen, geniessen, schmecken'","budē 'sie wachten', etbaudints 'auferweckt', ptc. prt. act. etbaudinnons 'auferweckend'",""
  1013,"*bē̂g- (*bē̂g-a-) (2) vb. intr., *bēg-a- c., *bē̃g-ia- c., *bēg-ā̂ f., *bō̂g-s-t-a- m.","run",  2070,"","bḗgti (bḗga) `laufen, rennen', bēga-s, bē̃gi-s `Lauf', caus. bōgìnti `etwas Schweres eilig forttragen, fortschleppen'","bêgt (bêgu, prt. bę̂gu/bêgu/bêdzu) tr., intr. `laufen, rennen', bę̄ga 'Flucht', buôksts, buolšk̨is 'Herumstreicher, Trödler'","",""
  1014,"*beñg- vb. tr., *bang-t-a- adj., *pa=bañg-ā̂ f., *biñg- vb. intr., *biñg-ù- adj.","finish, end",  2072,"","bangta- 'ungestüm', beñgti 'beendigen', pabangà 'Ende', bingù- 'mutig, kühn, stattlich', biñgti 'erstärken, überhandnehmen'","","pobanginnons Ench. 45, 15/16 'bewegt'",""
  1015,"*bañg-ā̂ (2) f.","wave",  2073,"","bangà `Welle, Woge, Regenguss'","","","Lith bangà `Masse', Lett buôgs\H2\h, buoga `ein mit Gestrüpp, Wald bewachsener Platz, eine (rundliche) Baumgruppe; Haufe, Schar' seem to be homonymous only."
  1016,"*beñd-r-a- m.","common; comrade",  2077,"","beñdra-s `gemeinsam, allgemein; Teilnehmer, Genosse, Gefährte'","bìedrs, bìedris 'Gefährte, Genosse, Kamerad'","",""
  1017,"*bañd-ā̂ f.","cattle",  2078,"","bandà `Viehherde, Vieh'","","ni enbāndan ? 'unnützlich'",""
  1018,"*bar-a- c.","row of mown grass, cereals",  2079,"","bãra-s 'Schwaden, Streifen abgemähtes Grases oder Getreides, Geländeabschnitt, Sektor'","bars 'Schwade; bestimmter Strich des Feldes bei der Flachsraufe; Mast; Haufe, Menge, Schar, Herde; Sandmassen in Flussmündungen'","",""
  1019,"*bur̂- (1) vb. tr., *bur̂-t-a- (1) c.","conjure, bewitch",  2083,"","bùrta-s `Los'; bùrti (bùria, bū́rē) `zaubern, wahrsagen, hexen', pl. bùrtai 'Los, Zauber(ei), Wahrsagerei'","bur̃t (bur̨u, bũru)) `zaubern, hexen', bur̂ta\H2\h 'Zauberei, Verzeichnis', pl. bur̃tas (Salis): burtu kuoks 'Kerbstock'","",""
  1020,"*klem̂k-, *klem̂k-ē̂- (1) vb., *klem̂č- (1) vb.","to walk with difficulty",  1594,"","klénkti 'schnell gehen'; klemšiṓti 'ungeschickt, plump gehen'","kleñcêt (-ẽju) 'ubgeschickt gehen, humpeln; trödeln, zotteln, müssig die Zeit verbringen'; klèmst\H2\h (-šu, -su) 'müde, ungewandt gehen'","",""
  1021,"*bar̂- (1) vb. tr., *bar-n-ia- n., *barn-i- f.","scold",  2086,"","bárti (bãra) `schelten', bárti-s `sich zanken'; barnì-s (gen. -iẽs), bar̃ni-s (gen. -iō) `Zank'","bãrt (bar̨u, bãru)) `schelten, schmähen'","",""
  1022,"*patV","just",  2090,"","{ pàt 'gerade' }","","",""
  1023,"*brē̂čk- vb. intr.","dawn",  2096,"","brḗkšti (brḗkšta, brḗškō) `tagen, anbrechen (vom Tage und auch von der Dämmerung)'","","",""
  1024,"*bir̂g-in̂- vb., *birg-en̂- vb.","",  2097,"","bìrginti `nicht viel ausgeben, sparen, geizig, knickrig sein', birgénti 'dass.; massvoll und sparsam etwas gebrauchen (Jušk.)'","","",""
  1025,"*bul-a- m., *bul-ā̂ f.","dusty air",  2101,"","","buls, bula 'dunstige schwüle Luft, Höhenrauch, Dürre; schwüle Witterung, Dürre'","",""
  1026,"*bal̃-s-a-, -i- c., *bīl-ā̂ f., *bil̂-d- (2) vb. intr., bil̂-d-ē- vb. (2)","voice, noise",  2102,"","bal̃sa-s 'Stimme, Klang, Geräusch', bīlà 'Gespräch, Prozess', (pra)bìlti 'zu sprechen beginnen', bīlóti 'sprechen; prozessieren'","bàlss (gen. -a/ -s), balse 'Stimme, Ton; Klang, Geräusch'; bil̂st (-stu, -du) 'sagen, reden; werben, anhalten', bil̂dêt (-u, -ẽju) 'sprechen, sagen; anreden'","billīt 'sagen, sprechen'",""
  1027,"*bed- (*bed-a-) vb. tr, *bed-r-iā̃ f.","dig",  2105,"","bèsti (bẽda) `graben'","best (będu/bežu bedu) 'graben, beerdigen'; bedre 'Grube; Grab; ausgefahrene Stelle auf dem Wege; Vorofen des Backofens od. des Ofens in der Riege'","","Lith bèsti (bẽda) `stechen, stecken'; intens. badī́ti, bedžiṓti 'spalten', Lett badît (-u, -īju) tr., intr. 'stechen, stochern, stossen (nam. mit den Hörnern)', OPrus boadis Voc. 164 'Stich', embaddusisi 'steckt, stecken' (intr.) Ench. 71, 31/32, 4/5 are related to another BS root, cf. Slav *bodǭ 'stechen, stossen (mit den Hörnern)'"
  1028,"*bar̂k-š-ē̂- (1), -in̂- vb., *brak-[š]-ē̂- vb.","make a noise, crack",  2106,"","barškḗti, bárkšēti 'klappern, rasseln', bárškinti 'zum Klappern, Rasseln bringen'; braškḗti 'knistern, knarren, knacken', caus. brãškinti","bar̃kš(k̨)êt 'prasseln, rasch sprechen; brakstêt, brakšk̨êt, brakšêt, brãkšk̨êt, brãkšêt (-u, -ẽju) 'dröhnen, krachen'","",""
  1029,"*bleîd- (2) vb. tr., *blī̂d- (2) vb. intr.","swell",  2114,"","","blîst (-stu/-žu, -du) \schnell zunehmen, quellen, aufdunsen, dicker werden'; bliêst (-žu, -du), bliêstiês `dick werden, schwellen, aufdunsen; dick tun, sich brüsten, sich aufblähen, um sich desto mehr anstrengen zu können'","",""
  1030,"*blaiš-k-t-ī̂- vb., *blīšk- vb., etc.","be pale, shimmer, shine",  2115,"","blaikštī́ti-s 'sich auf klären, leuchten, von Regenwolken gereinigt werden, ernüchtern'; blīkšti 'weiss, bleich werden', blīškù- 'bleich, verblichen'; blìgzti (blį̃zga) 'zu flimmern beginnen', pl. blizgaĩ 'Fitter(werk)', blizgḗti 'flimmern, flittern, blitzen', bliskḗti, blīškḗti 'glänzen, funkeln', bliẽgzti, bliẽksti 'aufleuchten, blitzen, stark bren nen', blikčiṓti, bliksḗti 'funkeln, leuchten', blaĩzga-s 'dünnes, undichtes Gewebe, abgetragenes, verschliessenes Kleid'","bližg̨êt 'flimmern', blizêt 'blinken', blaiskums 'Flecken, Taler-Flecken'","",""
  1031,"*bleuš-k=, *plūš-i- c.","reed",  2116,"","pl(i)ūšì-s, pl(i)ūšē̃, pliū̃šē, pliū̃ški-s `gemeines Schilfrohr'","","bleusky `Schilf'",""
  1032,"*blag-n-a- adj.","",  2118,"blagna- (Bretkun) 'ungeeignet, schlecht, böse'","blágnīti-s `ernüchtert werden, sich aufheitern'","","",""
  1033,"*blād- (*blād-ja-)vb., *blād-ē̂- (1/2) vb.","blatter, talk nonsense",  2119,"","blṓdēti 'schwatzen, Unsinn reden, ausgelassen, übermütig sein'","blãdêt (-u, -ẽju), blâdêt (Dond., Wandsen) 'Unsinn schwatzen, faseln', blāst (-žu, -du) `schwatzen'","",""
  1034,"*bleñd- vb. tr.l, *bliñd- vb. intr. *blãnd-ī̂- vb.","sleep, drop eyes, be dark",  2120,"","blę̃sti (bleñdžia, -dē) `schlafen', blę̃sti, blą̃sti 'Essen mit Mehl anmachen'; blandī́tis `die Augen niederschlagen, sich schämen'; blañda-s, blandà `Schläfrigkeit, Verfinsterung, Dämmerung, trübes Wetter; Eingerührtes aus Mehl, Essenszutat', blandù- `unrein, trüb, düster, dunkel', blį̃sti (blį̃sta, bliñdō) `trübe, dunkel werden'","bluôdîtiês\H2\h (-uos, -ījuos) (Dond., Wandsen) `sich umhertreiben, zufolge eines böses Gewissens keinen offenen Blick haben, sich schämen', bluods, bluôda\H2\h (Dond.) 'die Augen niederschlagend'","",""
  1035,"*bleîǯ- (2) vb. tr., *blaîǯ-ī̂- (1) vb., *blīǯ-iā̃ f.","break, beat, cut",  2121,"","bláižīti 'abstreifen, abschaben, enthülsen', dial. bliežti 'gewaltsam werfen', blīžē̃ 'Riss am Gewebe'; bliežti","blaîzît (-zu) (PS., Wandsen.), blaĩzît `zusammendrücken, quetschen, schmettern, schlagen, streichen, masieren, reiben', bliêzt (-žu, -zu) 'schlagen, hauen; schleppen; schwerfällig gehen'","",""
  1036,"*mā̂- (1/2) vb., *mā̃-s-t-a- c., *mā̂-j-ia- c.","wave, shake head, wink",  2122,"","mṓti (mṓja, mṓjō) `Handbewegung machen, mit der Hand zum Schlage ausholen, winken, Wink geben, schwenken'; mō̃sta-s 'Wink(en), Handbewegung, Aushohlen zum Schlage, Geste, Gebärde', mṓji-s 'Handbewegung, Geste, Gebärde'","mãt (mãju) (/ mât Kr., Lis., Kl., Bers., N.-Peb., Arrasch) `winken'","",""
  1037,"*mā̂- (2) vb.","bewitch",  2123,"","","ap=mât `über jem. etw. kommen lassen, anstecken; betören, verblüffen, verwirren, behexen'","",""
  1038,"*mā̃k- (*mā̃k-ja-) vb.","rumple, injure",  2128,"","","màkt (-cu) `befallen, überfallen, drängen, drücken, plagen, quälen, bewältigen'","",""
  1039,"*mō̂ǯ-ē̂- (1) vb.","",  2129,"","","muõzêt (/ muôzêt Kr.) (-ẽju) 'viel, gierig, unapetitlich essen; stampfen; foppen, narieren, quälen, überlisten; im Ringkampf besiegen; durchprügeln'","",""
  1040,"*mag-ē̂- vb., *mē̂g- (-ja-/-ata-) vb. (1/2), *mag-u- adj.","like, love",  2130,"","magḗti 'gefallen, angenehm sein, in die Augen stechen', magù- 'anziehend, lockend, begehrenswert, angenehm', mãginti 'anziehen, locken, jmds. Verlangen, Begierde, Appetit erregen, ihm zu gefallen suchen, seine Aufmerksamkeit erregen'; mḗgti (mḗgsta/mḗgia, mḗgō) 'lieben, gern haben, gern mögen, Gefallen finden'","mêgt/mẽgt (mę̂dzu/mę̃dzu, mêdzu/mẽdzu) 'vermögen, taugen; gewohnt sein, pflegen'; mēdzêt (-u, -ẽju) 'pflegen, gewohnt sein'","",""
  1041,"*me-t-sa- (2) c., *ma-t-a- (2) c., *me-t-(s)t-a- (2) c.","measure, time, mass",  2134,"","mẽta-s, pl. mẽtai `Jahr, Zeit', mãta-s, mẽta-s 'Mass', mẽsta-s 'Mass'","męts 'Zeitraum, Zeit'; mats (Schrunden), mata (Stenden) 'Metze in der Mühle'","mettan `Jahr'; dat. mattei `Mass'",""
  1042,"*meĩ- vb., *mai-l-a- c., *maî-d-ī̂- (1?) vb.","fence",  2136,"","","mìet (/ miêt Lis.) (meju/mìenu/miênu Lis., mēju) `(einen Pfahl) einjagen, bepfählen; schlagen, hauen', pl. mail̨i `Spricker, Zaunstaken'; maĩdīt (/ maîdît Lis., Kr.) (-u, -ĩju) 'Pfähle, Stangen einstecken, bestecken, bepfählen'","",""
  1043,"*maĩ-n-a- c., *mai-n-a- c., *maî-n-ā̂, *mai-n-jā̂ (1/2) f., *maî-n-ī̂- (1/2) vb., *mī̂- (2) vb. intr.","exchange",  2137,"","maĩna-s, atmainà/ãtmaina 'Wechsel, Veränderung'","maîna (Gr.-Buschhof., Kr.), maĩna (Drosth.), maĩn̨a (liter. und Wohlf.), màin̨a\H2\h (Kl.), maîn̨a (Kr.), mains 'Tausch, Wechsel', maĩnît, dial. maînît\H2\h (Salis), màinit\H2\h (Kl.), maînît (Kr.) (-u -ĩju)'tauschen, wechseln', mît (mĳu, mĳu) 'tauschen'","",""
  1044,"*meĩč- vb. tr., *maĩč-ī̂- vb., *maĩč-t-a- c., *mič-ē̂- vb., *mič- vb. intr.","mix",  2140,"","maišī́ti `mischen, (ver)mengen, an-, umrühren'; maĩšta-s `Aufruhr, Empörung, Erhebung, Meuterei'; miẽšti (-ia, -ē) 'mischen, vermengen, umrühren, anrühren, mit Honig süssen'; mìšti (mī̃šta, mìšō) `verwirrt, konfus werden, in Verwirrung geraten, den Versta nd verlieren, verrückt werden'","màisît, dial. maĩsît (-u, -ĩju) `umrührend mengen, mischen'; mietin̨š 'Haufe'; miests 'süsses Bier'; misêt (-ẽju) `verwirren, irre machen, mischen, verfehlen', mistiês 'verwirrt werden, irre gehen, fehlgehen, fehltreten'; iz-, sa-mist (mistu, -misu) 'verzagen, den Mut sinken lassen, verzweifeln'","maysotan Voc. 466 'gemenget'",""
  1045,"*miñǯ- (meñǯ-a-) vb.","urinate",  2143,"minžu 1 sg. prs. (Bretkun)","mį̃žti (prs. mę̃ža) `harnen', pl. mīžalaĩ `Harn'","mìzt (mìezu/mìeznu/mīžu, mìzu) `harnen'","",""
  1046,"*meig- vb. intr., *mig- vb. intr., *meig-ā̂- vb., *meĩg-a- c., *maig-ā̂ f., maîg-ō̂- (1) vb.","fall asleep",  2144,"miegti 3 sg.","mìgti (miñga, mìgō) `einschlafen', ãtmiga-s `Nachschlaf', miegṓti, (miẽga) `schlafen', miẽga-s `Schlaf'","mìegs `Schlaf', maĩguôt 'schlummern, schläfrig nicken', migt (mìegu, migu / tr. midzu) intr., tr. 'einschlafen'","maiggun acc. Ench. 63,20 `Schlaf', enmigguns Ench. 53, 7 `geschlafen', ismigē Ench. 63,21 `entschlief', meicte Grunau 59 'schlafen'",""
  1047,"*plēiš-, *plīš-","to tear off",  1121,"","plḗiš-u 'reissen, platzen', plī́š-ti 'reissen'","plī̂s-t 'reissen', plaîsa 'Riss'","",""
  1048,"*meit-ō̂- vb., *meit-u- c., *mit-ē̂- vb.","change",  2146,"","","miêti, miêtus pl. 'Tausch; Wechsel, Veränderung der Dienstboten', pl. mîtavas 'Tausch, Wechsel; Tauschort'","",""
  1049,"*mand-ag-u- adj.","courteous",  2148,"","mandagù- `höflich, von feinem Benehmen, anständig, zierlich, fein, anmutig, reizend'","","",""
  1050,"*maû-r- adj., *mur-a- c., *mur̂- vb. intr., *mur-ī̂-, -ē̂- vb.","mud",  2151,"","máura-s 'Schlamm', mùra-s 'durchnässte Erde, Schlamm, Kot', mùrti 'durchweicht werden'","murît (-ĩju), murêt (-ẽju) 'besudeln'","",""
  1051,"*maû- (2) vb. tr., *pa=maũ-t-a- c.","put on, take off",  2152,"","máuti (máuja/máuna, mṓvē) `stülpen, an-, abstreichen, an-, abziehen, abreissen, abschälen, pamaũta-s 'Halfter, Pferdezaun ohne Gebiss'","maût (mauju/maunu, māvu) 'an-, aufziehen; zäumen'","",""
  1052,"*muk-l= adj., *muk- vb. intr.","wet, soak",  2154,"","","muklaîns, muklãjs 'sumpfig, durchschiesig, einschüssig bis zum Einsinken', m[u]kls `caliginosus, nebulosus, nubilis', mukt (mūku, muku) `einsinken, einschiessen'","",""
  1053,"*smuk- vb. intr.","slip, creep",  2155,"","smùkti (smuñka/dial. smū̃ksta, smùkō) '(ab)gleiten, -rutschen, (rutschend, gleitend) langsam sinken, fallen, einsinken, wohin schlüpfen, flink gehen, fliehen'","smukt 'gleitend sinken', šmukt (šmùku, šmuku) 'gleiten, fliehen, entschlüpfen'","",""
  1054,"*muč-ē̂- vb., *mūč-ā̂ f., *mūč-ia- c., *muč-t-aw-ā̂, -iā̃ f.","beat, kill",  2157,"","mùšti `schlagen, hauen, prügeln, totschlagen, töten, schlachten, usw.', mūšà 'Schlage', mū̃ši-s (gen. -iō) 'Schlacht, Kampf'","mustavas, musteves, mustenes pl. mustava 'Kammlade am Webstuhl, Weberlade'","",""
  1055,"*maũd- (*maũd-ja-) vb. tr.","ache, worry",  2158,"","maũsti (maũdžia, maũdžē) 'dumpf schmerzen, sehnlich wonach verlangen, unlustig, grämlich, verdriesslich sein'","","",""
  1056,"*min̂- (*min-a-) (1) vb. tr., *min̂-t-uw-a- c.","trample down, brake",  2170,"","mìnti (mìna, mī́nē) `(nieder)treten, Flachs brechen', pl. mìntuvai, mintùvai, mintuvaĩ 'Flachsbreche'","mĩt (minu/min̨u, minu/mĩnu) `treten', mĩnē (U.) mìne, mĩnis, mìnis 'Stelle, wo Lehm getreten wird; Getrampel'","mynix 'Gerber' V. 511",""
  1057,"*min-j-aw-ā̂ (1) f.","a k. of grass",  2171,"","mìniava, miniavà `Filzgras, Faden-, Schimmelkraut'","","",""
  1058,"*min-ē̂-, *miñ- (men-a-) vb., *min-s-l-iā̃, *man-s-l-iā̃ f., *min-ē̂- vb., *miñ-t-i- c., *men-a- c., *man-ī̂- vb., min̂-tl-ā̂, -iā̃ (2?) f.","think, remember",  2172,"minḗti (mẽna)","miñti (mẽna, mìnē) `gedenken, sich erinnern, erwähnen, raten'; mįslē̃, mąslē̃ 'Rätsel'; mintì-s 'Gedanke, Einfall, Idee', minḗti `gedenken, sich erinnern', mẽna-s 'Gedächtnis, Meisterschaft; Kunst'; manī́ti 'denken, meinen, glauben, sich vorstellen'","minêt (-u, -ẽju) `erwähnen, gedenken'; mît\H2\h (Ruj.) 'erraten'; mîkla, mîkle\H2\h 'Rätsel'; manît (-u, -ĩju) 'merken, bemerken, verspüren, empfinden'","mēntimai `wir lügen', epmēntimai 'wir belügen'",""
  1059,"*meñk-a- adj.","little",  2174,"","meñka- `gering(fügig), unbeteudend, klein, dürftig, minderwertig, schwach', meñkinti 'verringern, beeinträchtigen, Abbruch tun'","","",""
  1060,"*min̂k-ī̂-, man̂k-ī̂- (1) vb., *min̂t-l-ā̂, -iā̃ (1/2) f., *min̂k-š-t-a- (1/2) adj., *min̂k-ī̂- (2?) vb.,","knead; weak",  2175,"","mìnkīti, mánkīti `weiche Masse kneten, durcharbeiten, anrühren, feststampfen, zerknittern, zerknüllen, knicken, brechen', mìnklē `Teig', mìnkšta- `weich, zart, milde, sanft'","mîcît (-cu, -cĩju) 'kneten, treten', mîksts `weich; weich , gelind (vom Wetter); schwach', mîkla 'Teig, Brotteig', mîkna\H2\h `Teig'","",""
  1061,"*meñt- vb. tr., *meñt-iā̃ f., *ment-ur-a-m -ia- c., -iā̃ f.,","stir",  2176,"","meñtē, mentē̃ 'Mauerkelle zum Anrühren des Brotteiges oder der Biermaische, zum Umrühren des Breies, Quirl, Mauerkelle, Schaufel, Spaten, Ruder; Schulterblatt, Bug', mentùrē 'Kelle, Quirl', meñtala-s 'Brei, Masche'; mę̃sti (meñčia, meñtē) '(Mehl bei der Zubereitung für Speisen) um-, anrühren'","mieturis, miẽturis (Hochrosen), mìeturs 'Quirl, Maischholz'","",""
  1062,"*man̂d- (Lett, 2) vb. tr., *man̂d-ī̂- (Lett, 2) vb., *mand-r-a- (Lith CIRC / Lett AC, 2), -u- adj., *mund-r-u- adj.,","agile; notice, understand",  2178,"","mundrù- `munter, übermütig', mañdra-, mandrù-, muñdra-, mundrù- `munter, lebhaft, keck, aufgeweckt, hell im Kopf, usw.'","muôdrs 'gut funktionierend, munter, lebhaft'; muôžs 'geweckt, regsam, munter, fix, wacker', muôst (/ muõst Sessau) (-stu/-žu, -du) tr. 'erwachen', tr., intr. 'merken, hören, verstehen, aufpassen', muôdît (-u -ĩju) 'wecken, erwecken, ermuntern'","",""
  1063,"*mar̂g-ā̂ (2) f., *mer̂g-ā̂ f., *mar̂g-š-ā̂ (1?)","woven odj.",  2180,"","márška `Stück Leinwand, Bettlaken, -tuch, kleiner Fischernetz'","mar̂ga `Geländer; Bäume zum Anbinden der Pferde (bei einer Schenke); Galerie, Kirchenchor, Emporen', męr̂ga, mę̄rga 'Kirchenchor, Schlagbaum', mârsna\H2\h 'Laken od. Decke, worin Kinder zur Taufe nach der Kirche gebracht werden', mãrsns (Wolm.) 'Bündel; Tracht, soviel als man auf einmal im Laken gebunden wegtragen kann'","",""
  1064,"*mer̂k- vb. tr., *mark-ī̂- vb., *mir̂k-l-ia- (1) c., *mir̂k-[s]-ia-, -[s]-n-ia- (2) c.; *mir̂g-ē̂- (*mir̂g-a-) (2) vb., *mar̂g-a- adj., *mar̃g- vb. inch., *marg-ā̂ f., -a- c., *mirg-ā̂ f., -a- (2) c., *mir̂g-ē̂- (2) vb., *mir̂g- (*mir̂g-ia-/*mir̂g-st-a-) (2) vb.","blink; twinkle",  2182,"","mérkti (-ia, -ē) `(die Augen) schliessen, (zu)blinzeln, (zu)zwinkern', markī́ti 'dass.' || mirgḗti (mìrga) 'aufleuchten und wieder erlöschen, glitzern, funkeln, blinken, schimmern, flackern, in buntem Farbenspie l glänzen'; márga- `bunt, verschiedenfarbig, (viel)farbig, (bunt)scheckig, schön, prächtig', mar̃gti (-sta, -ō) 'bunt werden, flimmern',","mir̃klis, mir̂klis 'Blick des Auges, Augenblick', mirkšk̨is 'Blick mit dem Auge', acu mir̂ksnis, mirknis 'Augenblick' || mar̂ga\H2\h, margs `Flitter; Schimmer', mir̂ga 'Schimmer', mirgs 'Augenblick', mir̂dzêt (-u, -ẽju) 'schimmern, flimmern, funkeln', mir̂gt (mirgstu/mirdzu, mirgu) 'blinken'","",""
  1065,"*mir̃- (mir̂-št-a-) vb. intr., *mer̂d-ē̂- (1?) vb. caus., *mer-ē̂- vb., *mer-ia- c.; *mir̃-t-i- (*1) c.","die",  2183,"mir̃ti-s (gen. mir̃ties/mirtiẽs) (Daukša) 'Tod'","mir̃ti (mìršta, mìrē) `sterben', caus. marìnti; mérdēti 'im Sterben liegen, mit dem Tode ringen, darniederleigen'; merḗti 'verhungern'; mirtì-s, , mãra-s `Pest, Seuche'","mir̃t (liter. usw.), mìrt (C., Peb., Arrasch) (mir̃stu, miru) 'sterben'; mir̃te 'Tod'; mèris 'Pest, Seuche'","","Jatv. mard 'Mensch'."
